# fe1_exp_027_059_photoneut_1969Gor.dat                  
#
# Z = 27, A = 59
# No. of entries:  168
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Gor  B.I.Goryachev, et al.,; Izv.Akad.Nauk SSSR, Ser.Fiz. 33, 1736(1969); (Bull.Acad.Sci.USSR, Phys.Ser. 33, 1588(1970)).                        
#    E         dE       f1           df1
    10.600     0.000    0.682E-07    0.712E-08
    10.700     0.000    0.734E-07    0.705E-08
    10.800     0.000    0.694E-07    0.747E-08
    10.900     0.000    0.586E-07    0.740E-08
    11.000     0.000    0.485E-07    0.686E-08
    11.100     0.000    0.340E-07    0.820E-08
    11.100     0.000    0.336E-07    0.594E-08
    11.200     0.000    0.418E-07    0.720E-08
    11.300     0.000    0.504E-07    0.714E-08
    11.400     0.000    0.562E-07    0.616E-08
    11.500     0.000    0.632E-07    0.656E-08
    11.600     0.000    0.714E-07    0.651E-08
    11.700     0.000    0.691E-07    0.563E-08
    11.800     0.000    0.634E-07    0.559E-08
    11.900     0.000    0.583E-07    0.510E-08
    12.000     0.000    0.541E-07    0.463E-08
    12.100     0.000    0.520E-07    0.545E-08
    12.200     0.000    0.591E-07    0.455E-08
    12.300     0.000    0.631E-07    0.656E-08
    12.400     0.000    0.695E-07    0.532E-08
    12.500     0.000    0.770E-07    0.645E-08
    12.600     0.000    0.833E-07    0.558E-08
    12.700     0.000    0.867E-07    0.553E-08
    12.800     0.000    0.935E-07    0.590E-08
    12.900     0.000    0.988E-07    0.585E-08
    13.000     0.000    0.109E-06    0.540E-08
    13.100     0.000    0.122E-06    0.576E-08
    13.200     0.000    0.127E-06    0.572E-08
    13.300     0.000    0.130E-06    0.567E-08
    13.400     0.000    0.121E-06    0.492E-08
    13.500     0.000    0.118E-06    0.598E-08
    13.600     0.000    0.117E-06    0.593E-08
    13.700     0.000    0.130E-06    0.589E-08
    13.800     0.000    0.141E-06    0.547E-08
    13.900     0.000    0.152E-06    0.655E-08
    14.000     0.000    0.167E-06    0.539E-08
    14.100     0.000    0.170E-06    0.468E-08
    14.200     0.000    0.173E-06    0.641E-08
    14.300     0.000    0.176E-06    0.461E-08
    14.400     0.000    0.177E-06    0.524E-08
    14.500     0.000    0.186E-06    0.730E-08
