# fe1_exp_027_059_photoneut_1979Al2.dat                  
#
# Z = 27, A = 59
# No. of entries:  123
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1979Al2  R. A. Alavarez, B. L. Berman, D. D. Faul, F. H. Lewis, Jr., P. Meyer; Phys. Rev., C20, 128(1979).                                           
#    E         dE       f1           df1
    10.611     0.000    0.382E-07    0.629E-08
    10.734     0.000    0.462E-07    0.663E-08
    10.856     0.000    0.617E-07    0.695E-08
    10.979     0.000    0.634E-07    0.695E-08
    11.101     0.000    0.605E-07    0.524E-08
    11.224     0.000    0.648E-07    0.525E-08
    11.347     0.000    0.603E-07    0.497E-08
    11.469     0.000    0.580E-07    0.469E-08
    11.592     0.000    0.738E-07    0.539E-08
    11.714     0.000    0.679E-07    0.526E-08
    11.837     0.000    0.747E-07    0.535E-08
    11.960     0.000    0.805E-07    0.551E-08
    12.082     0.000    0.833E-07    0.538E-08
    12.205     0.000    0.881E-07    0.526E-08
    12.327     0.000    0.936E-07    0.542E-08
    12.450     0.000    0.110E-06    0.641E-08
    12.573     0.000    0.980E-07    0.524E-08
    12.695     0.000    0.861E-07    0.533E-08
    12.818     0.000    0.974E-07    0.535E-08
    12.940     0.000    0.102E-06    0.543E-08
    13.063     0.000    0.996E-07    0.531E-08
    13.186     0.000    0.119E-06    0.585E-08
    13.308     0.000    0.119E-06    0.547E-08
    13.431     0.000    0.128E-06    0.568E-08
    13.553     0.000    0.125E-06    0.544E-08
    13.676     0.000    0.136E-06    0.571E-08
    13.799     0.000    0.146E-06    0.572E-08
    13.921     0.000    0.135E-06    0.548E-08
    14.044     0.000    0.156E-06    0.636E-08
    14.166     0.000    0.155E-06    0.545E-08
    14.289     0.000    0.172E-06    0.565E-08
    14.412     0.000    0.187E-06    0.590E-08
    14.534     0.000    0.184E-06    0.579E-08
    14.657     0.000    0.206E-06    0.604E-08
    14.779     0.000    0.200E-06    0.587E-08
    14.902     0.000    0.214E-06    0.594E-08
    15.025     0.000    0.219E-06    0.572E-08
    15.147     0.000    0.234E-06    0.607E-08
    15.270     0.000    0.247E-06    0.562E-08
    15.392     0.000    0.268E-06    0.626E-08
    15.515     0.000    0.292E-06    0.660E-08
    15.638     0.000    0.301E-06    0.682E-08
    15.687     0.000    0.324E-06    0.217E-07
    15.760     0.000    0.314E-06    0.715E-08
    15.809     0.000    0.322E-06    0.207E-07
    15.883     0.000    0.317E-06    0.912E-08
    15.932     0.000    0.354E-06    0.228E-07
    16.054     0.000    0.338E-06    0.211E-07
    16.128     0.000    0.333E-06    0.812E-08
    16.177     0.000    0.370E-06    0.195E-07
    16.275     0.000    0.344E-06    0.185E-07
    16.373     0.000    0.360E-06    0.848E-08
    16.398     0.000    0.344E-06    0.183E-07
    16.520     0.000    0.397E-06    0.204E-07
    16.643     0.000    0.375E-06    0.183E-07
    16.766     0.000    0.391E-06    0.189E-07
    16.864     0.000    0.369E-06    0.905E-08
    16.888     0.000    0.373E-06    0.195E-07
    17.011     0.000    0.368E-06    0.196E-07
    17.109     0.000    0.376E-06    0.948E-08
    17.133     0.000    0.373E-06    0.225E-07
    17.256     0.000    0.360E-06    0.192E-07
    17.354     0.000    0.370E-06    0.103E-07
    17.379     0.000    0.333E-06    0.180E-07
    17.501     0.000    0.336E-06    0.201E-07
    17.624     0.000    0.344E-06    0.163E-07
    17.746     0.000    0.321E-06    0.168E-07
    17.869     0.000    0.294E-06    0.160E-07
    17.992     0.000    0.315E-06    0.179E-07
    18.114     0.000    0.317E-06    0.159E-07
    18.212     0.000    0.304E-06    0.161E-07
    18.335     0.000    0.324E-06    0.164E-07
    18.457     0.000    0.326E-06    0.163E-07
    18.580     0.000    0.321E-06    0.148E-07
    18.703     0.000    0.318E-06    0.153E-07
    18.825     0.000    0.336E-06    0.152E-07
    18.948     0.000    0.298E-06    0.149E-07
    19.070     0.000    0.304E-06    0.156E-07
    19.193     0.000    0.278E-06    0.155E-07
    19.316     0.000    0.299E-06    0.154E-07
    19.438     0.000    0.290E-06    0.155E-07
    19.561     0.000    0.265E-06    0.149E-07
    19.683     0.000    0.261E-06    0.151E-07
    19.806     0.000    0.244E-06    0.155E-07
    19.929     0.000    0.259E-06    0.159E-07
    20.027     0.000    0.238E-06    0.198E-07
    20.149     0.000    0.229E-06    0.183E-07
    20.272     0.000    0.251E-06    0.172E-07
    20.394     0.000    0.202E-06    0.177E-07
    20.517     0.000    0.213E-06    0.174E-07
    20.640     0.000    0.216E-06    0.170E-07
    20.762     0.000    0.176E-06    0.160E-07
    20.885     0.000    0.178E-06    0.170E-07
    21.007     0.000    0.158E-06    0.161E-07
    21.130     0.000    0.195E-06    0.172E-07
    21.253     0.000    0.168E-06    0.170E-07
    21.375     0.000    0.160E-06    0.164E-07
    21.498     0.000    0.184E-06    0.167E-07
    21.620     0.000    0.170E-06    0.166E-07
    21.743     0.000    0.139E-06    0.167E-07
    21.866     0.000    0.152E-06    0.175E-07
    21.964     0.000    0.150E-06    0.124E-07
    22.209     0.000    0.155E-06    0.181E-07
    22.454     0.000    0.134E-06    0.182E-07
    22.699     0.000    0.151E-06    0.188E-07
    22.945     0.000    0.133E-06    0.189E-07
    23.190     0.000    0.134E-06    0.192E-07
    23.435     0.000    0.124E-06    0.182E-07
    23.680     0.000    0.119E-06    0.173E-07
    23.901     0.000    0.100E-06    0.187E-07
    24.146     0.000    0.106E-06    0.181E-07
    24.391     0.000    0.119E-06    0.186E-07
    24.636     0.000    0.108E-06    0.184E-07
    24.882     0.000    0.987E-07    0.181E-07
    25.127     0.000    0.136E-06    0.185E-07
    25.372     0.000    0.947E-07    0.177E-07
    25.617     0.000    0.111E-06    0.180E-07
    25.838     0.000    0.940E-07    0.181E-07
    26.083     0.000    0.875E-07    0.187E-07
    26.328     0.000    0.906E-07    0.183E-07
    26.574     0.000    0.672E-07    0.182E-07
    26.819     0.000    0.873E-07    0.186E-07
    27.064     0.000    0.901E-07    0.192E-07
