# fe1_exp_028_058_photoneut_1974Fu3.dat                  
#
# Z = 28, A = 58
# No. of entries:   85
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Fu3  S.C.Fultz, R.A.Alvarez, B.L.Berman, P. Meyer; Phys. Rev. C10, 608(1974).                                                                    
#    E         dE       f1           df1
    12.335     0.000    0.387E-07    0.513E-08
    12.457     0.000    0.258E-07    0.529E-08
    12.578     0.000    0.219E-07    0.593E-08
    12.699     0.000    0.354E-07    0.560E-08
    12.820     0.000    0.551E-07    0.704E-08
    12.941     0.000    0.351E-07    0.523E-08
    13.062     0.000    0.533E-07    0.611E-08
    13.183     0.000    0.373E-07    0.566E-08
    13.304     0.000    0.196E-07    0.665E-08
    13.546     0.000    0.457E-07    0.461E-08
    13.788     0.000    0.267E-07    0.868E-08
    14.030     0.000    0.475E-07    0.476E-08
    14.272     0.000    0.490E-07    0.735E-08
    14.514     0.000    0.534E-07    0.454E-08
    14.756     0.000    0.545E-07    0.582E-08
    14.998     0.000    0.648E-07    0.538E-08
    15.240     0.000    0.643E-07    0.598E-08
    15.482     0.000    0.762E-07    0.532E-08
    15.724     0.000    0.899E-07    0.585E-08
    15.967     0.000    0.847E-07    0.521E-08
    16.088     0.000    0.906E-07    0.469E-08
    16.209     0.000    0.115E-06    0.642E-08
    16.451     0.000    0.107E-06    0.453E-08
    16.693     0.000    0.961E-07    0.535E-08
    16.935     0.000    0.110E-06    0.528E-08
    17.056     0.000    0.116E-06    0.549E-08
    17.177     0.000    0.128E-06    0.454E-08
    17.298     0.000    0.134E-06    0.376E-08
    17.419     0.000    0.113E-06    0.413E-08
    17.540     0.000    0.124E-06    0.485E-08
    17.661     0.000    0.118E-06    0.319E-08
    17.782     0.000    0.123E-06    0.546E-08
    17.903     0.000    0.998E-07    0.378E-08
    18.024     0.000    0.106E-06    0.505E-08
    18.145     0.000    0.119E-06    0.411E-08
    18.266     0.000    0.106E-06    0.351E-08
    18.387     0.000    0.981E-07    0.476E-08
    18.508     0.000    0.109E-06    0.487E-08
    18.629     0.000    0.115E-06    0.545E-08
    18.750     0.000    0.109E-06    0.500E-08
    18.871     0.000    0.110E-06    0.506E-08
    19.113     0.000    0.110E-06    0.572E-08
    19.356     0.000    0.112E-06    0.533E-08
    19.598     0.000    0.921E-07    0.522E-08
    19.840     0.000    0.918E-07    0.512E-08
    20.082     0.000    0.821E-07    0.484E-08
    20.324     0.000    0.854E-07    0.538E-08
    20.566     0.000    0.835E-07    0.531E-08
    20.808     0.000    0.796E-07    0.538E-08
    21.050     0.000    0.696E-07    0.540E-08
    21.292     0.000    0.737E-07    0.550E-08
    21.534     0.000    0.681E-07    0.508E-08
    21.776     0.000    0.645E-07    0.570E-08
    22.018     0.000    0.733E-07    0.461E-08
    22.260     0.000    0.662E-07    0.238E-08
    22.381     0.000    0.670E-07    0.302E-08
    22.502     0.000    0.848E-07    0.659E-08
    22.623     0.000    0.889E-07    0.502E-08
    22.745     0.000    0.755E-07    0.770E-08
    22.866     0.000    0.539E-07    0.300E-08
    22.987     0.000    0.619E-07    0.675E-08
    23.108     0.000    0.627E-07    0.458E-08
    23.229     0.000    0.497E-07    0.777E-08
    23.350     0.000    0.579E-07    0.475E-08
    23.471     0.000    0.569E-07    0.377E-08
    23.592     0.000    0.607E-07    0.463E-08
    23.713     0.000    0.607E-07    0.721E-08
    23.834     0.000    0.710E-07    0.550E-08
    23.955     0.000    0.521E-07    0.753E-08
    24.076     0.000    0.497E-07    0.458E-08
    24.197     0.000    0.300E-07    0.118E-07
    24.318     0.000    0.341E-07    0.753E-08
    24.439     0.000    0.465E-07    0.415E-08
    24.560     0.000    0.487E-07    0.108E-07
    24.681     0.000    0.387E-07    0.945E-08
    24.802     0.000    0.577E-07    0.434E-08
    24.923     0.000    0.585E-07    0.745E-08
    25.044     0.000    0.488E-07    0.724E-08
    25.165     0.000    0.476E-07    0.472E-08
    25.407     0.000    0.461E-07    0.574E-08
    25.649     0.000    0.484E-07    0.578E-08
    25.891     0.000    0.476E-07    0.365E-08
    26.133     0.000    0.300E-07    0.501E-08
    26.376     0.000    0.362E-07    0.510E-08
    26.618     0.000    0.362E-07    0.518E-08
