# fe1_exp_028_058_photoneut_2018Uts.dat                  
#
# Z = 28, A = 58
# No. of entries:   18
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    H.Utsunomiya et al. Phys.Rev.C 98, 054619,(2018)                                                                                                    
#    E         dE       f1           df1
    12.490     0.000    0.345E-07    0.118E-08
    13.000     0.000    0.414E-07    0.173E-08
    13.510     0.000    0.448E-07    0.202E-08
    14.000     0.000    0.531E-07    0.239E-08
    14.490     0.000    0.678E-07    0.306E-08
    15.030     0.000    0.615E-07    0.298E-08
    15.500     0.000    0.769E-07    0.372E-08
    16.020     0.000    0.986E-07    0.448E-08
    16.500     0.000    0.123E-06    0.550E-08
    16.940     0.000    0.134E-06    0.608E-08
    17.500     0.000    0.127E-06    0.591E-08
    18.020     0.000    0.109E-06    0.512E-08
    18.510     0.000    0.114E-06    0.513E-08
    19.010     0.000    0.118E-06    0.535E-08
    19.480     0.000    0.994E-07    0.466E-08
    20.000     0.000    0.860E-07    0.402E-08
    20.990     0.000    0.759E-07    0.349E-08
    22.010     0.000    0.684E-07    0.312E-08
