# fe1_exp_028_060_photoneut_1970Gor.dat                  
#
# Z = 28, A = 60
# No. of entries:  174
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1970Gor  B.I.Goryachev, B.S.Ishkhanov, I.M.Kapitonov et al.,; Yad.Fiz. 11, 252(1970); (Sov.J.Nucl.Phys. 11, 141(1970)).                              
#    E         dE       f1           df1
    11.500     0.000    0.988E-08    0.339E-08
    11.600     0.000    0.203E-07    0.336E-08
    11.700     0.000    0.335E-07    0.334E-08
    11.800     0.000    0.432E-07    0.331E-08
    11.900     0.000    0.501E-07    0.328E-08
    12.000     0.000    0.548E-07    0.325E-08
    12.100     0.000    0.480E-07    0.323E-08
    12.200     0.000    0.418E-07    0.320E-08
    12.300     0.000    0.319E-07    0.317E-08
    12.400     0.000    0.376E-07    0.315E-08
    12.500     0.000    0.430E-07    0.312E-08
    12.600     0.000    0.497E-07    0.310E-08
    12.700     0.000    0.568E-07    0.307E-08
    12.800     0.000    0.621E-07    0.427E-08
    12.900     0.000    0.614E-07    0.403E-08
    13.000     0.000    0.570E-07    0.547E-08
    13.100     0.000    0.598E-07    0.596E-08
    13.200     0.000    0.654E-07    0.624E-08
    13.300     0.000    0.737E-07    0.620E-08
    13.400     0.000    0.764E-07    0.699E-08
    13.500     0.000    0.816E-07    0.610E-08
    13.600     0.000    0.816E-07    0.765E-08
    13.700     0.000    0.798E-07    0.709E-08
    13.800     0.000    0.748E-07    0.691E-08
    13.900     0.000    0.705E-07    0.624E-08
    14.000     0.000    0.855E-07    0.103E-07
    14.100     0.000    0.106E-06    0.781E-08
    14.200     0.000    0.133E-06    0.733E-08
    14.300     0.000    0.153E-06    0.825E-08
    14.400     0.000    0.163E-06    0.819E-08
    14.500     0.000    0.162E-06    0.105E-07
    14.600     0.000    0.159E-06    0.778E-08
    14.700     0.000    0.150E-06    0.773E-08
    14.800     0.000    0.149E-06    0.797E-08
    14.900     0.000    0.155E-06    0.949E-08
    15.000     0.000    0.165E-06    0.625E-08
    15.100     0.000    0.175E-06    0.804E-08
    15.200     0.000    0.185E-06    0.748E-08
    15.300     0.000    0.195E-06    0.924E-08
    15.400     0.000    0.206E-06    0.918E-08
    15.500     0.000    0.213E-06    0.101E-07
    15.600     0.000    0.221E-06    0.106E-07
    15.700     0.000    0.227E-06    0.105E-07
    15.800     0.000    0.236E-06    0.109E-07
    15.900     0.000    0.244E-06    0.113E-07
    16.000     0.000    0.257E-06    0.113E-07
    16.100     0.000    0.292E-06    0.119E-07
    16.200     0.000    0.334E-06    0.121E-07
    16.300     0.000    0.366E-06    0.144E-07
    16.400     0.000    0.384E-06    0.122E-07
    16.500     0.000    0.385E-06    0.119E-07
    16.600     0.000    0.361E-06    0.132E-07
    16.700     0.000    0.312E-06    0.131E-07
    16.800     0.000    0.252E-06    0.107E-07
    16.900     0.000    0.250E-06    0.164E-07
    17.000     0.000    0.259E-06    0.267E-07
    17.100     0.000    0.289E-06    0.114E-07
    17.200     0.000    0.337E-06    0.923E-08
    17.300     0.000    0.374E-06    0.135E-07
    17.400     0.000    0.397E-06    0.156E-07
    17.500     0.000    0.392E-06    0.177E-07
    17.600     0.000    0.378E-06    0.172E-07
    17.700     0.000    0.347E-06    0.872E-08
    17.800     0.000    0.328E-06    0.892E-08
    17.900     0.000    0.307E-06    0.101E-07
    18.000     0.000    0.292E-06    0.106E-07
    18.100     0.000    0.276E-06    0.107E-07
    18.200     0.000    0.280E-06    0.106E-07
    18.300     0.000    0.285E-06    0.129E-07
    18.400     0.000    0.290E-06    0.116E-07
    18.500     0.000    0.313E-06    0.816E-08
    18.600     0.000    0.344E-06    0.755E-08
    18.700     0.000    0.374E-06    0.840E-08
    18.800     0.000    0.398E-06    0.849E-08
    18.900     0.000    0.411E-06    0.167E-07
    19.000     0.000    0.402E-06    0.144E-07
    19.100     0.000    0.361E-06    0.104E-07
    19.200     0.000    0.288E-06    0.107E-07
    19.300     0.000    0.228E-06    0.935E-08
    19.400     0.000    0.186E-06    0.123E-07
    19.500     0.000    0.159E-06    0.139E-07
    19.600     0.000    0.154E-06    0.136E-07
    19.700     0.000    0.156E-06    0.108E-07
    19.800     0.000    0.164E-06    0.135E-07
    19.900     0.000    0.139E-06    0.989E-08
    20.000     0.000    0.153E-06    0.928E-08
    20.100     0.000    0.214E-06    0.993E-08
    20.200     0.000    0.229E-06    0.970E-08
    20.300     0.000    0.251E-06    0.112E-07
    20.400     0.000    0.267E-06    0.104E-07
    20.500     0.000    0.272E-06    0.153E-07
    20.600     0.000    0.268E-06    0.112E-07
    20.700     0.000    0.254E-06    0.926E-08
    20.800     0.000    0.222E-06    0.109E-07
    20.900     0.000    0.200E-06    0.938E-08
    21.000     0.000    0.183E-06    0.764E-08
    21.100     0.000    0.182E-06    0.929E-08
    21.200     0.000    0.187E-06    0.925E-08
    21.300     0.000    0.195E-06    0.810E-08
    21.400     0.000    0.203E-06    0.843E-08
    21.500     0.000    0.200E-06    0.803E-08
    21.600     0.000    0.185E-06    0.655E-08
    21.700     0.000    0.155E-06    0.867E-08
    21.800     0.000    0.122E-06    0.899E-08
    21.900     0.000    0.105E-06    0.102E-07
    22.000     0.000    0.911E-07    0.729E-08
    22.100     0.000    0.887E-07    0.726E-08
    22.200     0.000    0.883E-07    0.813E-08
    22.300     0.000    0.898E-07    0.844E-08
    22.400     0.000    0.949E-07    0.840E-08
    22.500     0.000    0.975E-07    0.104E-07
    22.600     0.000    0.917E-07    0.887E-08
    22.700     0.000    0.871E-07    0.864E-08
    22.800     0.000    0.860E-07    0.860E-08
    22.900     0.000    0.871E-07    0.856E-08
    23.000     0.000    0.920E-07    0.852E-08
    23.100     0.000    0.976E-07    0.815E-08
    23.200     0.000    0.105E-06    0.879E-08
    23.300     0.000    0.106E-06    0.841E-08
    23.400     0.000    0.106E-06    0.853E-08
    23.500     0.000    0.985E-07    0.919E-08
    23.600     0.000    0.897E-07    0.897E-08
    23.700     0.000    0.827E-07    0.926E-08
    23.800     0.000    0.856E-07    0.842E-08
    23.900     0.000    0.904E-07    0.853E-08
    24.000     0.000    0.997E-07    0.784E-08
    24.100     0.000    0.110E-06    0.975E-08
    24.200     0.000    0.113E-06    0.978E-08
    24.300     0.000    0.106E-06    0.882E-08
    24.400     0.000    0.921E-07    0.967E-08
    24.500     0.000    0.832E-07    0.928E-08
    24.600     0.000    0.892E-07    0.846E-08
    24.700     0.000    0.103E-06    0.110E-07
    24.800     0.000    0.105E-06    0.101E-07
    24.900     0.000    0.105E-06    0.109E-07
    25.000     0.000    0.985E-07    0.992E-08
    25.100     0.000    0.871E-07    0.108E-07
    25.200     0.000    0.802E-07    0.964E-08
    25.300     0.000    0.775E-07    0.926E-08
    25.400     0.000    0.775E-07    0.949E-08
    25.500     0.000    0.830E-07    0.105E-07
    25.600     0.000    0.949E-07    0.759E-08
    25.700     0.000    0.104E-06    0.756E-08
    25.800     0.000    0.108E-06    0.760E-08
    25.900     0.000    0.109E-06    0.750E-08
    26.000     0.000    0.103E-06    0.610E-08
    26.100     0.000    0.101E-06    0.748E-08
    26.200     0.000    0.101E-06    0.748E-08
    26.300     0.000    0.103E-06    0.745E-08
    26.400     0.000    0.110E-06    0.867E-08
    26.500     0.000    0.113E-06    0.838E-08
    26.600     0.000    0.105E-06    0.887E-08
    26.700     0.000    0.851E-07    0.741E-08
    26.800     0.000    0.728E-07    0.877E-08
    26.900     0.000    0.700E-07    0.816E-08
    27.000     0.000    0.726E-07    0.813E-08
    27.100     0.000    0.839E-07    0.102E-07
    27.200     0.000    0.864E-07    0.104E-07
    27.300     0.000    0.829E-07    0.111E-07
    27.400     0.000    0.731E-07    0.112E-07
    27.500     0.000    0.659E-07    0.104E-07
    27.600     0.000    0.581E-07    0.930E-08
    27.700     0.000    0.539E-07    0.989E-08
    27.800     0.000    0.493E-07    0.861E-08
    27.900     0.000    0.451E-07    0.898E-08
    28.000     0.000    0.443E-07    0.988E-08
    28.100     0.000    0.444E-07    0.982E-08
    28.200     0.000    0.461E-07    0.966E-08
    28.300     0.000    0.500E-07    0.956E-08
    28.400     0.000    0.538E-07    0.962E-08
    28.500     0.000    0.578E-07    0.110E-07
    28.600     0.000    0.631E-07    0.110E-07
    28.700     0.000    0.659E-07    0.109E-07
    28.800     0.000    0.708E-07    0.106E-07
