# fe1_exp_028_060_photoneut_1974Fu3.dat                  
#
# Z = 28, A = 60
# No. of entries:  111
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Fu3  S.C.Fultz, R.A.Alvarez, B.L.Berman, P. Meyer; Phys. Rev. C10, 608(1974).                                                                    
#    E         dE       f1           df1
    11.609     0.000    0.399E-07    0.732E-08
    11.851     0.000    0.439E-07    0.490E-08
    12.093     0.000    0.567E-07    0.710E-08
    12.335     0.000    0.654E-07    0.619E-08
    12.578     0.000    0.108E-06    0.107E-07
    12.820     0.000    0.548E-07    0.568E-08
    13.062     0.000    0.936E-07    0.102E-07
    13.304     0.000    0.110E-06    0.672E-08
    13.546     0.000    0.139E-06    0.800E-08
    13.788     0.000    0.137E-06    0.711E-08
    14.030     0.000    0.135E-06    0.810E-08
    14.272     0.000    0.162E-06    0.997E-08
    14.514     0.000    0.170E-06    0.831E-08
    14.756     0.000    0.172E-06    0.747E-08
    14.877     0.000    0.206E-06    0.178E-07
    14.998     0.000    0.232E-06    0.183E-07
    15.119     0.000    0.239E-06    0.178E-07
    15.240     0.000    0.232E-06    0.273E-07
    15.361     0.000    0.274E-06    0.113E-07
    15.482     0.000    0.298E-06    0.127E-07
    15.603     0.000    0.290E-06    0.115E-07
    15.724     0.000    0.301E-06    0.188E-07
    15.846     0.000    0.301E-06    0.120E-07
    16.088     0.000    0.371E-06    0.143E-07
    16.330     0.000    0.398E-06    0.127E-07
    16.451     0.000    0.363E-06    0.238E-07
    16.572     0.000    0.363E-06    0.136E-07
    16.693     0.000    0.349E-06    0.234E-07
    16.814     0.000    0.367E-06    0.138E-07
    16.935     0.000    0.349E-06    0.196E-07
    17.056     0.000    0.367E-06    0.134E-07
    17.177     0.000    0.331E-06    0.193E-07
    17.298     0.000    0.339E-06    0.124E-07
    17.540     0.000    0.340E-06    0.124E-07
    17.661     0.000    0.339E-06    0.125E-07
    17.782     0.000    0.337E-06    0.136E-07
    17.903     0.000    0.333E-06    0.134E-07
    18.024     0.000    0.308E-06    0.121E-07
    18.266     0.000    0.305E-06    0.132E-07
    18.508     0.000    0.298E-06    0.117E-07
    18.629     0.000    0.298E-06    0.110E-07
    18.750     0.000    0.281E-06    0.124E-07
    18.871     0.000    0.277E-06    0.152E-07
    18.992     0.000    0.261E-06    0.130E-07
    19.113     0.000    0.251E-06    0.122E-07
    19.234     0.000    0.263E-06    0.104E-07
    19.356     0.000    0.258E-06    0.121E-07
    19.477     0.000    0.259E-06    0.160E-07
    19.598     0.000    0.237E-06    0.115E-07
    19.719     0.000    0.245E-06    0.103E-07
    19.840     0.000    0.230E-06    0.102E-07
    19.900     0.000    0.237E-06    0.104E-07
    19.961     0.000    0.233E-06    0.102E-07
    20.021     0.000    0.229E-06    0.107E-07
    20.082     0.000    0.205E-06    0.980E-08
    20.203     0.000    0.191E-06    0.872E-08
    20.445     0.000    0.184E-06    0.874E-08
    20.566     0.000    0.178E-06    0.860E-08
    20.687     0.000    0.180E-06    0.864E-08
    20.808     0.000    0.166E-06    0.850E-08
    20.929     0.000    0.156E-06    0.841E-08
    21.050     0.000    0.158E-06    0.853E-08
    21.171     0.000    0.177E-06    0.930E-08
    21.292     0.000    0.148E-06    0.851E-08
    21.413     0.000    0.151E-06    0.924E-08
    21.655     0.000    0.130E-06    0.921E-08
    21.897     0.000    0.135E-06    0.927E-08
    22.139     0.000    0.138E-06    0.917E-08
    22.381     0.000    0.134E-06    0.903E-08
    22.623     0.000    0.120E-06    0.909E-08
    23.108     0.000    0.111E-06    0.792E-08
    23.350     0.000    0.111E-06    0.765E-08
    23.592     0.000    0.115E-06    0.739E-08
    23.834     0.000    0.102E-06    0.801E-08
    24.076     0.000    0.107E-06    0.814E-08
    24.197     0.000    0.925E-07    0.753E-08
    24.318     0.000    0.959E-07    0.792E-08
    24.439     0.000    0.962E-07    0.774E-08
    24.560     0.000    0.107E-06    0.816E-08
    24.681     0.000    0.938E-07    0.805E-08
    24.802     0.000    0.930E-07    0.769E-08
    24.923     0.000    0.835E-07    0.731E-08
    25.044     0.000    0.814E-07    0.724E-08
    25.165     0.000    0.872E-07    0.762E-08
    25.286     0.000    0.816E-07    0.960E-08
    25.407     0.000    0.833E-07    0.891E-08
    25.528     0.000    0.812E-07    0.890E-08
    25.649     0.000    0.974E-07    0.866E-08
    25.770     0.000    0.811E-07    0.878E-08
    25.951     0.000    0.886E-07    0.652E-08
    26.133     0.000    0.863E-07    0.906E-08
    26.255     0.000    0.760E-07    0.875E-08
    26.376     0.000    0.852E-07    0.825E-08
    26.497     0.000    0.805E-07    0.851E-08
    26.618     0.000    0.834E-07    0.805E-08
    26.739     0.000    0.678E-07    0.840E-08
    26.920     0.000    0.667E-07    0.590E-08
    27.102     0.000    0.659E-07    0.771E-08
    27.223     0.000    0.752E-07    0.790E-08
    27.344     0.000    0.714E-07    0.777E-08
    27.465     0.000    0.692E-07    0.815E-08
    27.586     0.000    0.689E-07    0.789E-08
    27.707     0.000    0.620E-07    0.814E-08
    27.828     0.000    0.729E-07    0.823E-08
    27.949     0.000    0.546E-07    0.838E-08
    28.070     0.000    0.565E-07    0.813E-08
    28.191     0.000    0.563E-07    0.828E-08
    28.312     0.000    0.429E-07    0.790E-08
    28.493     0.000    0.557E-07    0.554E-08
    28.675     0.000    0.575E-07    0.744E-08
    28.796     0.000    0.488E-07    0.735E-08
