# fe1_exp_029_063_photoabs_2003Var_M0656011.dat          
#
# Z = 29, A = 63
# No. of entries:  127
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Var  V.V.Varlamov, M.E.Stepanov, V.V.Chesnokov; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 656(2003); (Bull.Rus.Acad.Sci.Phys. 67, 724 (2003)).          
#    E         dE       f1           df1
    14.200     0.000    0.321E-06    0.000E+00
    14.300     0.000    0.331E-06    0.000E+00
    14.400     0.000    0.342E-06    0.000E+00
    14.500     0.000    0.352E-06    0.000E+00
    14.600     0.000    0.363E-06    0.000E+00
    14.700     0.000    0.374E-06    0.000E+00
    14.800     0.000    0.384E-06    0.000E+00
    14.900     0.000    0.394E-06    0.000E+00
    15.000     0.000    0.404E-06    0.000E+00
    15.100     0.000    0.413E-06    0.000E+00
    15.200     0.000    0.421E-06    0.000E+00
    15.300     0.000    0.429E-06    0.000E+00
    15.400     0.000    0.436E-06    0.000E+00
    15.500     0.000    0.443E-06    0.000E+00
    15.600     0.000    0.448E-06    0.000E+00
    15.700     0.000    0.453E-06    0.000E+00
    15.800     0.000    0.457E-06    0.000E+00
    15.900     0.000    0.460E-06    0.000E+00
    16.000     0.000    0.464E-06    0.000E+00
    16.100     0.000    0.465E-06    0.000E+00
    16.200     0.000    0.467E-06    0.000E+00
    16.300     0.000    0.468E-06    0.000E+00
    16.400     0.000    0.469E-06    0.000E+00
    16.500     0.000    0.469E-06    0.000E+00
    16.600     0.000    0.469E-06    0.000E+00
    16.700     0.000    0.468E-06    0.000E+00
    16.800     0.000    0.466E-06    0.000E+00
    16.900     0.000    0.463E-06    0.000E+00
    17.000     0.000    0.460E-06    0.000E+00
    17.100     0.000    0.455E-06    0.000E+00
    17.200     0.000    0.450E-06    0.000E+00
