# fe1_exp_029_063_photoneut_1964Fu1.dat                  
#
# Z = 29, A = 63
# No. of entries:   55
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Fu1  S.C.Fultz, R.L.Bramblett, J.T.Caldwell, R.R.Harvey; Phys. Rev., 133, B1149(1964).                                                           
#    E         dE       f1           df1
    10.876     0.000    0.439E-07    0.798E-08
    11.183     0.000    0.419E-07    0.698E-08
    11.490     0.000    0.544E-07    0.679E-08
    11.644     0.000    0.223E-07    0.149E-07
    11.797     0.000    0.112E-06    0.110E-07
    11.951     0.000    0.885E-07    0.131E-07
    12.105     0.000    0.128E-06    0.143E-07
    12.258     0.000    0.991E-07    0.134E-07
    12.412     0.000    0.119E-06    0.839E-08
    12.719     0.000    0.131E-06    0.955E-08
    13.027     0.000    0.150E-06    0.732E-08
    13.334     0.000    0.148E-06    0.911E-08
    13.641     0.000    0.181E-06    0.890E-08
    13.949     0.000    0.201E-06    0.933E-08
    14.256     0.000    0.224E-06    0.973E-08
    14.563     0.000    0.259E-06    0.715E-08
    14.870     0.000    0.271E-06    0.875E-08
    15.178     0.000    0.297E-06    0.857E-08
    15.485     0.000    0.328E-06    0.840E-08
    15.792     0.000    0.358E-06    0.824E-08
    16.100     0.000    0.374E-06    0.135E-07
    16.407     0.000    0.368E-06    0.106E-07
    16.714     0.000    0.357E-06    0.114E-07
    17.022     0.000    0.339E-06    0.917E-08
    17.329     0.000    0.303E-06    0.851E-08
    17.636     0.000    0.282E-06    0.984E-08
    17.943     0.000    0.293E-06    0.870E-08
    18.251     0.000    0.245E-06    0.903E-08
    18.558     0.000    0.265E-06    0.841E-08
    18.865     0.000    0.241E-06    0.920E-08
    19.173     0.000    0.247E-06    0.905E-08
    19.480     0.000    0.196E-06    0.134E-07
    19.787     0.000    0.206E-06    0.877E-08
    20.095     0.000    0.186E-06    0.147E-07
    20.402     0.000    0.174E-06    0.106E-07
    20.709     0.000    0.168E-06    0.126E-07
    21.016     0.000    0.173E-06    0.825E-08
    21.324     0.000    0.142E-06    0.163E-07
    21.631     0.000    0.154E-06    0.120E-07
    21.938     0.000    0.132E-06    0.178E-07
    22.246     0.000    0.160E-06    0.117E-07
    22.553     0.000    0.135E-06    0.192E-07
    22.860     0.000    0.157E-06    0.114E-07
    23.168     0.000    0.128E-06    0.120E-07
    23.475     0.000    0.133E-06    0.111E-07
    23.782     0.000    0.102E-06    0.128E-07
    24.089     0.000    0.104E-06    0.108E-07
    24.397     0.000    0.818E-07    0.124E-07
    24.704     0.000    0.825E-07    0.878E-08
    25.011     0.000    0.780E-07    0.139E-07
    25.319     0.000    0.771E-07    0.154E-07
    25.626     0.000    0.711E-07    0.169E-07
    25.933     0.000    0.736E-07    0.117E-07
    26.241     0.000    0.545E-07    0.165E-07
    26.548     0.000    0.588E-07    0.180E-07
