# fe1_exp_029_065_photoneut_2016Va1.dat                  
#
# Z = 29, A = 65
# No. of entries:   75
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2016Va1  V.V.Varlamov, et al.,; Izv. Ros. Akad. Nauk, Ser.Fiz. 80(3), 351(2016); (Bull.Rus.Acad.Sci.Phys. 80, 317 (2016)).                           
#    E         dE       f1           df1
    10.260     0.000    0.575E-07    0.169E-07
    10.560     0.000    0.879E-07    0.205E-07
    10.870     0.000    0.559E-07    0.231E-07
    11.180     0.000    0.900E-07    0.334E-07
    11.490     0.000    0.114E-06    0.355E-07
    11.790     0.000    0.162E-06    0.324E-07
    12.100     0.000    0.148E-06    0.315E-07
    12.410     0.000    0.136E-06    0.273E-07
    12.710     0.000    0.161E-06    0.307E-07
    13.020     0.000    0.194E-06    0.346E-07
    13.330     0.000    0.206E-06    0.358E-07
    13.640     0.000    0.225E-06    0.369E-07
    13.940     0.000    0.245E-06    0.398E-07
    14.250     0.000    0.276E-06    0.438E-07
    14.560     0.000    0.297E-06    0.453E-07
    14.870     0.000    0.337E-06    0.513E-07
    15.170     0.000    0.365E-06    0.560E-07
    15.480     0.000    0.378E-06    0.577E-07
    15.790     0.000    0.383E-06    0.555E-07
    16.100     0.000    0.388E-06    0.571E-07
    16.250     0.000    0.392E-06    0.576E-07
    16.400     0.000    0.398E-06    0.582E-07
    16.560     0.000    0.390E-06    0.566E-07
    16.710     0.000    0.402E-06    0.581E-07
    16.860     0.000    0.388E-06    0.566E-07
    17.020     0.000    0.392E-06    0.571E-07
    17.170     0.000    0.377E-06    0.556E-07
    17.320     0.000    0.377E-06    0.556E-07
    17.480     0.000    0.349E-06    0.511E-07
    17.630     0.000    0.328E-06    0.487E-07
    17.790     0.000    0.334E-06    0.502E-07
    17.940     0.000    0.343E-06    0.508E-07
    18.090     0.000    0.316E-06    0.475E-07
    18.250     0.000    0.302E-06    0.456E-07
    18.400     0.000    0.289E-06    0.438E-07
    18.550     0.000    0.321E-06    0.468E-07
    18.710     0.000    0.306E-06    0.436E-07
    18.860     0.000    0.292E-06    0.409E-07
    19.010     0.000    0.266E-06    0.365E-07
    19.170     0.000    0.260E-06    0.344E-07
    19.320     0.000    0.269E-06    0.337E-07
    19.480     0.000    0.268E-06    0.325E-07
    19.630     0.000    0.257E-06    0.314E-07
    19.780     0.000    0.258E-06    0.303E-07
    19.940     0.000    0.248E-06    0.278E-07
    20.090     0.000    0.228E-06    0.268E-07
    20.240     0.000    0.217E-06    0.244E-07
    20.400     0.000    0.211E-06    0.234E-07
    20.550     0.000    0.204E-06    0.224E-07
    20.700     0.000    0.200E-06    0.222E-07
    20.860     0.000    0.188E-06    0.208E-07
    21.010     0.000    0.189E-06    0.231E-07
    21.170     0.000    0.179E-06    0.201E-07
    21.320     0.000    0.180E-06    0.244E-07
    21.470     0.000    0.183E-06    0.202E-07
    21.630     0.000    0.172E-06    0.221E-07
    21.780     0.000    0.172E-06    0.199E-07
    21.930     0.000    0.155E-06    0.206E-07
    22.090     0.000    0.149E-06    0.173E-07
    22.240     0.000    0.142E-06    0.195E-07
    22.390     0.000    0.146E-06    0.170E-07
    22.550     0.000    0.141E-06    0.196E-07
    22.700     0.000    0.140E-06    0.164E-07
    22.860     0.000    0.130E-06    0.182E-07
    23.010     0.000    0.130E-06    0.158E-07
    23.160     0.000    0.127E-06    0.180E-07
    23.470     0.000    0.112E-06    0.155E-07
    23.780     0.000    0.879E-07    0.146E-07
    24.080     0.000    0.839E-07    0.148E-07
    24.390     0.000    0.811E-07    0.167E-07
    24.700     0.000    0.671E-07    0.158E-07
    25.310     0.000    0.637E-07    0.168E-07
    25.930     0.000    0.532E-07    0.137E-07
    26.540     0.000    0.693E-07    0.157E-07
    27.160     0.000    0.584E-07    0.134E-07
