# fe1_exp_029_nat_photoneut_1968Tom.dat                  
#
# Z = 29, A =  0
# No. of entries:   20
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1968Tom  T.Tomimasu; J.Phys.Soc.Japan 25, 655(1968).                                                                                                 
#    E         dE       f1           df1
    11.400     0.000    0.201E-06    0.000E+00
    12.100     0.000    0.278E-06    0.000E+00
    12.700     0.000    0.316E-06    0.000E+00
    13.300     0.000    0.378E-06    0.000E+00
    14.000     0.000    0.433E-06    0.000E+00
    14.600     0.000    0.461E-06    0.000E+00
    15.300     0.000    0.429E-06    0.000E+00
    16.000     0.000    0.387E-06    0.000E+00
    16.500     0.000    0.365E-06    0.000E+00
    16.600     0.000    0.375E-06    0.000E+00
    17.200     0.000    0.364E-06    0.000E+00
    17.900     0.000    0.340E-06    0.000E+00
    18.600     0.000    0.318E-06    0.000E+00
    19.300     0.000    0.276E-06    0.000E+00
    19.900     0.000    0.241E-06    0.000E+00
    20.500     0.000    0.211E-06    0.000E+00
    21.300     0.000    0.174E-06    0.000E+00
    21.900     0.000    0.164E-06    0.000E+00
    22.600     0.000    0.160E-06    0.000E+00
    23.200     0.000    0.151E-06    0.000E+00
