# fe1_exp_029_nat_photoneut_1970Is2.dat                  
#
# Z = 29, A =  0
# No. of entries:  120
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1970Is2  B.S.Ishkhanov, I.M.Kapitonov, E.V.Lazutin, et al.,  Vestnik Moskovskogo Univ., Ser.Fiz.Astron. 6, 606(1970).                                
#    E         dE       f1           df1
    10.900     0.000    0.121E-06    0.000E+00
    11.000     0.000    0.121E-06    0.000E+00
    11.100     0.000    0.899E-07    0.000E+00
    11.200     0.000    0.633E-07    0.000E+00
    11.300     0.000    0.758E-07    0.000E+00
    11.400     0.000    0.123E-06    0.000E+00
    11.500     0.000    0.169E-06    0.000E+00
    11.600     0.000    0.142E-06    0.000E+00
    11.700     0.000    0.126E-06    0.000E+00
    11.800     0.000    0.103E-06    0.000E+00
    11.900     0.000    0.112E-06    0.000E+00
    12.000     0.000    0.118E-06    0.000E+00
    12.100     0.000    0.118E-06    0.000E+00
    12.200     0.000    0.122E-06    0.000E+00
    12.300     0.000    0.121E-06    0.000E+00
    12.400     0.000    0.138E-06    0.000E+00
    12.500     0.000    0.169E-06    0.000E+00
    12.600     0.000    0.193E-06    0.000E+00
    12.700     0.000    0.202E-06    0.000E+00
    12.800     0.000    0.197E-06    0.000E+00
    12.900     0.000    0.188E-06    0.000E+00
    13.000     0.000    0.191E-06    0.000E+00
    13.100     0.000    0.264E-06    0.000E+00
    13.200     0.000    0.248E-06    0.000E+00
    13.300     0.000    0.273E-06    0.000E+00
    13.400     0.000    0.279E-06    0.000E+00
    13.500     0.000    0.242E-06    0.000E+00
    13.600     0.000    0.167E-06    0.000E+00
    13.700     0.000    0.151E-06    0.000E+00
    13.800     0.000    0.177E-06    0.000E+00
    13.900     0.000    0.232E-06    0.000E+00
    14.000     0.000    0.278E-06    0.000E+00
    14.100     0.000    0.293E-06    0.000E+00
    14.200     0.000    0.296E-06    0.000E+00
    14.300     0.000    0.344E-06    0.000E+00
    14.400     0.000    0.416E-06    0.000E+00
    14.500     0.000    0.427E-06    0.000E+00
    14.600     0.000    0.359E-06    0.000E+00
    14.700     0.000    0.300E-06    0.000E+00
    14.800     0.000    0.322E-06    0.000E+00
    14.900     0.000    0.413E-06    0.000E+00
    15.000     0.000    0.508E-06    0.000E+00
    15.100     0.000    0.516E-06    0.000E+00
    15.200     0.000    0.461E-06    0.000E+00
    15.300     0.000    0.405E-06    0.000E+00
    15.400     0.000    0.369E-06    0.000E+00
    15.500     0.000    0.365E-06    0.000E+00
    15.600     0.000    0.449E-06    0.000E+00
    15.700     0.000    0.552E-06    0.000E+00
    15.800     0.000    0.604E-06    0.000E+00
    15.900     0.000    0.589E-06    0.000E+00
    16.000     0.000    0.596E-06    0.000E+00
    16.100     0.000    0.620E-06    0.000E+00
    16.200     0.000    0.605E-06    0.000E+00
    16.300     0.000    0.489E-06    0.000E+00
    16.400     0.000    0.413E-06    0.000E+00
    16.500     0.000    0.422E-06    0.000E+00
    16.600     0.000    0.460E-06    0.000E+00
    16.700     0.000    0.530E-06    0.000E+00
    16.800     0.000    0.547E-06    0.000E+00
    16.900     0.000    0.461E-06    0.000E+00
    17.000     0.000    0.444E-06    0.000E+00
    17.100     0.000    0.382E-06    0.000E+00
    17.200     0.000    0.329E-06    0.000E+00
    17.300     0.000    0.329E-06    0.000E+00
    17.400     0.000    0.397E-06    0.000E+00
    17.500     0.000    0.396E-06    0.000E+00
    17.600     0.000    0.480E-06    0.000E+00
    17.700     0.000    0.519E-06    0.000E+00
    17.800     0.000    0.570E-06    0.000E+00
    17.900     0.000    0.464E-06    0.000E+00
    18.000     0.000    0.480E-06    0.000E+00
    18.100     0.000    0.400E-06    0.000E+00
    18.200     0.000    0.346E-06    0.000E+00
    18.300     0.000    0.304E-06    0.000E+00
    18.400     0.000    0.369E-06    0.000E+00
    18.500     0.000    0.336E-06    0.000E+00
    18.600     0.000    0.367E-06    0.000E+00
    18.700     0.000    0.451E-06    0.000E+00
    18.800     0.000    0.484E-06    0.000E+00
    18.900     0.000    0.451E-06    0.000E+00
    19.000     0.000    0.461E-06    0.000E+00
    19.100     0.000    0.442E-06    0.000E+00
    19.200     0.000    0.294E-06    0.000E+00
    19.300     0.000    0.238E-06    0.000E+00
    19.400     0.000    0.252E-06    0.000E+00
    19.500     0.000    0.255E-06    0.000E+00
    19.600     0.000    0.214E-06    0.000E+00
    19.700     0.000    0.307E-06    0.000E+00
    19.800     0.000    0.323E-06    0.000E+00
    19.900     0.000    0.324E-06    0.000E+00
    20.000     0.000    0.321E-06    0.000E+00
    20.250     0.000    0.213E-06    0.000E+00
    20.500     0.000    0.268E-06    0.000E+00
    20.750     0.000    0.315E-06    0.000E+00
    20.875     0.000    0.340E-06    0.000E+00
    21.000     0.000    0.297E-06    0.000E+00
    21.250     0.000    0.274E-06    0.000E+00
    21.500     0.000    0.295E-06    0.000E+00
    21.750     0.000    0.253E-06    0.000E+00
    22.000     0.000    0.170E-06    0.000E+00
