# fe1_exp_030_065_photoabs_2003Rod.dat                   
#
# Z = 30, A = 65
# No. of entries:  181
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Rod  T.E.Rodrigues, J.D.T.Arruda-Neto, Z.Carvalheiro, et al.,; Phys.Rev. C 68, 014618(2003).                                                     
#    E         dE       f1           df1
    12.000     0.000    0.702E-07    0.000E+00
    12.050     0.000    0.713E-07    0.000E+00
    12.100     0.000    0.724E-07    0.000E+00
    12.150     0.000    0.735E-07    0.000E+00
    12.200     0.000    0.747E-07    0.000E+00
    12.250     0.000    0.758E-07    0.000E+00
    12.300     0.000    0.769E-07    0.000E+00
    12.350     0.000    0.787E-07    0.000E+00
    12.400     0.000    0.797E-07    0.000E+00
    12.450     0.000    0.808E-07    0.000E+00
    12.500     0.000    0.826E-07    0.000E+00
    12.550     0.000    0.836E-07    0.000E+00
    12.600     0.000    0.854E-07    0.000E+00
    12.650     0.000    0.864E-07    0.000E+00
    12.700     0.000    0.881E-07    0.000E+00
    12.750     0.000    0.898E-07    0.000E+00
    12.800     0.000    0.915E-07    0.000E+00
    12.850     0.000    0.925E-07    0.000E+00
    12.900     0.000    0.941E-07    0.000E+00
    12.950     0.000    0.964E-07    0.000E+00
    13.000     0.000    0.981E-07    0.000E+00
    13.050     0.000    0.997E-07    0.000E+00
    13.100     0.000    0.102E-06    0.000E+00
    13.150     0.000    0.104E-06    0.000E+00
    13.200     0.000    0.106E-06    0.000E+00
    13.250     0.000    0.107E-06    0.000E+00
    13.300     0.000    0.110E-06    0.000E+00
    13.350     0.000    0.112E-06    0.000E+00
    13.400     0.000    0.114E-06    0.000E+00
    13.450     0.000    0.116E-06    0.000E+00
    13.500     0.000    0.119E-06    0.000E+00
    13.550     0.000    0.121E-06    0.000E+00
    13.600     0.000    0.124E-06    0.000E+00
    13.650     0.000    0.126E-06    0.000E+00
    13.700     0.000    0.129E-06    0.000E+00
    13.750     0.000    0.132E-06    0.000E+00
    13.800     0.000    0.135E-06    0.000E+00
    13.850     0.000    0.138E-06    0.000E+00
    13.900     0.000    0.140E-06    0.000E+00
    13.950     0.000    0.144E-06    0.000E+00
