# fe1_exp_032_070_photoneut_1976Ca1_L0043008.dat         
#
# Z = 32, A = 70
# No. of entries:   55
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Ca1  P.Carlos, H.Beil, R.Bergere, et al.,; Nucl. Phys. A258, 365(1976).                                                                          
#    E         dE       f1           df1
    11.820     0.000    0.106E-06    0.247E-07
    12.090     0.000    0.108E-06    0.247E-07
    12.360     0.000    0.135E-06    0.248E-07
    12.630     0.000    0.148E-06    0.248E-07
    12.910     0.000    0.157E-06    0.249E-07
    13.180     0.000    0.214E-06    0.249E-07
    13.450     0.000    0.257E-06    0.250E-07
    13.720     0.000    0.291E-06    0.250E-07
    13.990     0.000    0.335E-06    0.251E-07
    14.260     0.000    0.370E-06    0.251E-07
    14.530     0.000    0.370E-06    0.252E-07
    14.800     0.000    0.427E-06    0.252E-07
    15.070     0.000    0.456E-06    0.253E-07
    15.340     0.000    0.482E-06    0.253E-07
    15.620     0.000    0.454E-06    0.253E-07
    15.890     0.000    0.500E-06    0.254E-07
    16.160     0.000    0.475E-06    0.254E-07
    16.430     0.000    0.461E-06    0.254E-07
    16.700     0.000    0.465E-06    0.254E-07
    16.970     0.000    0.438E-06    0.255E-07
    17.240     0.000    0.406E-06    0.256E-07
    17.510     0.000    0.371E-06    0.256E-07
    17.780     0.000    0.390E-06    0.256E-07
    18.050     0.000    0.364E-06    0.256E-07
    18.330     0.000    0.372E-06    0.256E-07
    18.600     0.000    0.346E-06    0.257E-07
    18.870     0.000    0.337E-06    0.257E-07
    19.140     0.000    0.339E-06    0.257E-07
    19.410     0.000    0.323E-06    0.257E-07
    19.680     0.000    0.266E-06    0.272E-07
    19.950     0.000    0.266E-06    0.275E-07
    20.220     0.000    0.223E-06    0.277E-07
    20.490     0.000    0.227E-06    0.279E-07
    20.760     0.000    0.220E-06    0.281E-07
    21.040     0.000    0.209E-06    0.284E-07
    21.310     0.000    0.193E-06    0.286E-07
    21.580     0.000    0.203E-06    0.288E-07
    21.850     0.000    0.200E-06    0.291E-07
    22.120     0.000    0.170E-06    0.293E-07
    22.390     0.000    0.139E-06    0.295E-07
    22.660     0.000    0.155E-06    0.297E-07
    22.930     0.000    0.108E-06    0.300E-07
    23.200     0.000    0.131E-06    0.302E-07
    23.470     0.000    0.132E-06    0.304E-07
    23.750     0.000    0.134E-06    0.306E-07
    24.020     0.000    0.802E-07    0.309E-07
    24.290     0.000    0.106E-06    0.311E-07
    24.560     0.000    0.819E-07    0.313E-07
    24.830     0.000    0.115E-06    0.315E-07
    25.100     0.000    0.101E-06    0.317E-07
    25.370     0.000    0.927E-07    0.319E-07
    25.640     0.000    0.974E-07    0.322E-07
    25.910     0.000    0.119E-06    0.324E-07
    26.180     0.000    0.954E-07    0.326E-07
    26.460     0.000    0.721E-07    0.328E-07
