# fe1_exp_033_075_photoneut_1969Be1.dat                  
#
# Z = 33, A = 75
# No. of entries:   49
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Be1  B.L.Berman, R.L.Bramblett, J.T.Caldwell, H.S.Davis, M.A.Kelly, S.C.Fultz; Phys. Rev., 177, 1745(1969).                                      
#    E         dE       f1           df1
    10.646     0.000    0.656E-07    0.709E-08
    10.955     0.000    0.974E-07    0.800E-08
    11.265     0.000    0.121E-06    0.862E-08
    11.575     0.000    0.168E-06    0.982E-08
    11.885     0.000    0.162E-06    0.766E-08
    12.194     0.000    0.188E-06    0.825E-08
    12.504     0.000    0.201E-06    0.846E-08
    12.814     0.000    0.257E-06    0.914E-08
    13.123     0.000    0.259E-06    0.912E-08
    13.433     0.000    0.361E-06    0.103E-07
    13.743     0.000    0.358E-06    0.102E-07
    14.052     0.000    0.423E-06    0.101E-07
    14.362     0.000    0.460E-06    0.912E-08
    14.672     0.000    0.486E-06    0.940E-08
    14.982     0.000    0.501E-06    0.967E-08
    15.291     0.000    0.533E-06    0.100E-07
    15.601     0.000    0.519E-06    0.100E-07
    15.911     0.000    0.514E-06    0.654E-08
    16.220     0.000    0.520E-06    0.845E-08
    16.530     0.000    0.497E-06    0.845E-08
    16.840     0.000    0.500E-06    0.860E-08
    17.149     0.000    0.466E-06    0.850E-08
    17.459     0.000    0.446E-06    0.855E-08
    17.769     0.000    0.440E-06    0.825E-08
    18.079     0.000    0.430E-06    0.835E-08
    18.388     0.000    0.407E-06    0.835E-08
    18.698     0.000    0.373E-06    0.733E-08
    19.008     0.000    0.350E-06    0.716E-08
    19.317     0.000    0.316E-06    0.858E-08
    19.627     0.000    0.275E-06    0.853E-08
    19.937     0.000    0.272E-06    0.870E-08
    20.246     0.000    0.239E-06    0.865E-08
    20.556     0.000    0.235E-06    0.869E-08
    20.866     0.000    0.230E-06    0.877E-08
    21.176     0.000    0.191E-06    0.807E-08
    21.485     0.000    0.189E-06    0.767E-08
    21.795     0.000    0.166E-06    0.816E-08
    22.105     0.000    0.163E-06    0.820E-08
    22.414     0.000    0.166E-06    0.824E-08
    22.724     0.000    0.131E-06    0.542E-08
    23.034     0.000    0.124E-06    0.704E-08
    23.343     0.000    0.138E-06    0.758E-08
    23.653     0.000    0.103E-06    0.924E-08
    23.963     0.000    0.985E-07    0.887E-08
    24.273     0.000    0.997E-07    0.875E-08
    24.582     0.000    0.790E-07    0.942E-08
    24.892     0.000    0.714E-07    0.902E-08
    25.202     0.000    0.100E-06    0.977E-08
    25.511     0.000    0.802E-07    0.932E-08
