# fe1_exp_034_077_photoneut_2016Kit.dat                  
#
# Z = 34, A = 77
# No. of entries:   19
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (F.Kitatani, H.Harada, S.Goko, N.Iwamoto, H.Utsunomiya (J,NST,53,475,2016)                                                                          
#    E         dE       f1           df1
     7.700     0.077    0.372E-07    0.457E-08
     8.000     0.072    0.640E-07    0.787E-08
     8.400     0.067    0.537E-07    0.430E-08
     8.600     0.069    0.585E-07    0.409E-08
     8.900     0.071    0.624E-07    0.630E-08
     8.900     0.071    0.594E-07    0.476E-08
     9.200     0.074    0.717E-07    0.724E-08
     9.400     0.085    0.840E-07    0.537E-08
    10.000     0.080    0.911E-07    0.510E-08
    10.500     0.084    0.118E-06    0.102E-07
    10.700     0.064    0.113E-06    0.863E-08
    11.100     0.056    0.131E-06    0.761E-08
    11.700     0.058    0.172E-06    0.980E-08
    12.000     0.072    0.207E-06    0.120E-07
    12.400     0.087    0.232E-06    0.232E-07
    13.300     0.146    0.334E-06    0.207E-07
    13.300     0.106    0.368E-06    0.203E-07
    13.400     0.161    0.341E-06    0.263E-07
    13.800     0.110    0.425E-06    0.212E-07
