# fe1_exp_034_082_photoabs_1978Gur.dat                   
#
# Z = 34, A = 82
# No. of entries:   34
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1978Gur  G.M.Gurevich, L.E.Lazareva, V.M.Mazur, G.V.Solodukhov; Probl.Yad.Fiz.Kosm.Luchei 8, 106(1978).                                              
#    E         dE       f1           df1
     9.850     0.000    0.881E-07    0.528E-07
    10.000     0.000    0.182E-06    0.607E-07
    10.250     0.000    0.224E-06    0.550E-07
    10.800     0.000    0.189E-06    0.642E-07
    11.050     0.000    0.310E-06    0.667E-07
    11.400     0.000    0.460E-06    0.495E-07
    11.700     0.000    0.482E-06    0.445E-07
    12.000     0.000    0.481E-06    0.506E-07
    12.100     0.000    0.430E-06    0.502E-07
    12.400     0.000    0.448E-06    0.420E-07
    12.700     0.000    0.301E-06    0.546E-07
    12.950     0.000    0.358E-06    0.502E-07
    13.100     0.000    0.500E-06    0.583E-07
    13.450     0.000    0.439E-06    0.484E-07
    13.700     0.000    0.608E-06    0.443E-07
    14.100     0.000    0.664E-06    0.431E-07
    14.350     0.000    0.810E-06    0.393E-07
    14.700     0.000    0.962E-06    0.413E-07
    14.950     0.000    0.847E-06    0.464E-07
    15.250     0.000    0.978E-06    0.455E-07
    15.900     0.000    0.106E-05    0.436E-07
    16.000     0.000    0.922E-06    0.325E-07
    16.250     0.000    0.897E-06    0.374E-07
    16.600     0.000    0.893E-06    0.366E-07
    16.900     0.000    0.826E-06    0.359E-07
    17.000     0.000    0.755E-06    0.383E-07
    17.300     0.000    0.697E-06    0.351E-07
    17.850     0.000    0.680E-06    0.389E-07
    18.000     0.000    0.617E-06    0.361E-07
    18.300     0.000    0.436E-06    0.284E-07
    18.600     0.000    0.532E-06    0.280E-07
    19.100     0.000    0.468E-06    0.409E-07
    19.350     0.000    0.430E-06    0.448E-07
    19.900     0.000    0.366E-06    0.392E-07
