# fe1_exp_038_nat_photoneut_1971Lep.dat                  
#
# Z = 38, A =  0
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Lep  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl.Phys. A175, 609(1971).                                                                         
#    E         dE       f1           df1
    11.629     0.000    0.157E-06    0.156E-07
    11.766     0.000    0.170E-06    0.155E-07
    11.902     0.000    0.211E-06    0.154E-07
    12.038     0.000    0.238E-06    0.154E-07
    12.174     0.000    0.242E-06    0.153E-07
    12.310     0.000    0.254E-06    0.153E-07
    12.447     0.000    0.258E-06    0.153E-07
    12.583     0.000    0.262E-06    0.152E-07
    12.719     0.000    0.266E-06    0.151E-07
    12.855     0.000    0.283E-06    0.151E-07
    12.991     0.000    0.287E-06    0.150E-07
    13.128     0.000    0.277E-06    0.150E-07
    13.264     0.000    0.307E-06    0.150E-07
    13.400     0.000    0.337E-06    0.150E-07
    13.536     0.000    0.346E-06    0.149E-07
    13.672     0.000    0.393E-06    0.148E-07
    13.809     0.000    0.396E-06    0.148E-07
    13.945     0.000    0.386E-06    0.147E-07
    14.081     0.000    0.444E-06    0.147E-07
    14.217     0.000    0.458E-06    0.147E-07
    14.353     0.000    0.514E-06    0.146E-07
    14.490     0.000    0.545E-06    0.146E-07
    14.626     0.000    0.581E-06    0.146E-07
    14.762     0.000    0.617E-06    0.145E-07
    14.898     0.000    0.635E-06    0.145E-07
    15.034     0.000    0.675E-06    0.145E-07
    15.171     0.000    0.743E-06    0.145E-07
    15.307     0.000    0.765E-06    0.144E-07
    15.443     0.000    0.803E-06    0.144E-07
    15.579     0.000    0.852E-06    0.144E-07
    15.715     0.000    0.911E-06    0.143E-07
    15.852     0.000    0.908E-06    0.143E-07
    15.988     0.000    0.101E-05    0.143E-07
    16.124     0.000    0.104E-05    0.142E-07
    16.260     0.000    0.104E-05    0.142E-07
    16.396     0.000    0.106E-05    0.142E-07
    16.533     0.000    0.106E-05    0.142E-07
    16.669     0.000    0.109E-05    0.141E-07
    16.805     0.000    0.107E-05    0.141E-07
    16.941     0.000    0.106E-05    0.141E-07
    17.077     0.000    0.102E-05    0.140E-07
    17.214     0.000    0.100E-05    0.140E-07
    17.350     0.000    0.960E-06    0.140E-07
    17.486     0.000    0.942E-06    0.139E-07
    17.622     0.000    0.861E-06    0.139E-07
    17.758     0.000    0.874E-06    0.139E-07
    17.895     0.000    0.824E-06    0.139E-07
    18.031     0.000    0.726E-06    0.139E-07
    18.167     0.000    0.726E-06    0.138E-07
    18.303     0.000    0.716E-06    0.138E-07
    18.439     0.000    0.696E-06    0.138E-07
    18.576     0.000    0.668E-06    0.138E-07
    18.712     0.000    0.603E-06    0.138E-07
    18.848     0.000    0.575E-06    0.137E-07
    18.984     0.000    0.544E-06    0.137E-07
    19.120     0.000    0.558E-06    0.137E-07
    19.257     0.000    0.504E-06    0.136E-07
    19.393     0.000    0.483E-06    0.136E-07
    19.529     0.000    0.475E-06    0.136E-07
    19.665     0.000    0.450E-06    0.136E-07
    19.801     0.000    0.434E-06    0.136E-07
    19.938     0.000    0.413E-06    0.136E-07
    20.074     0.000    0.406E-06    0.136E-07
    20.210     0.000    0.386E-06    0.135E-07
    20.346     0.000    0.392E-06    0.135E-07
    20.482     0.000    0.381E-06    0.135E-07
    20.619     0.000    0.374E-06    0.135E-07
    20.755     0.000    0.372E-06    0.135E-07
    20.891     0.000    0.378E-06    0.135E-07
    21.027     0.000    0.359E-06    0.134E-07
    21.163     0.000    0.340E-06    0.134E-07
    21.300     0.000    0.326E-06    0.134E-07
    21.436     0.000    0.324E-06    0.134E-07
    21.572     0.000    0.302E-06    0.133E-07
    21.708     0.000    0.296E-06    0.133E-07
    21.844     0.000    0.278E-06    0.133E-07
    21.981     0.000    0.300E-06    0.133E-07
    22.117     0.000    0.282E-06    0.133E-07
    22.253     0.000    0.281E-06    0.133E-07
    22.389     0.000    0.291E-06    0.132E-07
    22.525     0.000    0.273E-06    0.132E-07
    22.662     0.000    0.264E-06    0.132E-07
    22.798     0.000    0.270E-06    0.132E-07
    22.934     0.000    0.257E-06    0.132E-07
    23.070     0.000    0.244E-06    0.132E-07
    23.206     0.000    0.250E-06    0.132E-07
    23.343     0.000    0.238E-06    0.132E-07
    23.479     0.000    0.233E-06    0.132E-07
    23.615     0.000    0.228E-06    0.131E-07
    23.751     0.000    0.205E-06    0.131E-07
    23.887     0.000    0.200E-06    0.131E-07
    24.024     0.000    0.202E-06    0.131E-07
    24.160     0.000    0.187E-06    0.131E-07
    24.296     0.000    0.168E-06    0.131E-07
    24.432     0.000    0.163E-06    0.131E-07
    24.568     0.000    0.155E-06    0.131E-07
    24.705     0.000    0.154E-06    0.130E-07
    24.841     0.000    0.157E-06    0.130E-07
    24.977     0.000    0.167E-06    0.130E-07
    25.113     0.000    0.159E-06    0.130E-07
    25.249     0.000    0.161E-06    0.130E-07
    25.386     0.000    0.171E-06    0.130E-07
    25.522     0.000    0.163E-06    0.129E-07
    25.658     0.000    0.156E-06    0.129E-07
    25.794     0.000    0.155E-06    0.129E-07
    25.930     0.000    0.161E-06    0.129E-07
    26.067     0.000    0.156E-06    0.129E-07
    26.203     0.000    0.162E-06    0.129E-07
    26.339     0.000    0.151E-06    0.129E-07
