# fe1_exp_039_089_photoabs_2003Var.dat                   
#
# Z = 39, A = 89
# No. of entries:   87
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Var  V.V.Varlamov, M.E.Stepanov, V.V.Chesnokov; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 656(2003); (Bull.Rus.Acad.Sci.Phys. 67, 724 (2003)).          
#    E         dE       f1           df1
    15.300     0.000    0.901E-06    0.000E+00
    15.400     0.000    0.935E-06    0.000E+00
    15.500     0.000    0.968E-06    0.000E+00
    15.600     0.000    0.100E-05    0.000E+00
    15.700     0.000    0.103E-05    0.000E+00
    15.800     0.000    0.106E-05    0.000E+00
    15.900     0.000    0.110E-05    0.000E+00
    16.000     0.000    0.112E-05    0.000E+00
    16.100     0.000    0.115E-05    0.000E+00
    16.200     0.000    0.117E-05    0.000E+00
    16.300     0.000    0.119E-05    0.000E+00
    16.400     0.000    0.120E-05    0.000E+00
    16.500     0.000    0.121E-05    0.000E+00
    16.600     0.000    0.122E-05    0.000E+00
    16.700     0.000    0.122E-05    0.000E+00
    16.800     0.000    0.121E-05    0.000E+00
    16.900     0.000    0.120E-05    0.000E+00
    17.000     0.000    0.119E-05    0.000E+00
    17.100     0.000    0.117E-05    0.000E+00
    17.200     0.000    0.115E-05    0.000E+00
    17.300     0.000    0.112E-05    0.000E+00
    17.400     0.000    0.110E-05    0.000E+00
    17.500     0.000    0.107E-05    0.000E+00
    17.600     0.000    0.103E-05    0.000E+00
    17.700     0.000    0.100E-05    0.000E+00
    17.800     0.000    0.970E-06    0.000E+00
    17.900     0.000    0.930E-06    0.000E+00
    18.000     0.000    0.896E-06    0.000E+00
    18.100     0.000    0.863E-06    0.000E+00
    18.200     0.000    0.824E-06    0.000E+00
    18.300     0.000    0.792E-06    0.000E+00
    18.400     0.000    0.754E-06    0.000E+00
    18.500     0.000    0.722E-06    0.000E+00
    18.600     0.000    0.690E-06    0.000E+00
    18.700     0.000    0.663E-06    0.000E+00
    18.800     0.000    0.637E-06    0.000E+00
    18.900     0.000    0.610E-06    0.000E+00
    19.000     0.000    0.584E-06    0.000E+00
    19.100     0.000    0.563E-06    0.000E+00
    19.200     0.000    0.542E-06    0.000E+00
    19.300     0.000    0.526E-06    0.000E+00
    19.400     0.000    0.510E-06    0.000E+00
    19.500     0.000    0.494E-06    0.000E+00
    19.600     0.000    0.482E-06    0.000E+00
    19.700     0.000    0.471E-06    0.000E+00
    19.800     0.000    0.460E-06    0.000E+00
    19.900     0.000    0.449E-06    0.000E+00
    20.000     0.000    0.442E-06    0.000E+00
    20.100     0.000    0.432E-06    0.000E+00
    20.200     0.000    0.426E-06    0.000E+00
    20.300     0.000    0.418E-06    0.000E+00
    20.400     0.000    0.411E-06    0.000E+00
    20.500     0.000    0.403E-06    0.000E+00
    20.600     0.000    0.396E-06    0.000E+00
    20.700     0.000    0.389E-06    0.000E+00
    20.800     0.000    0.383E-06    0.000E+00
    20.900     0.000    0.377E-06    0.000E+00
    21.000     0.000    0.371E-06    0.000E+00
    21.100     0.000    0.365E-06    0.000E+00
    21.200     0.000    0.359E-06    0.000E+00
    21.300     0.000    0.353E-06    0.000E+00
    21.400     0.000    0.348E-06    0.000E+00
    21.500     0.000    0.342E-06    0.000E+00
    21.600     0.000    0.336E-06    0.000E+00
    21.700     0.000    0.329E-06    0.000E+00
    21.800     0.000    0.323E-06    0.000E+00
    21.900     0.000    0.317E-06    0.000E+00
    22.000     0.000    0.311E-06    0.000E+00
    22.100     0.000    0.304E-06    0.000E+00
    22.200     0.000    0.298E-06    0.000E+00
    22.300     0.000    0.292E-06    0.000E+00
    22.400     0.000    0.286E-06    0.000E+00
    22.500     0.000    0.281E-06    0.000E+00
    22.600     0.000    0.275E-06    0.000E+00
    22.700     0.000    0.269E-06    0.000E+00
    22.800     0.000    0.263E-06    0.000E+00
    22.900     0.000    0.258E-06    0.000E+00
    23.000     0.000    0.252E-06    0.000E+00
    23.100     0.000    0.246E-06    0.000E+00
    23.200     0.000    0.241E-06    0.000E+00
    23.300     0.000    0.236E-06    0.000E+00
    23.400     0.000    0.231E-06    0.000E+00
    23.500     0.000    0.227E-06    0.000E+00
    23.600     0.000    0.223E-06    0.000E+00
    23.700     0.000    0.218E-06    0.000E+00
    23.800     0.000    0.215E-06    0.000E+00
    23.900     0.000    0.212E-06    0.000E+00
