# fe1_exp_039_089_photoneut_1971Le1.dat                  
#
# Z = 39, A = 89
# No. of entries:   99
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A175, 609(1971).                                                                        
#    E         dE       f1           df1
    12.310     0.000    0.176E-06    0.153E-07
    12.447     0.000    0.153E-06    0.153E-07
    12.583     0.000    0.207E-06    0.152E-07
    12.719     0.000    0.232E-06    0.151E-07
    12.855     0.000    0.250E-06    0.151E-07
    12.991     0.000    0.267E-06    0.150E-07
    13.128     0.000    0.304E-06    0.150E-07
    13.264     0.000    0.294E-06    0.150E-07
    13.400     0.000    0.337E-06    0.150E-07
    13.536     0.000    0.352E-06    0.149E-07
    13.672     0.000    0.381E-06    0.148E-07
    13.809     0.000    0.396E-06    0.148E-07
    13.945     0.000    0.423E-06    0.147E-07
    14.081     0.000    0.431E-06    0.147E-07
    14.217     0.000    0.506E-06    0.147E-07
    14.353     0.000    0.544E-06    0.146E-07
    14.490     0.000    0.557E-06    0.146E-07
    14.626     0.000    0.640E-06    0.146E-07
    14.762     0.000    0.729E-06    0.145E-07
    14.898     0.000    0.751E-06    0.145E-07
    15.034     0.000    0.767E-06    0.145E-07
    15.171     0.000    0.823E-06    0.145E-07
    15.307     0.000    0.850E-06    0.144E-07
    15.443     0.000    0.865E-06    0.144E-07
    15.579     0.000    0.935E-06    0.144E-07
    15.715     0.000    0.971E-06    0.143E-07
    15.852     0.000    0.104E-05    0.143E-07
    15.988     0.000    0.111E-05    0.143E-07
    16.124     0.000    0.112E-05    0.142E-07
    16.260     0.000    0.116E-05    0.142E-07
    16.396     0.000    0.116E-05    0.142E-07
    16.533     0.000    0.116E-05    0.142E-07
    16.669     0.000    0.117E-05    0.141E-07
    16.805     0.000    0.116E-05    0.141E-07
    16.941     0.000    0.113E-05    0.141E-07
    17.077     0.000    0.114E-05    0.140E-07
    17.214     0.000    0.108E-05    0.140E-07
    17.350     0.000    0.104E-05    0.140E-07
    17.486     0.000    0.103E-05    0.139E-07
    17.622     0.000    0.955E-06    0.139E-07
    17.758     0.000    0.918E-06    0.139E-07
    17.895     0.000    0.858E-06    0.139E-07
    18.031     0.000    0.818E-06    0.139E-07
    18.167     0.000    0.750E-06    0.138E-07
    18.303     0.000    0.720E-06    0.138E-07
    18.439     0.000    0.682E-06    0.138E-07
    18.576     0.000    0.635E-06    0.138E-07
    18.712     0.000    0.566E-06    0.138E-07
    18.848     0.000    0.552E-06    0.137E-07
    18.984     0.000    0.516E-06    0.137E-07
    19.120     0.000    0.494E-06    0.137E-07
    19.257     0.000    0.450E-06    0.136E-07
    19.393     0.000    0.429E-06    0.136E-07
    19.529     0.000    0.400E-06    0.136E-07
    19.665     0.000    0.397E-06    0.136E-07
    19.801     0.000    0.381E-06    0.136E-07
    19.938     0.000    0.396E-06    0.136E-07
    20.074     0.000    0.372E-06    0.136E-07
    20.210     0.000    0.352E-06    0.135E-07
    20.346     0.000    0.350E-06    0.135E-07
    20.482     0.000    0.335E-06    0.135E-07
    20.619     0.000    0.294E-06    0.135E-07
    20.755     0.000    0.297E-06    0.135E-07
    20.891     0.000    0.299E-06    0.135E-07
    21.027     0.000    0.297E-06    0.134E-07
    21.163     0.000    0.283E-06    0.134E-07
    21.300     0.000    0.265E-06    0.134E-07
    21.436     0.000    0.275E-06    0.134E-07
    21.572     0.000    0.261E-06    0.133E-07
    21.708     0.000    0.248E-06    0.133E-07
    21.844     0.000    0.234E-06    0.133E-07
    21.981     0.000    0.245E-06    0.133E-07
    22.117     0.000    0.216E-06    0.133E-07
    22.253     0.000    0.207E-06    0.133E-07
    22.389     0.000    0.209E-06    0.132E-07
    22.525     0.000    0.208E-06    0.132E-07
    22.662     0.000    0.199E-06    0.132E-07
    22.798     0.000    0.205E-06    0.132E-07
    22.934     0.000    0.166E-06    0.132E-07
    23.070     0.000    0.169E-06    0.132E-07
    23.206     0.000    0.172E-06    0.132E-07
    23.343     0.000    0.152E-06    0.132E-07
    23.479     0.000    0.163E-06    0.132E-07
    23.615     0.000    0.147E-06    0.131E-07
    23.751     0.000    0.142E-06    0.131E-07
    23.887     0.000    0.134E-06    0.131E-07
    24.024     0.000    0.126E-06    0.131E-07
    24.160     0.000    0.133E-06    0.131E-07
    24.296     0.000    0.136E-06    0.131E-07
    24.432     0.000    0.124E-06    0.131E-07
    24.568     0.000    0.124E-06    0.131E-07
    24.705     0.000    0.126E-06    0.130E-07
    24.841     0.000    0.133E-06    0.130E-07
    24.977     0.000    0.125E-06    0.130E-07
    25.113     0.000    0.124E-06    0.130E-07
    25.249     0.000    0.131E-06    0.130E-07
    25.386     0.000    0.130E-06    0.130E-07
    25.522     0.000    0.133E-06    0.129E-07
    25.658     0.000    0.128E-06    0.129E-07
