# fe1_exp_039_089_photoneut_1999Bel.dat                  
#
# Z = 39, A = 89
# No. of entries:  137
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1999Bel  S.N.Belyaev, V.A.Semenov, V.P.Sinichkin; Workshop on Beam Dynamics and Optimiz, Saratov 97 (1997).                                          
#    E         dE       f1           df1
    12.210     0.000    0.277E-07    0.284E-08
    12.300     0.000    0.346E-07    0.282E-08
    12.370     0.000    0.400E-07    0.280E-08
    12.430     0.000    0.447E-07    0.279E-08
    12.490     0.000    0.493E-07    0.278E-08
    12.560     0.000    0.539E-07    0.276E-08
    12.620     0.000    0.577E-07    0.275E-08
    12.690     0.000    0.608E-07    0.273E-08
    12.750     0.000    0.633E-07    0.272E-08
    12.810     0.000    0.650E-07    0.271E-08
    12.880     0.000    0.667E-07    0.269E-08
    12.940     0.000    0.670E-07    0.268E-08
    13.010     0.000    0.680E-07    0.333E-08
    13.070     0.000    0.684E-07    0.332E-08
    13.140     0.000    0.693E-07    0.330E-08
    13.200     0.000    0.703E-07    0.329E-08
    13.260     0.000    0.726E-07    0.327E-08
    13.330     0.000    0.742E-07    0.325E-08
    13.400     0.000    0.770E-07    0.324E-08
    13.470     0.000    0.805E-07    0.322E-08
    13.540     0.000    0.833E-07    0.320E-08
    13.610     0.000    0.867E-07    0.319E-08
    13.690     0.000    0.906E-07    0.317E-08
    13.760     0.000    0.939E-07    0.315E-08
    13.830     0.000    0.978E-07    0.314E-08
    13.900     0.000    0.102E-06    0.312E-08
    13.970     0.000    0.105E-06    0.310E-08
    14.050     0.000    0.109E-06    0.309E-08
    14.120     0.000    0.112E-06    0.307E-08
    14.190     0.000    0.115E-06    0.367E-08
    14.260     0.000    0.118E-06    0.365E-08
    14.340     0.000    0.120E-06    0.363E-08
    14.410     0.000    0.123E-06    0.361E-08
    14.480     0.000    0.125E-06    0.359E-08
    14.560     0.000    0.128E-06    0.357E-08
    14.640     0.000    0.132E-06    0.355E-08
    14.720     0.000    0.135E-06    0.354E-08
    14.800     0.000    0.139E-06    0.352E-08
    14.880     0.000    0.144E-06    0.350E-08
    14.960     0.000    0.149E-06    0.348E-08
    15.040     0.000    0.155E-06    0.346E-08
    15.120     0.000    0.161E-06    0.344E-08
    15.200     0.000    0.168E-06    0.342E-08
    15.280     0.000    0.175E-06    0.341E-08
    15.360     0.000    0.183E-06    0.339E-08
    15.440     0.000    0.192E-06    0.393E-08
    15.520     0.000    0.201E-06    0.391E-08
    15.600     0.000    0.211E-06    0.389E-08
    15.680     0.000    0.222E-06    0.387E-08
    15.760     0.000    0.233E-06    0.385E-08
    15.840     0.000    0.243E-06    0.383E-08
    15.920     0.000    0.254E-06    0.381E-08
    16.010     0.000    0.265E-06    0.379E-08
    16.100     0.000    0.275E-06    0.377E-08
    16.190     0.000    0.284E-06    0.375E-08
    16.280     0.000    0.292E-06    0.373E-08
    16.370     0.000    0.300E-06    0.371E-08
    16.450     0.000    0.307E-06    0.369E-08
    16.540     0.000    0.314E-06    0.367E-08
    16.630     0.000    0.319E-06    0.365E-08
    16.720     0.000    0.324E-06    0.415E-08
    16.810     0.000    0.328E-06    0.413E-08
    16.890     0.000    0.332E-06    0.411E-08
    16.980     0.000    0.335E-06    0.409E-08
    17.070     0.000    0.337E-06    0.407E-08
    17.160     0.000    0.339E-06    0.404E-08
    17.250     0.000    0.340E-06    0.402E-08
    17.340     0.000    0.341E-06    0.400E-08
    17.430     0.000    0.341E-06    0.398E-08
    17.520     0.000    0.341E-06    0.396E-08
    17.620     0.000    0.339E-06    0.394E-08
    17.720     0.000    0.337E-06    0.392E-08
    17.810     0.000    0.334E-06    0.390E-08
    17.910     0.000    0.329E-06    0.387E-08
    18.010     0.000    0.323E-06    0.385E-08
    18.100     0.000    0.316E-06    0.383E-08
    18.200     0.000    0.308E-06    0.429E-08
    18.300     0.000    0.300E-06    0.427E-08
    18.390     0.000    0.291E-06    0.424E-08
    18.490     0.000    0.282E-06    0.422E-08
    18.580     0.000    0.274E-06    0.420E-08
    18.680     0.000    0.266E-06    0.418E-08
    18.780     0.000    0.258E-06    0.416E-08
    18.870     0.000    0.251E-06    0.414E-08
    18.970     0.000    0.245E-06    0.412E-08
    19.080     0.000    0.240E-06    0.409E-08
    19.180     0.000    0.236E-06    0.407E-08
    19.290     0.000    0.232E-06    0.405E-08
    19.390     0.000    0.230E-06    0.403E-08
    19.490     0.000    0.228E-06    0.401E-08
    19.600     0.000    0.227E-06    0.398E-08
    19.700     0.000    0.225E-06    0.396E-08
    19.810     0.000    0.224E-06    0.394E-08
    19.960     0.000    0.221E-06    0.391E-08
    20.120     0.000    0.217E-06    0.388E-08
    20.220     0.000    0.214E-06    0.429E-08
    20.330     0.000    0.209E-06    0.427E-08
    20.430     0.000    0.205E-06    0.425E-08
    20.540     0.000    0.199E-06    0.422E-08
    20.640     0.000    0.192E-06    0.420E-08
    20.750     0.000    0.185E-06    0.418E-08
    20.860     0.000    0.177E-06    0.416E-08
    20.980     0.000    0.168E-06    0.413E-08
    21.090     0.000    0.159E-06    0.411E-08
    21.200     0.000    0.151E-06    0.409E-08
    21.310     0.000    0.142E-06    0.407E-08
    21.420     0.000    0.134E-06    0.405E-08
    21.540     0.000    0.126E-06    0.403E-08
    21.650     0.000    0.118E-06    0.401E-08
    21.760     0.000    0.110E-06    0.399E-08
    21.870     0.000    0.104E-06    0.397E-08
    21.990     0.000    0.978E-07    0.394E-08
    22.100     0.000    0.926E-07    0.392E-08
    22.210     0.000    0.883E-07    0.391E-08
    22.320     0.000    0.843E-07    0.389E-08
    22.440     0.000    0.808E-07    0.387E-08
    22.550     0.000    0.781E-07    0.385E-08
    22.660     0.000    0.750E-07    0.383E-08
    22.780     0.000    0.723E-07    0.381E-08
    22.910     0.000    0.697E-07    0.379E-08
    23.030     0.000    0.667E-07    0.414E-08
    23.150     0.000    0.641E-07    0.412E-08
    23.270     0.000    0.611E-07    0.410E-08
    23.390     0.000    0.582E-07    0.408E-08
    23.510     0.000    0.557E-07    0.443E-08
    23.630     0.000    0.529E-07    0.440E-08
    23.750     0.000    0.500E-07    0.438E-08
    23.870     0.000    0.472E-07    0.436E-08
    23.990     0.000    0.448E-07    0.434E-08
    24.110     0.000    0.421E-07    0.432E-08
    24.230     0.000    0.397E-07    0.501E-08
    24.350     0.000    0.374E-07    0.570E-08
    24.470     0.000    0.351E-07    0.709E-08
    24.590     0.000    0.328E-07    0.917E-08
    24.720     0.000    0.305E-07    0.116E-07
    24.850     0.000    0.283E-07    0.147E-07
    24.980     0.000    0.264E-07    0.181E-07
