# fe1_exp_039_089_photoneut_2019Sub.dat                  
#
# Z = 39, A = 89
# No. of entries:   24
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    Subaru Collaboration, in press, (2019)                                                                                                              
#    E         dE       f1           df1
    12.260     0.000    0.118E-06    0.474E-08
    12.490     0.000    0.170E-06    0.840E-08
    13.000     0.000    0.215E-06    0.122E-07
    14.000     0.000    0.371E-06    0.173E-07
    14.680     0.000    0.570E-06    0.280E-07
    16.020     0.000    0.101E-05    0.512E-07
    17.000     0.000    0.117E-05    0.613E-07
    17.510     0.000    0.994E-06    0.584E-07
    18.020     0.000    0.738E-06    0.568E-07
    18.510     0.000    0.535E-06    0.446E-07
    19.010     0.000    0.433E-06    0.415E-07
    19.490     0.000    0.416E-06    0.364E-07
    20.010     0.000    0.372E-06    0.338E-07
    20.700     0.000    0.311E-06    0.209E-07
    21.230     0.000    0.253E-06    0.186E-07
    21.720     0.000    0.222E-06    0.173E-07
    22.210     0.000    0.199E-06    0.147E-07
    22.710     0.000    0.168E-06    0.989E-08
    23.150     0.000    0.140E-06    0.738E-08
    23.660     0.000    0.120E-06    0.722E-08
    24.170     0.000    0.116E-06    0.653E-08
    24.620     0.000    0.112E-06    0.557E-08
    25.140     0.000    0.105E-06    0.514E-08
    25.610     0.000    0.967E-07    0.494E-08
