# fe1_exp_040_090_photoneut_1967Be2.dat                  
#
# Z = 40, A = 90
# No. of entries:   88
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1967Be2  B.L.Berman, J.T.Caldwell, R.R.Harvey, M.A.Kelly, R.L.Bramblett, S.C.Fultz; Phys. Rev., 162, 1098(1967).                                     
#    E         dE       f1           df1
    12.736     0.000    0.701E-07    0.681E-08
    12.891     0.000    0.111E-06    0.740E-08
    13.046     0.000    0.135E-06    0.731E-08
    13.201     0.000    0.141E-06    0.723E-08
    13.356     0.000    0.177E-06    0.779E-08
    13.511     0.000    0.189E-06    0.835E-08
    13.665     0.000    0.229E-06    0.102E-07
    13.820     0.000    0.251E-06    0.113E-07
    13.975     0.000    0.287E-06    0.106E-07
    14.053     0.000    0.294E-06    0.136E-07
    14.130     0.000    0.319E-06    0.104E-07
    14.285     0.000    0.351E-06    0.109E-07
    14.362     0.000    0.358E-06    0.133E-07
    14.440     0.000    0.385E-06    0.120E-07
    14.594     0.000    0.429E-06    0.119E-07
    14.672     0.000    0.458E-06    0.130E-07
    14.749     0.000    0.467E-06    0.118E-07
    14.904     0.000    0.503E-06    0.128E-07
    14.982     0.000    0.542E-06    0.127E-07
    15.059     0.000    0.550E-06    0.127E-07
    15.214     0.000    0.604E-06    0.194E-07
    15.291     0.000    0.641E-06    0.176E-07
    15.369     0.000    0.672E-06    0.192E-07
    15.524     0.000    0.710E-06    0.190E-07
    15.601     0.000    0.745E-06    0.122E-07
    15.678     0.000    0.730E-06    0.188E-07
    15.756     0.000    0.793E-06    0.121E-07
    15.833     0.000    0.860E-06    0.247E-07
    15.911     0.000    0.829E-06    0.120E-07
    15.988     0.000    0.890E-06    0.109E-07
    16.104     0.000    0.921E-06    0.108E-07
    16.259     0.000    0.923E-06    0.107E-07
    16.414     0.000    0.925E-06    0.185E-07
    16.569     0.000    0.927E-06    0.105E-07
    16.724     0.000    0.934E-06    0.130E-07
    16.879     0.000    0.925E-06    0.103E-07
    17.033     0.000    0.896E-06    0.102E-07
    17.188     0.000    0.873E-06    0.101E-07
    17.343     0.000    0.880E-06    0.175E-07
    17.498     0.000    0.838E-06    0.124E-07
    17.653     0.000    0.762E-06    0.172E-07
    17.808     0.000    0.735E-06    0.122E-07
    17.962     0.000    0.700E-06    0.169E-07
    18.117     0.000    0.651E-06    0.120E-07
    18.272     0.000    0.589E-06    0.949E-08
    18.427     0.000    0.560E-06    0.941E-08
    18.582     0.000    0.541E-06    0.117E-07
    18.737     0.000    0.509E-06    0.926E-08
    18.892     0.000    0.487E-06    0.115E-07
    19.046     0.000    0.465E-06    0.911E-08
    19.201     0.000    0.438E-06    0.136E-07
    19.356     0.000    0.444E-06    0.896E-08
    19.511     0.000    0.427E-06    0.111E-07
    19.666     0.000    0.379E-06    0.110E-07
    19.821     0.000    0.368E-06    0.131E-07
    19.976     0.000    0.321E-06    0.109E-07
    20.130     0.000    0.310E-06    0.108E-07
    20.285     0.000    0.304E-06    0.107E-07
    20.479     0.000    0.305E-06    0.144E-07
    20.634     0.000    0.269E-06    0.143E-07
    20.788     0.000    0.309E-06    0.142E-07
    20.943     0.000    0.277E-06    0.141E-07
    21.098     0.000    0.275E-06    0.140E-07
    21.253     0.000    0.265E-06    0.139E-07
    21.408     0.000    0.243E-06    0.182E-07
    21.563     0.000    0.225E-06    0.181E-07
    21.718     0.000    0.224E-06    0.224E-07
    21.872     0.000    0.230E-06    0.222E-07
    22.027     0.000    0.201E-06    0.177E-07
    22.182     0.000    0.207E-06    0.176E-07
    22.337     0.000    0.194E-06    0.175E-07
    22.492     0.000    0.208E-06    0.174E-07
    22.647     0.000    0.169E-06    0.172E-07
    22.802     0.000    0.167E-06    0.171E-07
    22.956     0.000    0.144E-06    0.212E-07
    23.111     0.000    0.109E-06    0.169E-07
    23.266     0.000    0.104E-06    0.168E-07
    23.421     0.000    0.926E-07    0.167E-07
    23.576     0.000    0.957E-07    0.166E-07
    23.731     0.000    0.987E-07    0.164E-07
    23.885     0.000    0.105E-06    0.203E-07
    24.040     0.000    0.758E-07    0.162E-07
    24.195     0.000    0.104E-06    0.201E-07
    24.350     0.000    0.748E-07    0.199E-07
    24.505     0.000    0.814E-07    0.159E-07
    24.815     0.000    0.699E-07    0.157E-07
    25.124     0.000    0.621E-07    0.117E-07
    25.434     0.000    0.614E-07    0.116E-07
