# fe1_exp_040_090_photoneut_1971Le1_L0027012.dat         
#
# Z = 40, A = 90
# No. of entries:   96
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A175, 609(1971).                                                                        
#    E         dE       f1           df1
    12.719     0.000    0.130E-06    0.142E-07
    12.855     0.000    0.175E-06    0.142E-07
    12.991     0.000    0.207E-06    0.142E-07
    13.128     0.000    0.225E-06    0.141E-07
    13.264     0.000    0.242E-06    0.141E-07
    13.400     0.000    0.272E-06    0.141E-07
    13.536     0.000    0.276E-06    0.141E-07
    13.672     0.000    0.317E-06    0.141E-07
    13.809     0.000    0.352E-06    0.141E-07
    13.945     0.000    0.379E-06    0.141E-07
    14.081     0.000    0.413E-06    0.140E-07
    14.217     0.000    0.451E-06    0.140E-07
    14.353     0.000    0.471E-06    0.140E-07
    14.490     0.000    0.515E-06    0.140E-07
    14.626     0.000    0.569E-06    0.140E-07
    14.762     0.000    0.558E-06    0.140E-07
    14.898     0.000    0.635E-06    0.140E-07
    15.034     0.000    0.675E-06    0.140E-07
    15.171     0.000    0.789E-06    0.140E-07
    15.307     0.000    0.776E-06    0.139E-07
    15.443     0.000    0.859E-06    0.139E-07
    15.579     0.000    0.880E-06    0.139E-07
    15.715     0.000    0.894E-06    0.139E-07
    15.852     0.000    0.101E-05    0.139E-07
    15.988     0.000    0.107E-05    0.138E-07
    16.124     0.000    0.110E-05    0.138E-07
    16.260     0.000    0.110E-05    0.138E-07
    16.396     0.000    0.108E-05    0.138E-07
    16.533     0.000    0.109E-05    0.138E-07
    16.669     0.000    0.112E-05    0.138E-07
    16.805     0.000    0.106E-05    0.138E-07
    16.941     0.000    0.103E-05    0.138E-07
    17.077     0.000    0.103E-05    0.138E-07
    17.214     0.000    0.988E-06    0.138E-07
    17.350     0.000    0.950E-06    0.137E-07
    17.486     0.000    0.888E-06    0.137E-07
    17.622     0.000    0.842E-06    0.137E-07
    17.758     0.000    0.869E-06    0.137E-07
    17.895     0.000    0.829E-06    0.137E-07
    18.031     0.000    0.770E-06    0.137E-07
    18.167     0.000    0.697E-06    0.137E-07
    18.303     0.000    0.659E-06    0.137E-07
    18.439     0.000    0.612E-06    0.137E-07
    18.576     0.000    0.593E-06    0.137E-07
    18.712     0.000    0.552E-06    0.137E-07
    18.848     0.000    0.566E-06    0.137E-07
    18.984     0.000    0.535E-06    0.137E-07
    19.120     0.000    0.504E-06    0.137E-07
    19.257     0.000    0.491E-06    0.136E-07
    19.393     0.000    0.438E-06    0.136E-07
    19.529     0.000    0.449E-06    0.136E-07
    19.665     0.000    0.445E-06    0.136E-07
    19.801     0.000    0.425E-06    0.136E-07
    19.938     0.000    0.409E-06    0.136E-07
    20.074     0.000    0.389E-06    0.136E-07
    20.210     0.000    0.335E-06    0.136E-07
    20.346     0.000    0.333E-06    0.136E-07
    20.482     0.000    0.347E-06    0.136E-07
    20.619     0.000    0.345E-06    0.136E-07
    20.755     0.000    0.293E-06    0.136E-07
    20.891     0.000    0.324E-06    0.136E-07
    21.027     0.000    0.326E-06    0.136E-07
    21.163     0.000    0.287E-06    0.136E-07
    21.300     0.000    0.301E-06    0.136E-07
    21.436     0.000    0.279E-06    0.136E-07
    21.572     0.000    0.269E-06    0.158E-07
    21.708     0.000    0.272E-06    0.157E-07
    21.844     0.000    0.286E-06    0.157E-07
    21.981     0.000    0.253E-06    0.157E-07
    22.117     0.000    0.200E-06    0.156E-07
    22.253     0.000    0.242E-06    0.156E-07
    22.389     0.000    0.248E-06    0.156E-07
    22.525     0.000    0.254E-06    0.156E-07
    22.662     0.000    0.237E-06    0.155E-07
    22.798     0.000    0.255E-06    0.155E-07
    22.934     0.000    0.204E-06    0.154E-07
    23.070     0.000    0.248E-06    0.154E-07
    23.206     0.000    0.209E-06    0.154E-07
    23.343     0.000    0.245E-06    0.154E-07
    23.479     0.000    0.207E-06    0.153E-07
    23.615     0.000    0.195E-06    0.153E-07
    23.751     0.000    0.183E-06    0.153E-07
    23.887     0.000    0.207E-06    0.153E-07
    24.024     0.000    0.177E-06    0.152E-07
    24.160     0.000    0.144E-06    0.152E-07
    24.296     0.000    0.171E-06    0.152E-07
    24.432     0.000    0.149E-06    0.152E-07
    24.568     0.000    0.138E-06    0.151E-07
    24.705     0.000    0.112E-06    0.151E-07
    24.841     0.000    0.105E-06    0.151E-07
    24.977     0.000    0.104E-06    0.151E-07
    25.113     0.000    0.863E-07    0.151E-07
    25.249     0.000    0.113E-06    0.150E-07
    25.386     0.000    0.109E-06    0.150E-07
    25.522     0.000    0.102E-06    0.150E-07
    25.658     0.000    0.108E-06    0.150E-07
