# fe1_exp_040_091_photoneut_2008Uts.dat                  
#
# Z = 40, A = 91
# No. of entries:   17
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (H.Utsunomiya, S.Goriely, T.Kondo, T.Kaihori,          (J,PRL,100,(16),162502,2008)                                                                 
#    E         dE       f1           df1
     8.160     0.000    0.613E-07    0.605E-08
     8.330     0.000    0.702E-07    0.678E-08
     8.450     0.000    0.749E-07    0.709E-08
     8.610     0.000    0.742E-07    0.725E-08
     8.810     0.000    0.879E-07    0.826E-08
     9.000     0.000    0.862E-07    0.812E-08
     9.130     0.000    0.868E-07    0.817E-08
     9.210     0.000    0.906E-07    0.857E-08
     9.280     0.000    0.933E-07    0.886E-08
     9.340     0.000    0.925E-07    0.881E-08
     9.780     0.000    0.113E-06    0.112E-07
    10.180     0.000    0.122E-06    0.121E-07
    10.710     0.000    0.141E-06    0.137E-07
    11.120     0.000    0.158E-06    0.154E-07
    11.460     0.000    0.173E-06    0.166E-07
    11.860     0.000    0.202E-06    0.197E-07
    12.750     0.000    0.292E-06    0.277E-07
