# fe1_exp_040_091_photoneut_2015Var.dat                  
#
# Z = 40, A = 91
# No. of entries:   85
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2015Var  V.V.Varlamov, al.,; Yad.Fiz. 78(7), 678(2015); (Journ. Phys. Atom. Nuclei 78(5), 634(2015)).                                                
#    E         dE       f1           df1
    10.800     0.000    0.118E-06    0.345E-07
    10.960     0.000    0.123E-06    0.345E-07
    11.110     0.000    0.113E-06    0.327E-07
    11.270     0.000    0.102E-06    0.304E-07
    11.420     0.000    0.109E-06    0.296E-07
    11.570     0.000    0.140E-06    0.340E-07
    11.730     0.000    0.155E-06    0.370E-07
    11.890     0.000    0.155E-06    0.338E-07
    12.040     0.000    0.202E-06    0.378E-07
    12.190     0.000    0.189E-06    0.364E-07
    12.350     0.000    0.209E-06    0.389E-07
    12.500     0.000    0.194E-06    0.375E-07
    12.660     0.000    0.180E-06    0.406E-07
    12.810     0.000    0.210E-06    0.443E-07
    12.970     0.000    0.264E-06    0.525E-07
    13.120     0.000    0.244E-06    0.498E-07
    13.280     0.000    0.236E-06    0.489E-07
    13.430     0.000    0.289E-06    0.572E-07
    13.590     0.000    0.273E-06    0.539E-07
    13.740     0.000    0.315E-06    0.603E-07
    13.900     0.000    0.341E-06    0.630E-07
    14.050     0.000    0.392E-06    0.704E-07
    14.210     0.000    0.402E-06    0.720E-07
    14.360     0.000    0.464E-06    0.809E-07
    14.520     0.000    0.530E-06    0.908E-07
    14.670     0.000    0.584E-06    0.981E-07
    14.830     0.000    0.608E-06    0.102E-06
    14.980     0.000    0.683E-06    0.112E-06
    15.140     0.000    0.733E-06    0.120E-06
    15.290     0.000    0.766E-06    0.124E-06
    15.450     0.000    0.775E-06    0.124E-06
    15.600     0.000    0.812E-06    0.126E-06
    15.760     0.000    0.870E-06    0.134E-06
    15.910     0.000    0.910E-06    0.137E-06
    16.070     0.000    0.982E-06    0.147E-06
    16.220     0.000    0.952E-06    0.142E-06
    16.380     0.000    0.958E-06    0.144E-06
    16.530     0.000    0.934E-06    0.138E-06
    16.680     0.000    0.952E-06    0.141E-06
    16.840     0.000    0.968E-06    0.143E-06
    17.000     0.000    0.867E-06    0.130E-06
    17.150     0.000    0.890E-06    0.134E-06
    17.300     0.000    0.837E-06    0.127E-06
    17.460     0.000    0.835E-06    0.127E-06
    17.610     0.000    0.690E-06    0.107E-06
    17.770     0.000    0.678E-06    0.106E-06
    17.920     0.000    0.610E-06    0.963E-07
    18.080     0.000    0.590E-06    0.940E-07
    18.230     0.000    0.599E-06    0.956E-07
    18.390     0.000    0.509E-06    0.811E-07
    18.540     0.000    0.477E-06    0.781E-07
    18.700     0.000    0.487E-06    0.802E-07
    18.850     0.000    0.421E-06    0.713E-07
    19.010     0.000    0.399E-06    0.652E-07
    19.160     0.000    0.379E-06    0.625E-07
    19.320     0.000    0.359E-06    0.584E-07
    19.470     0.000    0.317E-06    0.566E-07
    19.630     0.000    0.317E-06    0.574E-07
    19.780     0.000    0.270E-06    0.509E-07
    19.940     0.000    0.244E-06    0.483E-07
    20.090     0.000    0.244E-06    0.479E-07
    20.250     0.000    0.230E-06    0.471E-07
    20.400     0.000    0.235E-06    0.514E-07
    20.560     0.000    0.226E-06    0.468E-07
    20.710     0.000    0.216E-06    0.457E-07
    20.870     0.000    0.218E-06    0.465E-07
    21.020     0.000    0.219E-06    0.466E-07
    21.180     0.000    0.209E-06    0.455E-07
    21.330     0.000    0.182E-06    0.415E-07
    21.480     0.000    0.174E-06    0.392E-07
    21.640     0.000    0.163E-06    0.384E-07
    21.800     0.000    0.150E-06    0.366E-07
    21.950     0.000    0.155E-06    0.375E-07
    22.110     0.000    0.168E-06    0.400E-07
    22.260     0.000    0.141E-06    0.356E-07
    22.410     0.000    0.121E-06    0.324E-07
    22.570     0.000    0.125E-06    0.323E-07
    22.720     0.000    0.141E-06    0.344E-07
    22.880     0.000    0.123E-06    0.312E-07
    23.030     0.000    0.127E-06    0.324E-07
    23.190     0.000    0.127E-06    0.325E-07
    23.340     0.000    0.125E-06    0.327E-07
    23.500     0.000    0.120E-06    0.312E-07
    23.730     0.000    0.102E-06    0.291E-07
    24.040     0.000    0.121E-06    0.397E-07
