# fe1_exp_041_093_photoneut_1971Le1_L0027015.dat         
#
# Z = 41, A = 93
# No. of entries:  112
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A175, 609(1971).                                                                        
#    E         dE       f1           df1
     9.178     0.000    0.473E-07    0.200E-07
     9.314     0.000    0.559E-07    0.199E-07
     9.450     0.000    0.734E-07    0.197E-07
     9.586     0.000    0.905E-07    0.196E-07
     9.723     0.000    0.981E-07    0.195E-07
     9.859     0.000    0.114E-06    0.194E-07
     9.995     0.000    0.868E-07    0.193E-07
    10.131     0.000    0.942E-07    0.192E-07
    10.267     0.000    0.101E-06    0.190E-07
    10.404     0.000    0.117E-06    0.189E-07
    10.540     0.000    0.123E-06    0.188E-07
    10.676     0.000    0.122E-06    0.188E-07
    10.812     0.000    0.136E-06    0.186E-07
    10.948     0.000    0.135E-06    0.185E-07
    11.085     0.000    0.149E-06    0.185E-07
    11.221     0.000    0.139E-06    0.183E-07
    11.357     0.000    0.153E-06    0.183E-07
    11.493     0.000    0.158E-06    0.182E-07
    11.629     0.000    0.172E-06    0.181E-07
    11.766     0.000    0.192E-06    0.180E-07
    11.902     0.000    0.219E-06    0.179E-07
    12.038     0.000    0.223E-06    0.178E-07
    12.174     0.000    0.235E-06    0.177E-07
    12.310     0.000    0.254E-06    0.177E-07
    12.447     0.000    0.279E-06    0.176E-07
    12.583     0.000    0.283E-06    0.175E-07
    12.719     0.000    0.280E-06    0.175E-07
    12.855     0.000    0.304E-06    0.174E-07
    12.991     0.000    0.307E-06    0.173E-07
    13.128     0.000    0.324E-06    0.172E-07
    13.264     0.000    0.347E-06    0.172E-07
    13.400     0.000    0.388E-06    0.171E-07
    13.536     0.000    0.410E-06    0.170E-07
    13.672     0.000    0.431E-06    0.170E-07
    13.809     0.000    0.465E-06    0.170E-07
    13.945     0.000    0.498E-06    0.169E-07
    14.081     0.000    0.524E-06    0.168E-07
    14.217     0.000    0.543E-06    0.168E-07
    14.353     0.000    0.586E-06    0.167E-07
    14.490     0.000    0.611E-06    0.166E-07
    14.626     0.000    0.670E-06    0.166E-07
    14.762     0.000    0.711E-06    0.165E-07
    14.898     0.000    0.792E-06    0.165E-07
    15.034     0.000    0.831E-06    0.164E-07
    15.171     0.000    0.892E-06    0.164E-07
    15.307     0.000    0.912E-06    0.163E-07
    15.443     0.000    0.944E-06    0.163E-07
    15.579     0.000    0.101E-05    0.163E-07
    15.715     0.000    0.102E-05    0.162E-07
    15.852     0.000    0.104E-05    0.161E-07
    15.988     0.000    0.105E-05    0.161E-07
    16.124     0.000    0.107E-05    0.160E-07
    16.260     0.000    0.107E-05    0.160E-07
    16.396     0.000    0.104E-05    0.192E-07
    16.533     0.000    0.103E-05    0.190E-07
    16.669     0.000    0.101E-05    0.190E-07
    16.805     0.000    0.100E-05    0.189E-07
    16.941     0.000    0.973E-06    0.188E-07
    17.077     0.000    0.965E-06    0.187E-07
    17.214     0.000    0.902E-06    0.187E-07
    17.350     0.000    0.920E-06    0.186E-07
    17.486     0.000    0.868E-06    0.185E-07
    17.622     0.000    0.866E-06    0.185E-07
    17.758     0.000    0.811E-06    0.184E-07
    17.895     0.000    0.756E-06    0.183E-07
    18.031     0.000    0.726E-06    0.182E-07
    18.167     0.000    0.692E-06    0.182E-07
    18.303     0.000    0.687E-06    0.181E-07
    18.439     0.000    0.654E-06    0.180E-07
    18.576     0.000    0.640E-06    0.180E-07
    18.712     0.000    0.612E-06    0.179E-07
    18.848     0.000    0.571E-06    0.179E-07
    18.984     0.000    0.567E-06    0.178E-07
    19.120     0.000    0.531E-06    0.177E-07
    19.257     0.000    0.527E-06    0.177E-07
    19.393     0.000    0.505E-06    0.176E-07
    19.529     0.000    0.497E-06    0.175E-07
    19.665     0.000    0.472E-06    0.175E-07
    19.801     0.000    0.442E-06    0.174E-07
    19.938     0.000    0.439E-06    0.174E-07
    20.074     0.000    0.441E-06    0.173E-07
    20.210     0.000    0.395E-06    0.173E-07
    20.346     0.000    0.414E-06    0.172E-07
    20.482     0.000    0.381E-06    0.172E-07
    20.619     0.000    0.383E-06    0.171E-07
    20.755     0.000    0.384E-06    0.171E-07
    20.891     0.000    0.328E-06    0.170E-07
    21.027     0.000    0.338E-06    0.170E-07
    21.163     0.000    0.303E-06    0.169E-07
    21.300     0.000    0.322E-06    0.169E-07
    21.436     0.000    0.275E-06    0.168E-07
    21.572     0.000    0.294E-06    0.168E-07
    21.708     0.000    0.276E-06    0.167E-07
    21.844     0.000    0.262E-06    0.167E-07
    21.981     0.000    0.249E-06    0.166E-07
    22.117     0.000    0.271E-06    0.166E-07
    22.253     0.000    0.261E-06    0.166E-07
    22.389     0.000    0.236E-06    0.165E-07
    22.525     0.000    0.246E-06    0.165E-07
    22.662     0.000    0.214E-06    0.164E-07
    22.798     0.000    0.209E-06    0.164E-07
    22.934     0.000    0.216E-06    0.163E-07
    23.070     0.000    0.214E-06    0.163E-07
    23.206     0.000    0.191E-06    0.163E-07
    23.343     0.000    0.186E-06    0.162E-07
    23.479     0.000    0.177E-06    0.162E-07
    23.615     0.000    0.180E-06    0.162E-07
    23.751     0.000    0.164E-06    0.161E-07
    23.887     0.000    0.171E-06    0.161E-07
    24.024     0.000    0.162E-06    0.161E-07
    24.160     0.000    0.144E-06    0.160E-07
    24.296     0.000    0.150E-06    0.160E-07
