# fe1_exp_042_092_photoabs_2003Var.dat                   
#
# Z = 42, A = 92
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Var  V.V.Varlamov, M.E.Stepanov, V.V.Chesnokov; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 656(2003); (Bull.Rus.Acad.Sci.Phys. 67, 724 (2003)).          
#    E         dE       f1           df1
    14.400     0.000    0.490E-06    0.000E+00
    14.500     0.000    0.526E-06    0.000E+00
    14.600     0.000    0.570E-06    0.000E+00
    14.700     0.000    0.620E-06    0.000E+00
    14.800     0.000    0.680E-06    0.000E+00
    14.900     0.000    0.733E-06    0.000E+00
    15.000     0.000    0.775E-06    0.000E+00
    15.100     0.000    0.810E-06    0.000E+00
    15.200     0.000    0.827E-06    0.000E+00
    15.300     0.000    0.833E-06    0.000E+00
    15.400     0.000    0.834E-06    0.000E+00
    15.500     0.000    0.839E-06    0.000E+00
    15.600     0.000    0.851E-06    0.000E+00
    15.700     0.000    0.878E-06    0.000E+00
    15.800     0.000    0.917E-06    0.000E+00
    15.900     0.000    0.966E-06    0.000E+00
    16.000     0.000    0.101E-05    0.000E+00
    16.100     0.000    0.106E-05    0.000E+00
    16.200     0.000    0.110E-05    0.000E+00
    16.300     0.000    0.114E-05    0.000E+00
    16.400     0.000    0.118E-05    0.000E+00
    16.500     0.000    0.122E-05    0.000E+00
    16.600     0.000    0.125E-05    0.000E+00
    16.700     0.000    0.127E-05    0.000E+00
    16.800     0.000    0.129E-05    0.000E+00
    16.900     0.000    0.130E-05    0.000E+00
    17.000     0.000    0.130E-05    0.000E+00
    17.100     0.000    0.128E-05    0.000E+00
    17.200     0.000    0.126E-05    0.000E+00
    17.300     0.000    0.122E-05    0.000E+00
    17.400     0.000    0.118E-05    0.000E+00
    17.500     0.000    0.114E-05    0.000E+00
    17.600     0.000    0.109E-05    0.000E+00
    17.700     0.000    0.106E-05    0.000E+00
    17.800     0.000    0.103E-05    0.000E+00
    17.900     0.000    0.998E-06    0.000E+00
    18.000     0.000    0.973E-06    0.000E+00
    18.100     0.000    0.949E-06    0.000E+00
    18.200     0.000    0.929E-06    0.000E+00
    18.300     0.000    0.910E-06    0.000E+00
    18.400     0.000    0.891E-06    0.000E+00
    18.500     0.000    0.877E-06    0.000E+00
    18.600     0.000    0.858E-06    0.000E+00
    18.700     0.000    0.840E-06    0.000E+00
    18.800     0.000    0.821E-06    0.000E+00
    18.900     0.000    0.803E-06    0.000E+00
    19.000     0.000    0.785E-06    0.000E+00
    19.100     0.000    0.767E-06    0.000E+00
    19.200     0.000    0.745E-06    0.000E+00
    19.300     0.000    0.724E-06    0.000E+00
    19.400     0.000    0.702E-06    0.000E+00
    19.500     0.000    0.681E-06    0.000E+00
    19.600     0.000    0.664E-06    0.000E+00
    19.700     0.000    0.652E-06    0.000E+00
    19.800     0.000    0.644E-06    0.000E+00
    19.900     0.000    0.641E-06    0.000E+00
    20.000     0.000    0.638E-06    0.000E+00
    20.100     0.000    0.634E-06    0.000E+00
    20.200     0.000    0.631E-06    0.000E+00
    20.300     0.000    0.628E-06    0.000E+00
    20.400     0.000    0.625E-06    0.000E+00
    20.500     0.000    0.618E-06    0.000E+00
    20.600     0.000    0.611E-06    0.000E+00
    20.700     0.000    0.603E-06    0.000E+00
    20.800     0.000    0.592E-06    0.000E+00
    20.900     0.000    0.577E-06    0.000E+00
    21.000     0.000    0.558E-06    0.000E+00
    21.100     0.000    0.530E-06    0.000E+00
    21.200     0.000    0.499E-06    0.000E+00
    21.300     0.000    0.460E-06    0.000E+00
    21.400     0.000    0.422E-06    0.000E+00
    21.500     0.000    0.384E-06    0.000E+00
    21.600     0.000    0.349E-06    0.000E+00
    21.700     0.000    0.315E-06    0.000E+00
    21.800     0.000    0.284E-06    0.000E+00
    21.900     0.000    0.255E-06    0.000E+00
    22.000     0.000    0.231E-06    0.000E+00
    22.100     0.000    0.212E-06    0.000E+00
    22.200     0.000    0.200E-06    0.000E+00
    22.300     0.000    0.194E-06    0.000E+00
    22.400     0.000    0.192E-06    0.000E+00
    22.500     0.000    0.193E-06    0.000E+00
    22.600     0.000    0.194E-06    0.000E+00
    22.700     0.000    0.195E-06    0.000E+00
    22.800     0.000    0.198E-06    0.000E+00
    22.900     0.000    0.205E-06    0.000E+00
    23.000     0.000    0.218E-06    0.000E+00
    23.100     0.000    0.237E-06    0.000E+00
    23.200     0.000    0.261E-06    0.000E+00
    23.300     0.000    0.288E-06    0.000E+00
    23.400     0.000    0.316E-06    0.000E+00
    23.500     0.000    0.345E-06    0.000E+00
    23.600     0.000    0.375E-06    0.000E+00
    23.700     0.000    0.403E-06    0.000E+00
    23.800     0.000    0.426E-06    0.000E+00
    23.900     0.000    0.446E-06    0.000E+00
    24.000     0.000    0.466E-06    0.000E+00
    24.100     0.000    0.479E-06    0.000E+00
    24.200     0.000    0.491E-06    0.000E+00
    24.300     0.000    0.500E-06    0.000E+00
    24.400     0.000    0.505E-06    0.000E+00
    24.500     0.000    0.503E-06    0.000E+00
    24.600     0.000    0.501E-06    0.000E+00
    24.700     0.000    0.492E-06    0.000E+00
    24.800     0.000    0.486E-06    0.000E+00
    24.900     0.000    0.484E-06    0.000E+00
    25.000     0.000    0.479E-06    0.000E+00
    25.100     0.000    0.477E-06    0.000E+00
    25.200     0.000    0.475E-06    0.000E+00
