# fe1_exp_042_092_photoneut_1970Is3.dat                  
#
# Z = 42, A = 92
# No. of entries:  136
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1970Is3  B.S.Ishkhanov, I.M.Kapitonov, E.V.Lazutin, et al., Yad.Fiz. 11, 702(1970); (Sov.J.Nucl.Phys. 11, 394(1970)).                                 
#    E         dE       f1           df1
    12.700     0.000    0.450E-07    0.000E+00
    12.800     0.000    0.311E-07    0.000E+00
    12.900     0.000    0.713E-07    0.000E+00
    13.000     0.000    0.103E-06    0.000E+00
    13.100     0.000    0.715E-07    0.000E+00
    13.200     0.000    0.108E-06    0.000E+00
    13.300     0.000    0.247E-06    0.000E+00
    13.400     0.000    0.302E-06    0.000E+00
    13.500     0.000    0.200E-06    0.000E+00
    13.600     0.000    0.170E-06    0.000E+00
    13.700     0.000    0.215E-06    0.000E+00
    13.800     0.000    0.258E-06    0.000E+00
    13.900     0.000    0.306E-06    0.000E+00
    14.000     0.000    0.353E-06    0.000E+00
    14.100     0.000    0.373E-06    0.000E+00
    14.200     0.000    0.297E-06    0.000E+00
    14.300     0.000    0.364E-06    0.000E+00
    14.400     0.000    0.451E-06    0.000E+00
    14.500     0.000    0.492E-06    0.000E+00
    14.600     0.000    0.525E-06    0.000E+00
    14.700     0.000    0.602E-06    0.000E+00
    14.800     0.000    0.715E-06    0.000E+00
    14.900     0.000    0.652E-06    0.000E+00
    15.000     0.000    0.493E-06    0.000E+00
    15.100     0.000    0.597E-06    0.000E+00
    15.200     0.000    0.702E-06    0.000E+00
    15.300     0.000    0.777E-06    0.000E+00
    15.400     0.000    0.811E-06    0.000E+00
    15.500     0.000    0.845E-06    0.000E+00
    15.600     0.000    0.834E-06    0.000E+00
    15.700     0.000    0.807E-06    0.000E+00
    15.800     0.000    0.791E-06    0.000E+00
    15.900     0.000    0.769E-06    0.000E+00
    16.000     0.000    0.732E-06    0.000E+00
    16.100     0.000    0.770E-06    0.000E+00
    16.200     0.000    0.905E-06    0.000E+00
    16.300     0.000    0.103E-05    0.000E+00
    16.400     0.000    0.104E-05    0.000E+00
    16.500     0.000    0.899E-06    0.000E+00
    16.600     0.000    0.815E-06    0.000E+00
    16.700     0.000    0.738E-06    0.000E+00
    16.800     0.000    0.743E-06    0.000E+00
    16.900     0.000    0.765E-06    0.000E+00
    17.000     0.000    0.857E-06    0.000E+00
    17.100     0.000    0.796E-06    0.000E+00
    17.200     0.000    0.686E-06    0.000E+00
    17.300     0.000    0.642E-06    0.000E+00
    17.400     0.000    0.673E-06    0.000E+00
    17.500     0.000    0.674E-06    0.000E+00
    17.600     0.000    0.606E-06    0.000E+00
    17.700     0.000    0.676E-06    0.000E+00
    17.800     0.000    0.775E-06    0.000E+00
    17.900     0.000    0.683E-06    0.000E+00
    18.000     0.000    0.520E-06    0.000E+00
    18.100     0.000    0.416E-06    0.000E+00
    18.200     0.000    0.486E-06    0.000E+00
    18.300     0.000    0.555E-06    0.000E+00
    18.400     0.000    0.608E-06    0.000E+00
    18.500     0.000    0.647E-06    0.000E+00
