# fe1_exp_042_092_photoneut_1974Be3.dat                  
#
# Z = 42, A = 92
# No. of entries:  104
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Be3  H.Beil, R.Bergere, P.Carlos, et al.,; Nucl. Phys. A227, 427(1974).                                                                          
#    E         dE       f1           df1
    12.800     0.000    0.657E-07    0.136E-07
    12.930     0.000    0.651E-07    0.136E-07
    13.070     0.000    0.743E-07    0.135E-07
    13.210     0.000    0.781E-07    0.134E-07
    13.340     0.000    0.103E-06    0.133E-07
    13.480     0.000    0.127E-06    0.132E-07
    13.610     0.000    0.140E-06    0.131E-07
    13.750     0.000    0.161E-06    0.130E-07
    13.880     0.000    0.168E-06    0.129E-07
    14.020     0.000    0.213E-06    0.129E-07
    14.150     0.000    0.244E-06    0.128E-07
    14.290     0.000    0.277E-06    0.127E-07
    14.420     0.000    0.307E-06    0.126E-07
    14.560     0.000    0.363E-06    0.126E-07
    14.700     0.000    0.398E-06    0.125E-07
    14.830     0.000    0.445E-06    0.124E-07
    14.970     0.000    0.483E-06    0.123E-07
    15.100     0.000    0.536E-06    0.122E-07
    15.240     0.000    0.567E-06    0.122E-07
    15.370     0.000    0.655E-06    0.121E-07
    15.510     0.000    0.632E-06    0.120E-07
    15.640     0.000    0.710E-06    0.120E-07
    15.780     0.000    0.748E-06    0.119E-07
    15.920     0.000    0.795E-06    0.119E-07
    16.050     0.000    0.778E-06    0.118E-07
    16.190     0.000    0.814E-06    0.117E-07
    16.320     0.000    0.834E-06    0.117E-07
    16.460     0.000    0.843E-06    0.116E-07
    16.590     0.000    0.847E-06    0.116E-07
    16.730     0.000    0.850E-06    0.115E-07
    16.860     0.000    0.772E-06    0.114E-07
    17.000     0.000    0.786E-06    0.114E-07
    17.130     0.000    0.790E-06    0.113E-07
    17.270     0.000    0.753E-06    0.113E-07
    17.410     0.000    0.688E-06    0.112E-07
    17.540     0.000    0.692E-06    0.112E-07
    17.680     0.000    0.623E-06    0.111E-07
    17.810     0.000    0.648E-06    0.111E-07
    17.950     0.000    0.609E-06    0.110E-07
    18.080     0.000    0.566E-06    0.110E-07
    18.220     0.000    0.567E-06    0.109E-07
    18.350     0.000    0.520E-06    0.109E-07
    18.490     0.000    0.521E-06    0.108E-07
    18.630     0.000    0.521E-06    0.108E-07
    18.760     0.000    0.476E-06    0.107E-07
    18.900     0.000    0.441E-06    0.107E-07
    19.030     0.000    0.469E-06    0.107E-07
    19.170     0.000    0.432E-06    0.106E-07
    19.300     0.000    0.419E-06    0.106E-07
    19.440     0.000    0.408E-06    0.105E-07
    19.570     0.000    0.394E-06    0.105E-07
    19.710     0.000    0.383E-06    0.104E-07
    19.840     0.000    0.346E-06    0.104E-07
    19.980     0.000    0.339E-06    0.104E-07
    20.120     0.000    0.316E-06    0.103E-07
    20.250     0.000    0.340E-06    0.103E-07
    20.390     0.000    0.311E-06    0.103E-07
    20.520     0.000    0.277E-06    0.102E-07
    20.660     0.000    0.285E-06    0.102E-07
    20.790     0.000    0.259E-06    0.101E-07
    20.930     0.000    0.216E-06    0.101E-07
    21.060     0.000    0.268E-06    0.100E-07
    21.200     0.000    0.238E-06    0.100E-07
    21.340     0.000    0.187E-06    0.100E-07
    21.470     0.000    0.186E-06    0.994E-08
    21.610     0.000    0.208E-06    0.991E-08
    21.740     0.000    0.169E-06    0.989E-08
    21.880     0.000    0.183E-06    0.983E-08
    22.010     0.000    0.178E-06    0.981E-08
    22.150     0.000    0.154E-06    0.979E-08
    22.280     0.000    0.179E-06    0.977E-08
    22.420     0.000    0.181E-06    0.971E-08
    22.550     0.000    0.205E-06    0.969E-08
    22.690     0.000    0.192E-06    0.967E-08
    22.830     0.000    0.179E-06    0.961E-08
    22.960     0.000    0.164E-06    0.960E-08
    23.100     0.000    0.165E-06    0.957E-08
    23.230     0.000    0.190E-06    0.952E-08
    23.370     0.000    0.157E-06    0.950E-08
    23.500     0.000    0.164E-06    0.949E-08
    23.640     0.000    0.159E-06    0.947E-08
    23.770     0.000    0.161E-06    0.941E-08
    23.910     0.000    0.161E-06    0.940E-08
    24.050     0.000    0.146E-06    0.938E-08
    24.180     0.000    0.131E-06    0.933E-08
    24.320     0.000    0.141E-06    0.931E-08
    24.450     0.000    0.143E-06    0.929E-08
    24.590     0.000    0.125E-06    0.924E-08
    24.720     0.000    0.102E-06    0.923E-08
    24.860     0.000    0.100E-06    0.921E-08
    24.990     0.000    0.115E-06    0.920E-08
    25.130     0.000    0.106E-06    0.915E-08
    25.260     0.000    0.121E-06    0.913E-08
    25.400     0.000    0.120E-06    0.912E-08
    25.540     0.000    0.120E-06    0.907E-08
    25.670     0.000    0.106E-06    0.906E-08
    25.810     0.000    0.991E-07    0.904E-08
    25.940     0.000    0.123E-06    0.903E-08
    26.080     0.000    0.735E-07    0.898E-08
    26.210     0.000    0.108E-06    0.897E-08
    26.350     0.000    0.105E-06    0.895E-08
    26.480     0.000    0.914E-07    0.891E-08
    26.620     0.000    0.130E-06    0.890E-08
    26.760     0.000    0.969E-07    0.888E-08
