# fe1_exp_042_094_photoneut_1974Be3.dat                  
#
# Z = 42, A = 94
# No. of entries:   78
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Be3  H.Beil, R.Bergere, P.Carlos, et al.,; Nucl. Phys. A227, 427(1974).                                                                          
#    E         dE       f1           df1
     9.820     0.000    0.724E-07    0.160E-07
     9.950     0.000    0.837E-07    0.160E-07
    10.090     0.000    0.799E-07    0.158E-07
    10.220     0.000    0.108E-06    0.158E-07
    10.360     0.000    0.111E-06    0.157E-07
    10.500     0.000    0.900E-07    0.156E-07
    10.630     0.000    0.140E-06    0.155E-07
    10.770     0.000    0.147E-06    0.155E-07
    10.900     0.000    0.171E-06    0.154E-07
    11.040     0.000    0.122E-06    0.152E-07
    11.170     0.000    0.175E-06    0.152E-07
    11.310     0.000    0.177E-06    0.151E-07
    11.440     0.000    0.212E-06    0.151E-07
    11.580     0.000    0.183E-06    0.150E-07
    11.710     0.000    0.230E-06    0.150E-07
    11.850     0.000    0.218E-06    0.149E-07
    11.990     0.000    0.182E-06    0.148E-07
    12.120     0.000    0.271E-06    0.147E-07
    12.260     0.000    0.287E-06    0.147E-07
    12.390     0.000    0.322E-06    0.146E-07
    12.530     0.000    0.303E-06    0.145E-07
    12.660     0.000    0.346E-06    0.145E-07
    12.800     0.000    0.359E-06    0.144E-07
    12.930     0.000    0.354E-06    0.144E-07
    13.070     0.000    0.362E-06    0.143E-07
    13.210     0.000    0.425E-06    0.143E-07
    13.340     0.000    0.464E-06    0.142E-07
    13.480     0.000    0.481E-06    0.142E-07
    13.610     0.000    0.416E-06    0.141E-07
    13.750     0.000    0.411E-06    0.141E-07
    14.020     0.000    0.554E-06    0.139E-07
    14.290     0.000    0.674E-06    0.137E-07
    14.560     0.000    0.763E-06    0.136E-07
    14.830     0.000    0.795E-06    0.134E-07
    15.100     0.000    0.862E-06    0.133E-07
    15.370     0.000    0.937E-06    0.131E-07
    15.640     0.000    0.103E-05    0.130E-07
    15.920     0.000    0.970E-06    0.128E-07
    16.190     0.000    0.100E-05    0.126E-07
    16.460     0.000    0.980E-06    0.125E-07
    16.730     0.000    0.933E-06    0.124E-07
    17.000     0.000    0.872E-06    0.123E-07
    17.270     0.000    0.799E-06    0.122E-07
    17.540     0.000    0.747E-06    0.121E-07
    17.810     0.000    0.711E-06    0.119E-07
    18.080     0.000    0.652E-06    0.118E-07
    18.350     0.000    0.596E-06    0.117E-07
    18.630     0.000    0.582E-06    0.116E-07
    18.900     0.000    0.528E-06    0.115E-07
    19.170     0.000    0.457E-06    0.114E-07
    19.440     0.000    0.440E-06    0.113E-07
    19.710     0.000    0.388E-06    0.112E-07
    19.980     0.000    0.366E-06    0.112E-07
    20.250     0.000    0.314E-06    0.111E-07
    20.520     0.000    0.301E-06    0.110E-07
    20.790     0.000    0.310E-06    0.109E-07
    21.060     0.000    0.259E-06    0.108E-07
    21.340     0.000    0.239E-06    0.107E-07
    21.610     0.000    0.271E-06    0.106E-07
    21.880     0.000    0.241E-06    0.106E-07
    22.150     0.000    0.212E-06    0.105E-07
    22.420     0.000    0.212E-06    0.104E-07
    22.690     0.000    0.187E-06    0.104E-07
    22.960     0.000    0.157E-06    0.103E-07
    23.230     0.000    0.168E-06    0.102E-07
    23.500     0.000    0.171E-06    0.102E-07
    23.770     0.000    0.180E-06    0.101E-07
    24.050     0.000    0.116E-06    0.100E-07
    24.320     0.000    0.143E-06    0.999E-08
    24.860     0.000    0.125E-06    0.980E-08
    25.130     0.000    0.977E-07    0.977E-08
    25.400     0.000    0.114E-06    0.970E-08
    25.670     0.000    0.108E-06    0.966E-08
    25.940     0.000    0.121E-06    0.960E-08
    26.210     0.000    0.755E-07    0.953E-08
    26.480     0.000    0.940E-07    0.950E-08
    26.760     0.000    0.771E-07    0.943E-08
    27.030     0.000    0.594E-07    0.940E-08
