# fe1_exp_042_100_photoneut_1974Be3_L0032017.dat         
#
# Z = 42, A =100
# No. of entries:   70
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Be3  H.Beil, R.Bergere, P.Carlos, et al.,; Nucl. Phys. A227, 427(1974).                                                                          
#    E         dE       f1           df1
     8.330     0.000    0.117E-06    0.364E-07
     8.600     0.000    0.114E-06    0.353E-07
     8.870     0.000    0.131E-06    0.342E-07
     9.140     0.000    0.208E-06    0.332E-07
     9.410     0.000    0.220E-06    0.324E-07
     9.680     0.000    0.214E-06    0.315E-07
     9.950     0.000    0.206E-06    0.306E-07
    10.220     0.000    0.216E-06    0.298E-07
    10.500     0.000    0.298E-06    0.290E-07
    10.770     0.000    0.213E-06    0.283E-07
    11.040     0.000    0.287E-06    0.276E-07
    11.310     0.000    0.341E-06    0.270E-07
    11.580     0.000    0.383E-06    0.264E-07
    11.850     0.000    0.441E-06    0.258E-07
    12.120     0.000    0.535E-06    0.252E-07
    12.390     0.000    0.587E-06    0.246E-07
    12.660     0.000    0.629E-06    0.241E-07
    12.930     0.000    0.691E-06    0.237E-07
    13.210     0.000    0.742E-06    0.232E-07
    13.480     0.000    0.804E-06    0.227E-07
    13.750     0.000    0.801E-06    0.223E-07
    14.020     0.000    0.885E-06    0.251E-07
    14.290     0.000    0.995E-06    0.248E-07
    14.560     0.000    0.941E-06    0.244E-07
    14.830     0.000    0.971E-06    0.242E-07
    15.100     0.000    0.942E-06    0.238E-07
    15.370     0.000    0.920E-06    0.235E-07
    15.640     0.000    0.910E-06    0.233E-07
    15.920     0.000    0.948E-06    0.230E-07
    16.190     0.000    0.916E-06    0.227E-07
    16.460     0.000    0.833E-06    0.225E-07
    16.730     0.000    0.798E-06    0.223E-07
    17.000     0.000    0.821E-06    0.220E-07
    17.270     0.000    0.748E-06    0.218E-07
    17.540     0.000    0.747E-06    0.216E-07
    17.810     0.000    0.677E-06    0.214E-07
    18.080     0.000    0.595E-06    0.212E-07
    18.350     0.000    0.581E-06    0.210E-07
    18.630     0.000    0.540E-06    0.208E-07
    18.900     0.000    0.496E-06    0.207E-07
    19.170     0.000    0.462E-06    0.205E-07
    19.440     0.000    0.455E-06    0.203E-07
    19.710     0.000    0.415E-06    0.202E-07
    19.980     0.000    0.403E-06    0.200E-07
    20.250     0.000    0.353E-06    0.198E-07
    20.520     0.000    0.342E-06    0.197E-07
    20.790     0.000    0.283E-06    0.196E-07
    21.060     0.000    0.308E-06    0.194E-07
    21.340     0.000    0.251E-06    0.193E-07
    21.610     0.000    0.241E-06    0.191E-07
    21.880     0.000    0.213E-06    0.190E-07
    22.150     0.000    0.194E-06    0.189E-07
    22.420     0.000    0.216E-06    0.188E-07
    22.690     0.000    0.212E-06    0.202E-07
    22.960     0.000    0.211E-06    0.201E-07
    23.230     0.000    0.195E-06    0.199E-07
    23.500     0.000    0.153E-06    0.198E-07
    23.770     0.000    0.194E-06    0.197E-07
    24.050     0.000    0.154E-06    0.195E-07
    24.320     0.000    0.143E-06    0.195E-07
    24.590     0.000    0.126E-06    0.194E-07
    24.860     0.000    0.122E-06    0.193E-07
    25.130     0.000    0.128E-06    0.192E-07
    25.400     0.000    0.134E-06    0.191E-07
    25.670     0.000    0.127E-06    0.190E-07
    25.940     0.000    0.150E-06    0.189E-07
    26.210     0.000    0.131E-06    0.188E-07
    26.480     0.000    0.147E-06    0.187E-07
    26.760     0.000    0.908E-07    0.186E-07
    27.030     0.000    0.123E-06    0.185E-07
