# fe1_exp_045_103_photoneut_1962Bog.dat                  
#
# Z = 45, A =103
# No. of entries:   25
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1962Bog  O.V.Bogdankevich, B.I.Goryachev, V.A.Zapevalov; Zhur. Eksper. Teoret. Fiz. 42, 150(1962); (Sov. Phys. JETP 15, 1044(1962)).                 
#    E         dE       f1           df1
    10.000     0.000    0.159E-06    0.301E-07
    10.500     0.000    0.192E-06    0.466E-07
    11.000     0.000    0.222E-06    0.667E-07
    11.500     0.000    0.300E-06    0.707E-07
    12.000     0.000    0.474E-06    0.846E-07
    12.500     0.000    0.618E-06    0.944E-07
    13.000     0.000    0.801E-06    0.100E-06
    13.500     0.000    0.964E-06    0.105E-06
    14.000     0.000    0.113E-05    0.116E-06
    14.500     0.000    0.121E-05    0.126E-06
    15.000     0.000    0.113E-05    0.130E-06
    15.500     0.000    0.946E-06    0.143E-06
    16.000     0.000    0.987E-06    0.152E-06
    16.500     0.000    0.128E-05    0.166E-06
    17.000     0.000    0.138E-05    0.156E-06
    17.500     0.000    0.133E-05    0.144E-06
    18.000     0.000    0.107E-05    0.138E-06
    18.500     0.000    0.956E-06    0.121E-06
    19.000     0.000    0.790E-06    0.193E-06
    19.500     0.000    0.658E-06    0.979E-07
    20.000     0.000    0.590E-06    0.264E-06
    20.500     0.000    0.436E-06    0.228E-06
    21.000     0.000    0.361E-06    0.290E-06
    21.500     0.000    0.359E-06    0.265E-06
    22.000     0.000    0.222E-06    0.305E-06
