# fe1_exp_047_107_photoneut_1969Be1.dat                  
#
# Z = 47, A =107
# No. of entries:   62
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Be1  B.L.Berman, R.L.Bramblett, J.T.Caldwell, H.S.Davis, M.A.Kelly, S.C.Fultz; Phys. Rev., 177, 1745(1969).                                      
#    E         dE       f1           df1
    10.026     0.000    0.121E-06    0.215E-07
    10.336     0.000    0.150E-06    0.217E-07
    10.646     0.000    0.198E-06    0.232E-07
    10.955     0.000    0.213E-06    0.174E-07
    11.265     0.000    0.235E-06    0.210E-07
    11.575     0.000    0.266E-06    0.199E-07
    11.885     0.000    0.351E-06    0.212E-07
    12.194     0.000    0.369E-06    0.213E-07
    12.504     0.000    0.448E-06    0.228E-07
    12.814     0.000    0.472E-06    0.231E-07
    13.123     0.000    0.522E-06    0.241E-07
    13.433     0.000    0.574E-06    0.251E-07
    13.743     0.000    0.637E-06    0.264E-07
    14.052     0.000    0.698E-06    0.275E-07
    14.362     0.000    0.779E-06    0.289E-07
    14.672     0.000    0.769E-06    0.290E-07
    14.982     0.000    0.811E-06    0.299E-07
    15.291     0.000    0.834E-06    0.198E-07
    15.601     0.000    0.851E-06    0.202E-07
    15.756     0.000    0.798E-06    0.250E-07
    15.911     0.000    0.840E-06    0.166E-07
    16.066     0.000    0.864E-06    0.260E-07
    16.220     0.000    0.743E-06    0.141E-07
    16.375     0.000    0.795E-06    0.255E-07
    16.530     0.000    0.761E-06    0.166E-07
    16.685     0.000    0.723E-06    0.178E-07
    16.840     0.000    0.752E-06    0.170E-07
    17.149     0.000    0.693E-06    0.221E-07
    17.459     0.000    0.636E-06    0.218E-07
    17.769     0.000    0.591E-06    0.214E-07
    18.079     0.000    0.518E-06    0.212E-07
    18.388     0.000    0.472E-06    0.214E-07
    18.698     0.000    0.441E-06    0.215E-07
    19.008     0.000    0.439E-06    0.217E-07
    19.317     0.000    0.374E-06    0.214E-07
    19.627     0.000    0.368E-06    0.217E-07
    19.937     0.000    0.284E-06    0.211E-07
    20.246     0.000    0.299E-06    0.215E-07
    20.556     0.000    0.303E-06    0.180E-07
    20.866     0.000    0.265E-06    0.178E-07
    21.176     0.000    0.247E-06    0.179E-07
    21.485     0.000    0.219E-06    0.178E-07
    21.795     0.000    0.227E-06    0.180E-07
    22.105     0.000    0.239E-06    0.182E-07
    22.414     0.000    0.209E-06    0.182E-07
    22.724     0.000    0.181E-06    0.128E-07
    23.034     0.000    0.156E-06    0.180E-07
    23.343     0.000    0.176E-06    0.183E-07
    23.653     0.000    0.168E-06    0.183E-07
    23.963     0.000    0.161E-06    0.184E-07
    24.273     0.000    0.161E-06    0.183E-07
    24.582     0.000    0.150E-06    0.169E-07
    24.892     0.000    0.179E-06    0.176E-07
    25.202     0.000    0.119E-06    0.165E-07
    25.511     0.000    0.147E-06    0.167E-07
    25.821     0.000    0.131E-06    0.163E-07
    26.131     0.000    0.120E-06    0.149E-07
    26.440     0.000    0.137E-06    0.151E-07
    26.750     0.000    0.950E-07    0.150E-07
    27.060     0.000    0.654E-07    0.151E-07
    27.370     0.000    0.821E-07    0.154E-07
    27.679     0.000    0.921E-07    0.156E-07
