# fe1_exp_049_115_photoneut_2013Var.dat                  
#
# Z = 49, A =115
# No. of entries:   66
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2013Ish  B.S.Ishkhanov, et al.,; Mosc.St.Univ.Inst.of Nucl.Phys.Reports, No.2013, 1/884(2013); Bull.Rus.Acad.Sci.Phys. 77, 388 (2013).               
#    E         dE       f1           df1
    10.026     0.000    0.164E-06    0.175E-07
    10.336     0.000    0.215E-06    0.224E-07
    10.646     0.000    0.270E-06    0.281E-07
    10.955     0.000    0.319E-06    0.331E-07
    11.265     0.000    0.337E-06    0.353E-07
    11.575     0.000    0.401E-06    0.408E-07
    11.885     0.000    0.472E-06    0.482E-07
    12.194     0.000    0.522E-06    0.531E-07
    12.504     0.000    0.635E-06    0.651E-07
    12.814     0.000    0.704E-06    0.345E-08
    13.123     0.000    0.793E-06    0.151E-07
    13.433     0.000    0.898E-06    0.263E-07
    13.743     0.000    0.102E-05    0.403E-07
    14.053     0.000    0.117E-05    0.563E-07
    14.362     0.000    0.130E-05    0.111E-07
    14.517     0.000    0.135E-05    0.167E-07
    14.672     0.000    0.139E-05    0.211E-07
    14.827     0.000    0.146E-05    0.290E-07
    14.982     0.000    0.145E-05    0.302E-07
    15.136     0.000    0.146E-05    0.326E-07
    15.291     0.000    0.150E-05    0.377E-07
    15.446     0.000    0.147E-05    0.359E-07
    15.601     0.000    0.147E-05    0.373E-07
    15.756     0.000    0.144E-05    0.366E-07
    15.911     0.000    0.140E-05    0.317E-07
    16.066     0.000    0.137E-05    0.311E-07
    16.220     0.000    0.133E-05    0.260E-07
    16.375     0.000    0.127E-05    0.234E-07
    16.530     0.000    0.121E-05    0.168E-07
    16.685     0.000    0.114E-05    0.665E-08
    16.840     0.000    0.108E-05    0.459E-07
    16.995     0.000    0.101E-05    0.366E-07
    17.150     0.000    0.961E-06    0.278E-07
    17.304     0.000    0.892E-06    0.205E-07
    17.459     0.000    0.835E-06    0.136E-07
    17.769     0.000    0.742E-06    0.537E-08
    18.079     0.000    0.672E-06    0.864E-09
    18.388     0.000    0.608E-06    0.448E-07
    18.698     0.000    0.561E-06    0.418E-07
    19.008     0.000    0.484E-06    0.372E-07
    19.317     0.000    0.471E-06    0.370E-07
    19.627     0.000    0.428E-06    0.342E-07
    19.937     0.000    0.386E-06    0.315E-07
    20.247     0.000    0.368E-06    0.303E-07
    20.556     0.000    0.352E-06    0.295E-07
    20.866     0.000    0.298E-06    0.241E-07
    21.176     0.000    0.285E-06    0.231E-07
    21.485     0.000    0.276E-06    0.222E-07
    21.795     0.000    0.242E-06    0.189E-07
    22.105     0.000    0.228E-06    0.195E-07
    22.414     0.000    0.227E-06    0.184E-07
    22.724     0.000    0.197E-06    0.173E-07
    23.034     0.000    0.196E-06    0.162E-07
    23.344     0.000    0.183E-06    0.169E-07
    23.653     0.000    0.184E-06    0.154E-07
    23.963     0.000    0.148E-06    0.149E-07
    24.273     0.000    0.153E-06    0.136E-07
    24.582     0.000    0.114E-06    0.131E-07
    24.892     0.000    0.151E-06    0.156E-07
    25.202     0.000    0.162E-06    0.176E-07
    25.511     0.000    0.154E-06    0.167E-07
    25.821     0.000    0.115E-06    0.155E-07
    26.131     0.000    0.114E-06    0.149E-07
    26.441     0.000    0.987E-07    0.116E-07
    26.750     0.000    0.924E-07    0.116E-07
    27.060     0.000    0.862E-07    0.108E-07
