# fe1_exp_050_112_photoneut_1974Sor.dat                  
#
# Z = 50, A =112
# No. of entries:  158
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Sor  Y.I.Sorokin, B.A.Yurev;  Yad.Fiz. 20, 233 (1974); (Sov.J.Nucl.Phys. 20, 123 (1975)).                                                        
#    E         dE       f1           df1
    11.300     0.000    0.434E-06    0.571E-07
    11.400     0.000    0.463E-06    0.647E-07
    11.500     0.000    0.325E-06    0.549E-07
    11.600     0.000    0.477E-06    0.498E-07
    11.700     0.000    0.402E-06    0.621E-07
    11.800     0.000    0.557E-06    0.764E-07
    11.900     0.000    0.518E-06    0.634E-07
    12.000     0.000    0.451E-06    0.517E-07
    12.100     0.000    0.591E-06    0.620E-07
    12.200     0.000    0.580E-06    0.632E-07
    12.300     0.000    0.523E-06    0.521E-07
    12.400     0.000    0.624E-06    0.599E-07
    12.500     0.000    0.618E-06    0.616E-07
    12.600     0.000    0.521E-06    0.604E-07
    12.700     0.000    0.765E-06    0.710E-07
    12.800     0.000    0.684E-06    0.630E-07
    12.900     0.000    0.807E-06    0.780E-07
    13.000     0.000    0.761E-06    0.734E-07
    13.100     0.000    0.742E-06    0.808E-07
    13.200     0.000    0.953E-06    0.690E-07
    13.300     0.000    0.854E-06    0.763E-07
    13.400     0.000    0.952E-06    0.867E-07
    13.500     0.000    0.899E-06    0.803E-07
    13.600     0.000    0.110E-05    0.753E-07
    13.700     0.000    0.104E-05    0.772E-07
    13.800     0.000    0.937E-06    0.798E-07
    13.900     0.000    0.110E-05    0.730E-07
    14.000     0.000    0.125E-05    0.818E-07
    14.100     0.000    0.123E-05    0.720E-07
    14.200     0.000    0.114E-05    0.812E-07
    14.300     0.000    0.121E-05    0.855E-07
    14.400     0.000    0.127E-05    0.928E-07
    14.500     0.000    0.120E-05    0.885E-07
    14.600     0.000    0.117E-05    0.992E-07
    14.700     0.000    0.119E-05    0.962E-07
    14.800     0.000    0.156E-05    0.135E-06
    14.900     0.000    0.146E-05    0.102E-06
    15.000     0.000    0.145E-05    0.109E-06
    15.100     0.000    0.153E-05    0.942E-07
    15.200     0.000    0.142E-05    0.765E-07
    15.300     0.000    0.151E-05    0.930E-07
    15.400     0.000    0.130E-05    0.117E-06
    15.500     0.000    0.151E-05    0.107E-06
    15.600     0.000    0.149E-05    0.107E-06
    15.700     0.000    0.146E-05    0.989E-07
    15.800     0.000    0.147E-05    0.101E-06
    15.900     0.000    0.161E-05    0.105E-06
    16.000     0.000    0.157E-05    0.106E-06
    16.100     0.000    0.127E-05    0.884E-07
    16.200     0.000    0.134E-05    0.830E-07
    16.300     0.000    0.124E-05    0.947E-07
    16.400     0.000    0.133E-05    0.804E-07
    16.500     0.000    0.126E-05    0.867E-07
    16.600     0.000    0.125E-05    0.972E-07
    16.700     0.000    0.950E-06    0.925E-07
    16.800     0.000    0.107E-05    0.996E-07
    16.900     0.000    0.110E-05    0.102E-06
    17.000     0.000    0.964E-06    0.949E-07
    17.100     0.000    0.938E-06    0.913E-07
    17.200     0.000    0.106E-05    0.101E-06
    17.300     0.000    0.958E-06    0.887E-07
    17.400     0.000    0.887E-06    0.106E-06
    17.500     0.000    0.109E-05    0.102E-06
    17.600     0.000    0.798E-06    0.120E-06
    17.700     0.000    0.946E-06    0.105E-06
    17.800     0.000    0.965E-06    0.118E-06
    17.900     0.000    0.761E-06    0.152E-06
    18.000     0.000    0.684E-06    0.121E-06
    18.100     0.000    0.987E-06    0.135E-06
    18.200     0.000    0.772E-06    0.127E-06
    18.300     0.000    0.810E-06    0.134E-06
    18.400     0.000    0.891E-06    0.126E-06
    18.500     0.000    0.750E-06    0.120E-06
    18.600     0.000    0.760E-06    0.111E-06
    18.700     0.000    0.840E-06    0.145E-06
    18.800     0.000    0.651E-06    0.130E-06
    18.900     0.000    0.785E-06    0.143E-06
    19.000     0.000    0.753E-06    0.886E-07
    19.100     0.000    0.554E-06    0.745E-07
    19.200     0.000    0.754E-06    0.904E-07
    19.300     0.000    0.490E-06    0.872E-07
    19.400     0.000    0.697E-06    0.863E-07
    19.500     0.000    0.440E-06    0.885E-07
    19.600     0.000    0.518E-06    0.859E-07
    19.700     0.000    0.301E-06    0.982E-07
    19.800     0.000    0.396E-06    0.000E+00
    19.900     0.000    0.382E-06    0.000E+00
    20.000     0.000    0.373E-06    0.000E+00
    20.100     0.000    0.362E-06    0.000E+00
    20.200     0.000    0.354E-06    0.000E+00
    20.300     0.000    0.343E-06    0.000E+00
    20.400     0.000    0.335E-06    0.000E+00
    20.500     0.000    0.326E-06    0.000E+00
    20.600     0.000    0.320E-06    0.000E+00
    20.700     0.000    0.317E-06    0.000E+00
    20.800     0.000    0.309E-06    0.000E+00
    20.900     0.000    0.302E-06    0.000E+00
    21.000     0.000    0.296E-06    0.000E+00
    21.100     0.000    0.292E-06    0.000E+00
    21.200     0.000    0.290E-06    0.000E+00
    21.300     0.000    0.288E-06    0.000E+00
    21.400     0.000    0.286E-06    0.000E+00
    21.500     0.000    0.282E-06    0.000E+00
    21.600     0.000    0.279E-06    0.000E+00
    21.700     0.000    0.278E-06    0.000E+00
    21.800     0.000    0.275E-06    0.000E+00
    21.900     0.000    0.272E-06    0.000E+00
    22.000     0.000    0.269E-06    0.000E+00
    22.100     0.000    0.265E-06    0.000E+00
    22.200     0.000    0.261E-06    0.000E+00
    22.300     0.000    0.257E-06    0.000E+00
    22.400     0.000    0.250E-06    0.000E+00
    22.500     0.000    0.246E-06    0.000E+00
    22.600     0.000    0.238E-06    0.000E+00
    22.700     0.000    0.231E-06    0.000E+00
    22.800     0.000    0.221E-06    0.000E+00
    22.900     0.000    0.214E-06    0.000E+00
    23.000     0.000    0.212E-06    0.000E+00
    23.100     0.000    0.204E-06    0.000E+00
    23.200     0.000    0.200E-06    0.000E+00
    23.300     0.000    0.198E-06    0.000E+00
    23.400     0.000    0.194E-06    0.000E+00
    23.500     0.000    0.196E-06    0.000E+00
    23.600     0.000    0.191E-06    0.000E+00
    23.700     0.000    0.190E-06    0.000E+00
    23.800     0.000    0.190E-06    0.000E+00
    23.900     0.000    0.189E-06    0.000E+00
    24.000     0.000    0.191E-06    0.000E+00
    24.100     0.000    0.193E-06    0.000E+00
    24.200     0.000    0.194E-06    0.000E+00
    24.300     0.000    0.191E-06    0.000E+00
    24.400     0.000    0.188E-06    0.000E+00
    24.500     0.000    0.185E-06    0.000E+00
    24.600     0.000    0.182E-06    0.000E+00
    24.700     0.000    0.173E-06    0.000E+00
    24.800     0.000    0.171E-06    0.000E+00
    24.900     0.000    0.170E-06    0.000E+00
    25.000     0.000    0.160E-06    0.000E+00
    25.100     0.000    0.172E-06    0.000E+00
    25.200     0.000    0.173E-06    0.000E+00
    25.300     0.000    0.168E-06    0.000E+00
    25.400     0.000    0.162E-06    0.000E+00
    25.500     0.000    0.151E-06    0.000E+00
    25.600     0.000    0.145E-06    0.000E+00
    25.700     0.000    0.132E-06    0.000E+00
    25.800     0.000    0.143E-06    0.000E+00
    25.900     0.000    0.144E-06    0.000E+00
    26.000     0.000    0.148E-06    0.000E+00
    26.100     0.000    0.148E-06    0.000E+00
    26.200     0.000    0.148E-06    0.000E+00
    26.300     0.000    0.148E-06    0.000E+00
    26.400     0.000    0.150E-06    0.000E+00
    26.500     0.000    0.155E-06    0.000E+00
    26.600     0.000    0.150E-06    0.000E+00
    26.700     0.000    0.140E-06    0.000E+00
    26.800     0.000    0.120E-06    0.000E+00
    26.900     0.000    0.105E-06    0.000E+00
    27.000     0.000    0.999E-07    0.000E+00
