# fe1_exp_050_114_photoneut_2009Var.dat                  
#
# Z = 50, A =114
# No. of entries:  167
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2009Var  V.V.Varlamov et al.,; Mosc.St.Univ.Inst.of Nucl.Phys. Reports, No.2009, 3/847(2009); Bull.Rus.Acad.Sci.Phys.74, 833 (2010)).                
#    E         dE       f1           df1
    10.500     0.000    0.131E-06    0.380E-07
    10.600     0.000    0.147E-06    0.361E-07
    10.700     0.000    0.156E-06    0.398E-07
    10.800     0.000    0.175E-06    0.343E-07
    10.900     0.000    0.212E-06    0.411E-07
    11.000     0.000    0.207E-06    0.450E-07
    11.100     0.000    0.217E-06    0.461E-07
    11.200     0.000    0.215E-06    0.465E-07
    11.300     0.000    0.233E-06    0.448E-07
    11.400     0.000    0.196E-06    0.517E-07
    11.500     0.000    0.320E-06    0.543E-07
    11.600     0.000    0.336E-06    0.468E-07
    11.700     0.000    0.344E-06    0.487E-07
    11.800     0.000    0.381E-06    0.528E-07
    11.900     0.000    0.405E-06    0.510E-07
    12.000     0.000    0.431E-06    0.408E-07
    12.100     0.000    0.470E-06    0.498E-07
    12.200     0.000    0.518E-06    0.518E-07
    12.300     0.000    0.550E-06    0.535E-07
    12.400     0.000    0.539E-06    0.530E-07
    12.500     0.000    0.546E-06    0.547E-07
    12.600     0.000    0.569E-06    0.453E-07
    12.700     0.000    0.561E-06    0.490E-07
    12.800     0.000    0.555E-06    0.467E-07
    12.900     0.000    0.706E-06    0.480E-07
    13.000     0.000    0.619E-06    0.350E-07
    13.100     0.000    0.748E-06    0.518E-07
    13.200     0.000    0.782E-06    0.541E-07
    13.300     0.000    0.900E-06    0.462E-07
    13.400     0.000    0.848E-06    0.413E-07
    13.500     0.000    0.938E-06    0.545E-07
    13.600     0.000    0.963E-06    0.525E-07
    13.700     0.000    0.102E-05    0.543E-07
    13.800     0.000    0.968E-06    0.530E-07
    13.900     0.000    0.109E-05    0.549E-07
    14.000     0.000    0.113E-05    0.507E-07
    14.100     0.000    0.113E-05    0.501E-07
    14.200     0.000    0.113E-05    0.510E-07
    14.300     0.000    0.118E-05    0.411E-07
    14.400     0.000    0.117E-05    0.470E-07
    14.500     0.000    0.118E-05    0.435E-07
    14.600     0.000    0.123E-05    0.475E-07
    14.700     0.000    0.120E-05    0.539E-07
    14.800     0.000    0.131E-05    0.559E-07
    14.900     0.000    0.132E-05    0.560E-07
    15.000     0.000    0.141E-05    0.565E-07
    15.100     0.000    0.137E-05    0.503E-07
    15.200     0.000    0.142E-05    0.559E-07
    15.300     0.000    0.134E-05    0.635E-07
    15.400     0.000    0.140E-05    0.574E-07
    15.500     0.000    0.138E-05    0.554E-07
    15.600     0.000    0.127E-05    0.617E-07
    15.700     0.000    0.134E-05    0.552E-07
    15.800     0.000    0.131E-05    0.468E-07
    15.900     0.000    0.131E-05    0.539E-07
    16.000     0.000    0.130E-05    0.569E-07
    16.100     0.000    0.125E-05    0.598E-07
    16.200     0.000    0.126E-05    0.568E-07
    16.300     0.000    0.113E-05    0.607E-07
    16.400     0.000    0.126E-05    0.598E-07
    16.500     0.000    0.136E-05    0.762E-07
    16.600     0.000    0.111E-05    0.637E-07
    16.700     0.000    0.117E-05    0.649E-07
    16.800     0.000    0.130E-05    0.759E-07
    16.900     0.000    0.114E-05    0.724E-07
    17.000     0.000    0.105E-05    0.709E-07
    17.100     0.000    0.103E-05    0.583E-07
    17.200     0.000    0.958E-06    0.731E-07
    17.300     0.000    0.107E-05    0.657E-07
    17.400     0.000    0.927E-06    0.728E-07
    17.500     0.000    0.639E-06    0.570E-07
    17.600     0.000    0.872E-06    0.710E-07
    17.700     0.000    0.892E-06    0.686E-07
    17.800     0.000    0.104E-05    0.672E-07
    17.900     0.000    0.892E-06    0.707E-07
    18.000     0.000    0.106E-05    0.790E-07
    18.100     0.000    0.829E-06    0.748E-07
    18.200     0.000    0.748E-06    0.743E-07
    18.300     0.000    0.829E-06    0.683E-07
    18.400     0.000    0.801E-06    0.608E-07
    18.500     0.000    0.661E-06    0.614E-07
    18.600     0.000    0.727E-06    0.592E-07
    18.700     0.000    0.622E-06    0.391E-07
    18.800     0.000    0.544E-06    0.393E-07
    18.900     0.000    0.542E-06    0.302E-07
    19.000     0.000    0.548E-06    0.219E-07
    19.100     0.000    0.545E-06    0.261E-07
    19.200     0.000    0.470E-06    0.265E-07
    19.300     0.000    0.481E-06    0.259E-07
    19.400     0.000    0.461E-06    0.214E-07
    19.500     0.000    0.454E-06    0.229E-07
    19.600     0.000    0.433E-06    0.204E-07
    19.700     0.000    0.402E-06    0.227E-07
    19.800     0.000    0.420E-06    0.198E-07
    19.900     0.000    0.394E-06    0.239E-07
    20.000     0.000    0.388E-06    0.244E-07
    20.100     0.000    0.372E-06    0.205E-07
    20.200     0.000    0.400E-06    0.276E-07
    20.300     0.000    0.325E-06    0.226E-07
    20.400     0.000    0.273E-06    0.243E-07
