# fe1_exp_050_117_photoneut_1974Le1.dat                  
#
# Z = 50, A =117
# No. of entries:   45
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A219, 39(1974).                                                                         
#    E         dE       f1           df1
     8.870     0.000    0.234E-06    0.391E-07
     9.140     0.000    0.287E-06    0.381E-07
     9.410     0.000    0.235E-06    0.373E-07
     9.680     0.000    0.252E-06    0.365E-07
     9.950     0.000    0.246E-06    0.357E-07
    10.220     0.000    0.295E-06    0.349E-07
    10.500     0.000    0.306E-06    0.342E-07
    10.770     0.000    0.275E-06    0.335E-07
    11.040     0.000    0.328E-06    0.328E-07
    11.310     0.000    0.363E-06    0.322E-07
    11.580     0.000    0.386E-06    0.317E-07
    11.850     0.000    0.419E-06    0.311E-07
    12.120     0.000    0.494E-06    0.306E-07
    12.390     0.000    0.496E-06    0.301E-07
    12.660     0.000    0.579E-06    0.296E-07
    12.930     0.000    0.704E-06    0.291E-07
    13.210     0.000    0.775E-06    0.286E-07
    13.480     0.000    0.843E-06    0.282E-07
    13.750     0.000    0.984E-06    0.278E-07
    14.020     0.000    0.110E-05    0.274E-07
    14.290     0.000    0.121E-05    0.270E-07
    14.560     0.000    0.132E-05    0.267E-07
    14.830     0.000    0.138E-05    0.263E-07
    15.100     0.000    0.140E-05    0.260E-07
    15.370     0.000    0.150E-05    0.257E-07
    15.640     0.000    0.138E-05    0.253E-07
    15.920     0.000    0.137E-05    0.250E-07
    16.190     0.000    0.132E-05    0.247E-07
    16.730     0.000    0.114E-05    0.241E-07
    17.000     0.000    0.104E-05    0.238E-07
    17.270     0.000    0.949E-06    0.235E-07
    17.540     0.000    0.836E-06    0.232E-07
    17.810     0.000    0.813E-06    0.230E-07
    18.080     0.000    0.739E-06    0.228E-07
    18.350     0.000    0.657E-06    0.225E-07
    18.630     0.000    0.587E-06    0.223E-07
    18.900     0.000    0.610E-06    0.221E-07
    19.170     0.000    0.462E-06    0.219E-07
    19.440     0.000    0.455E-06    0.217E-07
    19.710     0.000    0.408E-06    0.215E-07
    19.980     0.000    0.363E-06    0.213E-07
    20.250     0.000    0.373E-06    0.211E-07
    20.520     0.000    0.302E-06    0.209E-07
    20.790     0.000    0.348E-06    0.208E-07
    21.060     0.000    0.308E-06    0.206E-07
