# fe1_exp_050_117_photoneut_2009Uts_2.dat                
#
# Z = 50, A =117
# No. of entries:   20
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (H.Utsunomiya, S.Goriely, M.Kamata, T.Kondo, O.Itoh,   (J,PR/C,80,(5),055806,2009)                                                                  
#    E         dE       f1           df1
     7.090     0.000    0.115E-06    0.982E-08
     7.230     0.000    0.113E-06    0.867E-08
     7.230     0.000    0.117E-06    0.814E-08
     7.350     0.000    0.128E-06    0.134E-07
     7.550     0.000    0.123E-06    0.791E-08
     7.680     0.000    0.123E-06    0.857E-08
     7.890     0.000    0.126E-06    0.873E-08
     8.140     0.000    0.129E-06    0.845E-08
     8.400     0.000    0.136E-06    0.970E-08
     8.610     0.000    0.132E-06    0.127E-07
     8.750     0.000    0.146E-06    0.963E-08
     9.100     0.000    0.174E-06    0.217E-07
     9.210     0.000    0.158E-06    0.101E-07
     9.430     0.000    0.180E-06    0.132E-07
     9.860     0.000    0.203E-06    0.155E-07
     9.960     0.000    0.205E-06    0.211E-07
    10.510     0.000    0.256E-06    0.203E-07
    11.140     0.000    0.311E-06    0.259E-07
    11.500     0.000    0.372E-06    0.285E-07
    12.120     0.000    0.527E-06    0.420E-07
