# fe1_exp_050_118_photoneut_1969Fu1.dat                  
#
# Z = 50, A =118
# No. of entries:  104
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Fu1  S.C.Fultz, B.L.Berman, J.T.Caldwell, R.L.Bramblett, M.A.Kelly; Phys. Rev., 186, 1255(1969).                                                 
#    E         dE       f1           df1
     9.407     0.000    0.840E-07    0.369E-08
     9.717     0.000    0.161E-06    0.616E-08
    10.026     0.000    0.175E-06    0.666E-08
    10.336     0.000    0.188E-06    0.705E-08
    10.491     0.000    0.196E-06    0.744E-08
    10.646     0.000    0.229E-06    0.823E-08
    10.801     0.000    0.237E-06    0.843E-08
    10.955     0.000    0.270E-06    0.934E-08
    11.110     0.000    0.278E-06    0.968E-08
    11.265     0.000    0.268E-06    0.962E-08
    11.420     0.000    0.323E-06    0.107E-07
    11.575     0.000    0.363E-06    0.115E-07
    11.730     0.000    0.367E-06    0.117E-07
    11.885     0.000    0.419E-06    0.126E-07
    12.039     0.000    0.439E-06    0.130E-07
    12.194     0.000    0.468E-06    0.137E-07
    12.349     0.000    0.545E-06    0.148E-07
    12.504     0.000    0.562E-06    0.971E-08
    12.659     0.000    0.571E-06    0.119E-07
    12.814     0.000    0.613E-06    0.131E-07
    12.969     0.000    0.653E-06    0.136E-07
    13.123     0.000    0.707E-06    0.143E-07
    13.278     0.000    0.745E-06    0.129E-07
    13.433     0.000    0.820E-06    0.136E-07
    13.588     0.000    0.875E-06    0.142E-07
    13.743     0.000    0.940E-06    0.148E-07
    13.898     0.000    0.104E-05    0.157E-07
    14.053     0.000    0.109E-05    0.154E-07
    14.207     0.000    0.121E-05    0.152E-07
    14.362     0.000    0.122E-05    0.168E-07
    14.517     0.000    0.127E-05    0.177E-07
    14.672     0.000    0.132E-05    0.150E-07
    14.827     0.000    0.135E-05    0.130E-07
    14.982     0.000    0.141E-05    0.183E-07
    15.136     0.000    0.146E-05    0.185E-07
    15.291     0.000    0.144E-05    0.192E-07
    15.446     0.000    0.143E-05    0.172E-07
    15.601     0.000    0.142E-05    0.157E-07
    15.756     0.000    0.137E-05    0.162E-07
    15.911     0.000    0.138E-05    0.174E-07
    16.066     0.000    0.131E-05    0.172E-07
    16.220     0.000    0.125E-05    0.172E-07
    16.375     0.000    0.122E-05    0.171E-07
    16.530     0.000    0.114E-05    0.168E-07
    16.685     0.000    0.105E-05    0.152E-07
    16.840     0.000    0.104E-05    0.162E-07
    16.995     0.000    0.965E-06    0.166E-07
    17.150     0.000    0.926E-06    0.167E-07
    17.304     0.000    0.912E-06    0.168E-07
    17.459     0.000    0.855E-06    0.168E-07
    17.614     0.000    0.798E-06    0.168E-07
    17.769     0.000    0.781E-06    0.173E-07
    17.924     0.000    0.750E-06    0.177E-07
    18.079     0.000    0.700E-06    0.176E-07
    18.233     0.000    0.680E-06    0.177E-07
    18.388     0.000    0.670E-06    0.180E-07
    18.543     0.000    0.617E-06    0.176E-07
    18.698     0.000    0.598E-06    0.180E-07
    18.853     0.000    0.580E-06    0.181E-07
    19.008     0.000    0.525E-06    0.178E-07
    19.163     0.000    0.511E-06    0.177E-07
    19.317     0.000    0.467E-06    0.125E-07
    19.472     0.000    0.454E-06    0.170E-07
    19.627     0.000    0.434E-06    0.190E-07
    19.782     0.000    0.388E-06    0.153E-07
    19.937     0.000    0.370E-06    0.177E-07
    20.092     0.000    0.346E-06    0.180E-07
    20.247     0.000    0.338E-06    0.179E-07
    20.401     0.000    0.348E-06    0.182E-07
    20.556     0.000    0.298E-06    0.180E-07
    20.711     0.000    0.299E-06    0.180E-07
    20.866     0.000    0.304E-06    0.191E-07
    21.021     0.000    0.342E-06    0.185E-07
    21.176     0.000    0.261E-06    0.183E-07
    21.330     0.000    0.290E-06    0.187E-07
    21.485     0.000    0.252E-06    0.187E-07
    21.640     0.000    0.244E-06    0.186E-07
    21.795     0.000    0.222E-06    0.184E-07
    21.950     0.000    0.234E-06    0.188E-07
    22.105     0.000    0.262E-06    0.191E-07
    22.260     0.000    0.228E-06    0.134E-07
    22.414     0.000    0.233E-06    0.135E-07
    22.569     0.000    0.215E-06    0.138E-07
    22.724     0.000    0.244E-06    0.139E-07
    22.879     0.000    0.252E-06    0.139E-07
    23.034     0.000    0.183E-06    0.138E-07
    23.189     0.000    0.192E-06    0.138E-07
    23.344     0.000    0.157E-06    0.196E-07
    23.498     0.000    0.211E-06    0.197E-07
    23.653     0.000    0.182E-06    0.199E-07
    23.808     0.000    0.166E-06    0.196E-07
    23.963     0.000    0.177E-06    0.201E-07
    24.118     0.000    0.140E-06    0.196E-07
    24.273     0.000    0.159E-06    0.204E-07
    24.427     0.000    0.196E-06    0.206E-07
    24.582     0.000    0.208E-06    0.213E-07
    24.737     0.000    0.196E-06    0.210E-07
    24.892     0.000    0.236E-06    0.214E-07
    25.047     0.000    0.154E-06    0.211E-07
    25.202     0.000    0.190E-06    0.212E-07
    25.357     0.000    0.209E-06    0.214E-07
    25.511     0.000    0.176E-06    0.209E-07
    25.666     0.000    0.185E-06    0.216E-07
    25.821     0.000    0.163E-06    0.216E-07
