# fe1_exp_050_118_photoneut_1974Le1.dat                  
#
# Z = 50, A =118
# No. of entries:   85
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A                                                                                       
#    E         dE       f1           df1
    10.130     0.000    0.308E-06    0.342E-07
    10.270     0.000    0.332E-06    0.339E-07
    10.400     0.000    0.332E-06    0.335E-07
    10.540     0.000    0.320E-06    0.332E-07
    10.680     0.000    0.378E-06    0.329E-07
    10.810     0.000    0.348E-06    0.326E-07
    10.950     0.000    0.379E-06    0.322E-07
    11.080     0.000    0.386E-06    0.319E-07
    11.220     0.000    0.381E-06    0.317E-07
    11.360     0.000    0.432E-06    0.314E-07
    11.490     0.000    0.455E-06    0.311E-07
    11.630     0.000    0.480E-06    0.308E-07
    11.770     0.000    0.513E-06    0.305E-07
    11.900     0.000    0.552E-06    0.303E-07
    12.040     0.000    0.594E-06    0.300E-07
    12.170     0.000    0.644E-06    0.298E-07
    12.310     0.000    0.638E-06    0.295E-07
    12.450     0.000    0.673E-06    0.293E-07
    12.580     0.000    0.684E-06    0.290E-07
    12.720     0.000    0.771E-06    0.288E-07
    12.850     0.000    0.736E-06    0.286E-07
    12.990     0.000    0.861E-06    0.284E-07
    13.130     0.000    0.859E-06    0.281E-07
    13.260     0.000    0.877E-06    0.279E-07
    13.400     0.000    0.958E-06    0.278E-07
    13.540     0.000    0.104E-05    0.275E-07
    13.670     0.000    0.114E-05    0.273E-07
    13.810     0.000    0.118E-05    0.271E-07
    13.940     0.000    0.121E-05    0.269E-07
    14.080     0.000    0.128E-05    0.268E-07
    14.220     0.000    0.128E-05    0.266E-07
    14.350     0.000    0.141E-05    0.264E-07
    14.490     0.000    0.144E-05    0.262E-07
    14.630     0.000    0.155E-05    0.260E-07
    14.760     0.000    0.155E-05    0.259E-07
    14.900     0.000    0.155E-05    0.257E-07
    15.030     0.000    0.157E-05    0.256E-07
    15.170     0.000    0.159E-05    0.254E-07
    15.310     0.000    0.162E-05    0.252E-07
    15.440     0.000    0.153E-05    0.251E-07
    15.580     0.000    0.157E-05    0.249E-07
    15.710     0.000    0.154E-05    0.248E-07
    15.850     0.000    0.143E-05    0.246E-07
    15.990     0.000    0.139E-05    0.245E-07
    16.120     0.000    0.135E-05    0.243E-07
    16.260     0.000    0.135E-05    0.242E-07
    16.400     0.000    0.124E-05    0.241E-07
    16.530     0.000    0.123E-05    0.239E-07
    16.670     0.000    0.117E-05    0.238E-07
    16.800     0.000    0.112E-05    0.236E-07
    16.940     0.000    0.106E-05    0.236E-07
    17.080     0.000    0.101E-05    0.234E-07
    17.210     0.000    0.958E-06    0.233E-07
    17.350     0.000    0.905E-06    0.231E-07
    17.490     0.000    0.863E-06    0.230E-07
    17.620     0.000    0.817E-06    0.229E-07
    17.760     0.000    0.791E-06    0.228E-07
    17.890     0.000    0.771E-06    0.227E-07
    18.030     0.000    0.712E-06    0.226E-07
    18.170     0.000    0.678E-06    0.224E-07
    18.300     0.000    0.659E-06    0.223E-07
    18.440     0.000    0.616E-06    0.222E-07
    18.580     0.000    0.593E-06    0.221E-07
    18.710     0.000    0.589E-06    0.220E-07
    18.850     0.000    0.543E-06    0.219E-07
    18.980     0.000    0.512E-06    0.218E-07
    19.120     0.000    0.448E-06    0.217E-07
    19.260     0.000    0.495E-06    0.216E-07
    19.390     0.000    0.442E-06    0.215E-07
    19.530     0.000    0.407E-06    0.214E-07
    19.660     0.000    0.422E-06    0.213E-07
    19.800     0.000    0.364E-06    0.212E-07
    19.940     0.000    0.369E-06    0.211E-07
    20.070     0.000    0.357E-06    0.210E-07
    20.210     0.000    0.328E-06    0.209E-07
    20.350     0.000    0.335E-06    0.208E-07
    20.480     0.000    0.329E-06    0.208E-07
    20.620     0.000    0.297E-06    0.207E-07
    20.750     0.000    0.312E-06    0.206E-07
    20.890     0.000    0.270E-06    0.205E-07
    21.030     0.000    0.272E-06    0.204E-07
    21.160     0.000    0.273E-06    0.203E-07
    21.300     0.000    0.263E-06    0.203E-07
    21.440     0.000    0.266E-06    0.202E-07
    21.570     0.000    0.228E-06    0.201E-07
