# fe1_exp_050_119_photoneut_1975Sor.dat                  
#
# Z = 50, A =119
# No. of entries:  179
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Sor  Y.I.Sorokin, B.A.Yurev; Izv.Akad.Nauk SSSR,Ser.Fiz. 39, 114(1975); (Bull.Acad.Sci.USSR, Phys.Ser. 39(1), 98(1975)).                         
#    E         dE       f1           df1
     7.400     0.000    0.281E-07    0.000E+00
     7.500     0.000    0.631E-07    0.000E+00
     7.600     0.000    0.824E-07    0.000E+00
     7.700     0.000    0.105E-06    0.000E+00
     7.800     0.000    0.141E-06    0.000E+00
     7.900     0.000    0.188E-06    0.000E+00
     8.000     0.000    0.180E-06    0.000E+00
     8.100     0.000    0.136E-06    0.000E+00
     8.200     0.000    0.697E-07    0.000E+00
     8.300     0.000    0.815E-07    0.000E+00
     8.400     0.000    0.113E-06    0.000E+00
     8.500     0.000    0.109E-06    0.000E+00
     8.600     0.000    0.135E-06    0.000E+00
     8.700     0.000    0.975E-07    0.000E+00
     8.800     0.000    0.726E-07    0.000E+00
     8.900     0.000    0.684E-07    0.000E+00
     9.000     0.000    0.521E-07    0.000E+00
     9.100     0.000    0.669E-07    0.000E+00
     9.200     0.000    0.780E-07    0.000E+00
     9.300     0.000    0.819E-07    0.000E+00
     9.400     0.000    0.112E-06    0.000E+00
     9.500     0.000    0.115E-06    0.000E+00
     9.600     0.000    0.133E-06    0.000E+00
     9.700     0.000    0.126E-06    0.000E+00
     9.800     0.000    0.147E-06    0.000E+00
     9.900     0.000    0.171E-06    0.000E+00
    10.000     0.000    0.170E-06    0.000E+00
    10.100     0.000    0.179E-06    0.000E+00
    10.200     0.000    0.196E-06    0.000E+00
    10.300     0.000    0.205E-06    0.000E+00
    10.400     0.000    0.214E-06    0.000E+00
    10.500     0.000    0.221E-06    0.000E+00
    10.600     0.000    0.189E-06    0.000E+00
    10.700     0.000    0.276E-06    0.000E+00
    10.800     0.000    0.245E-06    0.000E+00
    10.900     0.000    0.302E-06    0.000E+00
    11.000     0.000    0.308E-06    0.000E+00
    11.100     0.000    0.381E-06    0.000E+00
    11.200     0.000    0.379E-06    0.000E+00
    11.300     0.000    0.441E-06    0.000E+00
    11.400     0.000    0.430E-06    0.000E+00
    11.500     0.000    0.425E-06    0.000E+00
    11.600     0.000    0.474E-06    0.000E+00
    11.700     0.000    0.525E-06    0.000E+00
    11.800     0.000    0.520E-06    0.000E+00
