# fe1_exp_050_124_photoneut_1969Fu1.dat                  
#
# Z = 50, A =124
# No. of entries:   73
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Fu1  S.C.Fultz, B.L.Berman, J.T.Caldwell, R.L.Bramblett, M.A.Kelly; Phys. Rev., 186, 1255(1969).                                                 
#    E         dE       f1           df1
     8.788     0.000    0.179E-06    0.124E-07
     9.097     0.000    0.243E-06    0.161E-07
     9.407     0.000    0.231E-06    0.112E-07
     9.717     0.000    0.249E-06    0.117E-07
    10.026     0.000    0.289E-06    0.136E-07
    10.336     0.000    0.292E-06    0.162E-07
    10.646     0.000    0.306E-06    0.174E-07
    10.955     0.000    0.383E-06    0.196E-07
    11.265     0.000    0.421E-06    0.205E-07
    11.575     0.000    0.504E-06    0.236E-07
    11.885     0.000    0.599E-06    0.260E-07
    12.194     0.000    0.620E-06    0.270E-07
    12.504     0.000    0.678E-06    0.221E-07
    12.659     0.000    0.795E-06    0.225E-07
    12.814     0.000    0.826E-06    0.215E-07
    12.969     0.000    0.910E-06    0.213E-07
    13.123     0.000    0.932E-06    0.213E-07
    13.278     0.000    0.102E-05    0.221E-07
    13.433     0.000    0.113E-05    0.237E-07
    13.588     0.000    0.122E-05    0.240E-07
    13.743     0.000    0.128E-05    0.251E-07
    13.898     0.000    0.134E-05    0.254E-07
    14.053     0.000    0.142E-05    0.237E-07
    14.207     0.000    0.151E-05    0.254E-07
    14.362     0.000    0.155E-05    0.257E-07
    14.517     0.000    0.160E-05    0.263E-07
    14.672     0.000    0.168E-05    0.267E-07
    14.827     0.000    0.170E-05    0.275E-07
    14.982     0.000    0.166E-05    0.276E-07
    15.136     0.000    0.161E-05    0.247E-07
    15.291     0.000    0.158E-05    0.255E-07
    15.446     0.000    0.149E-05    0.214E-07
    15.601     0.000    0.147E-05    0.277E-07
    15.756     0.000    0.145E-05    0.280E-07
    15.911     0.000    0.138E-05    0.277E-07
    16.066     0.000    0.131E-05    0.277E-07
    16.220     0.000    0.129E-05    0.278E-07
    16.530     0.000    0.115E-05    0.275E-07
    16.840     0.000    0.105E-05    0.271E-07
    17.150     0.000    0.920E-06    0.266E-07
    17.459     0.000    0.884E-06    0.270E-07
    17.769     0.000    0.771E-06    0.266E-07
    18.079     0.000    0.691E-06    0.265E-07
    18.388     0.000    0.575E-06    0.263E-07
    18.698     0.000    0.463E-06    0.257E-07
    19.008     0.000    0.488E-06    0.261E-07
    19.317     0.000    0.424E-06    0.261E-07
    19.627     0.000    0.422E-06    0.266E-07
    19.937     0.000    0.371E-06    0.263E-07
    20.247     0.000    0.326E-06    0.264E-07
    20.556     0.000    0.264E-06    0.246E-07
    20.866     0.000    0.251E-06    0.261E-07
    21.176     0.000    0.213E-06    0.263E-07
    21.485     0.000    0.281E-06    0.194E-07
    21.795     0.000    0.211E-06    0.273E-07
    22.105     0.000    0.257E-06    0.279E-07
    22.414     0.000    0.205E-06    0.276E-07
    22.724     0.000    0.206E-06    0.279E-07
    23.034     0.000    0.230E-06    0.286E-07
    23.189     0.000    0.169E-06    0.282E-07
    23.344     0.000    0.161E-06    0.282E-07
    23.498     0.000    0.168E-06    0.290E-07
    23.653     0.000    0.183E-06    0.280E-07
    23.808     0.000    0.183E-06    0.280E-07
    23.963     0.000    0.184E-06    0.282E-07
    24.118     0.000    0.166E-06    0.282E-07
    24.273     0.000    0.147E-06    0.282E-07
    24.427     0.000    0.121E-06    0.282E-07
    24.582     0.000    0.136E-06    0.284E-07
    24.737     0.000    0.982E-07    0.283E-07
    24.892     0.000    0.103E-06    0.283E-07
    25.202     0.000    0.149E-06    0.256E-07
    25.511     0.000    0.161E-06    0.292E-07
