# fe1_exp_051_nat_photoneut_1971Lep.dat                  
#
# Z = 51, A =  0
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Lep  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl.Phys. A175, 609(1971).                                                                         
#    E         dE       f1           df1
     9.680     0.000    0.174E-06    0.181E-07
     9.950     0.000    0.230E-06    0.177E-07
    10.220     0.000    0.229E-06    0.174E-07
    10.500     0.000    0.287E-06    0.171E-07
    10.770     0.000    0.379E-06    0.168E-07
    11.040     0.000    0.371E-06    0.165E-07
    11.310     0.000    0.310E-06    0.163E-07
    11.580     0.000    0.413E-06    0.160E-07
    11.850     0.000    0.496E-06    0.157E-07
    12.120     0.000    0.572E-06    0.155E-07
    12.390     0.000    0.657E-06    0.153E-07
    12.660     0.000    0.760E-06    0.151E-07
    12.930     0.000    0.845E-06    0.149E-07
    13.210     0.000    0.952E-06    0.146E-07
    13.480     0.000    0.109E-05    0.145E-07
    13.750     0.000    0.101E-05    0.143E-07
    14.020     0.000    0.136E-05    0.141E-07
    14.290     0.000    0.146E-05    0.140E-07
    14.560     0.000    0.153E-05    0.138E-07
    14.830     0.000    0.157E-05    0.136E-07
    15.100     0.000    0.156E-05    0.135E-07
    15.370     0.000    0.156E-05    0.134E-07
    15.640     0.000    0.151E-05    0.132E-07
    15.920     0.000    0.141E-05    0.131E-07
    16.190     0.000    0.136E-05    0.130E-07
    16.460     0.000    0.128E-05    0.128E-07
    16.730     0.000    0.119E-05    0.127E-07
    17.000     0.000    0.109E-05    0.126E-07
    17.270     0.000    0.103E-05    0.125E-07
    17.540     0.000    0.954E-06    0.124E-07
    17.810     0.000    0.799E-06    0.123E-07
    18.080     0.000    0.816E-06    0.121E-07
    18.350     0.000    0.752E-06    0.121E-07
    18.630     0.000    0.656E-06    0.120E-07
    18.900     0.000    0.615E-06    0.118E-07
    19.170     0.000    0.575E-06    0.118E-07
    19.440     0.000    0.535E-06    0.117E-07
    19.710     0.000    0.484E-06    0.116E-07
    19.980     0.000    0.456E-06    0.115E-07
    20.250     0.000    0.406E-06    0.114E-07
    20.520     0.000    0.380E-06    0.113E-07
    20.790     0.000    0.321E-06    0.113E-07
    21.060     0.000    0.287E-06    0.112E-07
    21.340     0.000    0.266E-06    0.111E-07
    21.610     0.000    0.265E-06    0.110E-07
    21.880     0.000    0.253E-06    0.110E-07
    22.150     0.000    0.213E-06    0.109E-07
    22.420     0.000    0.251E-06    0.108E-07
    22.690     0.000    0.206E-06    0.108E-07
    22.960     0.000    0.201E-06    0.107E-07
    23.230     0.000    0.178E-06    0.106E-07
    23.500     0.000    0.204E-06    0.106E-07
    23.770     0.000    0.148E-06    0.105E-07
    24.050     0.000    0.159E-06    0.105E-07
    24.320     0.000    0.187E-06    0.104E-07
    24.590     0.000    0.197E-06    0.103E-07
    24.860     0.000    0.174E-06    0.103E-07
    25.130     0.000    0.163E-06    0.103E-07
    25.400     0.000    0.155E-06    0.102E-07
