# fe1_exp_053_127_photoneut_1989Ras.dat                  
#
# Z = 53, A =127
# No. of entries:   65
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1989Ras  R.P.Rassool, M.N.Thompson; Phys.Rev. C39, 1631(1989); (Phys. Rev. C40, 506(1989)).                                                          
#    E         dE       f1           df1
     9.600     0.000    0.114E-06    0.136E-07
     9.800     0.000    0.148E-06    0.142E-07
    10.000     0.000    0.230E-06    0.147E-07
    10.200     0.000    0.249E-06    0.179E-07
    10.400     0.000    0.320E-06    0.225E-07
    10.600     0.000    0.286E-06    0.205E-07
    10.800     0.000    0.325E-06    0.161E-07
    11.000     0.000    0.374E-06    0.181E-07
    11.200     0.000    0.416E-06    0.170E-07
    11.400     0.000    0.409E-06    0.190E-07
    11.600     0.000    0.491E-06    0.314E-07
    11.800     0.000    0.549E-06    0.309E-07
    12.000     0.000    0.605E-06    0.304E-07
    12.200     0.000    0.645E-06    0.348E-07
    12.400     0.000    0.832E-06    0.392E-07
    12.600     0.000    0.771E-06    0.475E-07
    12.800     0.000    0.854E-06    0.468E-07
    13.000     0.000    0.103E-05    0.514E-07
    13.200     0.000    0.118E-05    0.506E-07
    13.400     0.000    0.120E-05    0.634E-07
    13.600     0.000    0.140E-05    0.670E-07
    13.800     0.000    0.158E-05    0.874E-07
    14.000     0.000    0.168E-05    0.911E-07
    14.200     0.000    0.170E-05    0.977E-07
    14.400     0.000    0.158E-05    0.101E-06
    14.600     0.000    0.166E-05    0.624E-07
    14.800     0.000    0.166E-05    0.656E-07
    15.000     0.000    0.154E-05    0.769E-07
    15.200     0.000    0.165E-05    0.799E-07
    15.400     0.000    0.159E-05    0.789E-07
    15.600     0.000    0.151E-05    0.817E-07
    15.800     0.000    0.148E-05    0.840E-07
    16.000     0.000    0.131E-05    0.943E-07
    16.200     0.000    0.120E-05    0.600E-07
    16.400     0.000    0.118E-05    0.703E-07
    16.600     0.000    0.111E-05    0.695E-07
    16.800     0.000    0.106E-05    0.687E-07
    17.000     0.000    0.827E-06    0.679E-07
    17.200     0.000    0.857E-06    0.459E-07
    17.400     0.000    0.867E-06    0.384E-07
    17.600     0.000    0.789E-06    0.621E-07
    17.800     0.000    0.711E-06    0.409E-07
    18.000     0.000    0.641E-06    0.472E-07
    18.200     0.000    0.605E-06    0.434E-07
    18.400     0.000    0.547E-06    0.462E-07
    18.600     0.000    0.423E-06    0.229E-07
    18.800     0.000    0.451E-06    0.388E-07
    19.000     0.000    0.414E-06    0.365E-07
    19.200     0.000    0.394E-06    0.253E-07
    19.400     0.000    0.343E-06    0.246E-07
    19.600     0.000    0.336E-06    0.221E-07
    19.800     0.000    0.275E-06    0.210E-07
    20.000     0.000    0.318E-06    0.182E-07
    20.200     0.000    0.276E-06    0.180E-07
    20.400     0.000    0.207E-06    0.170E-07
    20.600     0.000    0.211E-06    0.168E-07
    20.800     0.000    0.189E-06    0.125E-07
    21.000     0.000    0.170E-06    0.124E-07
    21.200     0.000    0.143E-06    0.102E-07
    21.400     0.000    0.119E-06    0.101E-07
    21.600     0.000    0.106E-06    0.803E-08
    21.800     0.000    0.999E-07    0.796E-08
    22.000     0.000    0.962E-07    0.789E-08
    22.200     0.000    0.109E-06    0.781E-08
    22.400     0.000    0.891E-07    0.774E-08
