# fe1_exp_053_127_photoneut_1999Bel.dat                  
#
# Z = 53, A =127
# No. of entries:  209
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1999Bel  S.N.Belyaev, V.A.Semenov, V.P.Sinichkin; Workshop on Beam Dynamics and Optimiz, Saratov 97 (1997).                                          
#    E         dE       f1           df1
     9.500     0.000    0.235E-06    0.822E-08
     9.550     0.000    0.244E-06    0.908E-08
     9.590     0.000    0.250E-06    0.904E-08
     9.640     0.000    0.252E-06    0.900E-08
     9.690     0.000    0.252E-06    0.985E-08
     9.740     0.000    0.251E-06    0.980E-08
     9.780     0.000    0.249E-06    0.976E-08
     9.830     0.000    0.247E-06    0.106E-07
     9.880     0.000    0.245E-06    0.105E-07
     9.930     0.000    0.244E-06    0.105E-07
     9.970     0.000    0.244E-06    0.113E-07
    10.020     0.000    0.245E-06    0.113E-07
    10.070     0.000    0.246E-06    0.112E-07
    10.120     0.000    0.249E-06    0.120E-07
    10.160     0.000    0.250E-06    0.120E-07
    10.210     0.000    0.252E-06    0.119E-07
    10.260     0.000    0.255E-06    0.118E-07
    10.310     0.000    0.258E-06    0.118E-07
    10.360     0.000    0.263E-06    0.126E-07
    10.400     0.000    0.269E-06    0.125E-07
    10.450     0.000    0.276E-06    0.125E-07
    10.500     0.000    0.286E-06    0.124E-07
    10.550     0.000    0.295E-06    0.132E-07
    10.590     0.000    0.306E-06    0.131E-07
    10.640     0.000    0.315E-06    0.130E-07
    10.690     0.000    0.323E-06    0.130E-07
    10.740     0.000    0.330E-06    0.129E-07
    10.780     0.000    0.338E-06    0.137E-07
    10.830     0.000    0.343E-06    0.136E-07
    10.880     0.000    0.348E-06    0.136E-07
    10.930     0.000    0.352E-06    0.135E-07
    10.970     0.000    0.355E-06    0.142E-07
    11.020     0.000    0.358E-06    0.142E-07
    11.070     0.000    0.361E-06    0.141E-07
    11.120     0.000    0.365E-06    0.140E-07
    11.170     0.000    0.369E-06    0.140E-07
    11.210     0.000    0.373E-06    0.147E-07
    11.260     0.000    0.377E-06    0.146E-07
    11.310     0.000    0.383E-06    0.146E-07
    11.360     0.000    0.389E-06    0.145E-07
    11.400     0.000    0.397E-06    0.145E-07
    11.450     0.000    0.407E-06    0.152E-07
    11.500     0.000    0.417E-06    0.151E-07
    11.550     0.000    0.430E-06    0.150E-07
    11.590     0.000    0.443E-06    0.150E-07
    11.640     0.000    0.458E-06    0.149E-07
    11.690     0.000    0.473E-06    0.156E-07
    11.740     0.000    0.488E-06    0.155E-07
    11.790     0.000    0.503E-06    0.154E-07
    11.830     0.000    0.518E-06    0.154E-07
    11.880     0.000    0.532E-06    0.153E-07
    11.930     0.000    0.545E-06    0.153E-07
    11.980     0.000    0.557E-06    0.159E-07
    12.020     0.000    0.567E-06    0.159E-07
    12.070     0.000    0.576E-06    0.158E-07
    12.120     0.000    0.584E-06    0.157E-07
    12.170     0.000    0.592E-06    0.157E-07
    12.210     0.000    0.600E-06    0.163E-07
    12.260     0.000    0.609E-06    0.163E-07
    12.310     0.000    0.619E-06    0.162E-07
    12.360     0.000    0.629E-06    0.161E-07
    12.400     0.000    0.641E-06    0.161E-07
    12.450     0.000    0.654E-06    0.167E-07
    12.500     0.000    0.669E-06    0.167E-07
    12.550     0.000    0.686E-06    0.166E-07
    12.600     0.000    0.702E-06    0.165E-07
    12.640     0.000    0.721E-06    0.172E-07
    12.690     0.000    0.745E-06    0.171E-07
    12.740     0.000    0.763E-06    0.170E-07
    12.790     0.000    0.787E-06    0.170E-07
    12.830     0.000    0.811E-06    0.169E-07
    12.880     0.000    0.835E-06    0.175E-07
    12.930     0.000    0.859E-06    0.174E-07
    12.980     0.000    0.875E-06    0.174E-07
    13.020     0.000    0.899E-06    0.173E-07
    13.070     0.000    0.922E-06    0.173E-07
    13.120     0.000    0.939E-06    0.178E-07
    13.170     0.000    0.962E-06    0.178E-07
    13.210     0.000    0.978E-06    0.177E-07
    13.260     0.000    0.994E-06    0.177E-07
    13.310     0.000    0.102E-05    0.176E-07
    13.360     0.000    0.103E-05    0.182E-07
    13.410     0.000    0.105E-05    0.181E-07
    13.450     0.000    0.107E-05    0.181E-07
    13.500     0.000    0.109E-05    0.180E-07
    13.550     0.000    0.111E-05    0.179E-07
    13.600     0.000    0.113E-05    0.185E-07
    13.640     0.000    0.115E-05    0.184E-07
