# fe1_exp_055_133_photoneut_1974Le1.dat                  
#
# Z = 55, A =133
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Le1  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A219, 39(1974).                                                                         
#    E         dE       f1           df1
     9.450     0.000    0.286E-06    0.185E-07
     9.590     0.000    0.399E-06    0.184E-07
     9.720     0.000    0.400E-06    0.182E-07
     9.860     0.000    0.358E-06    0.180E-07
     9.990     0.000    0.429E-06    0.178E-07
    10.130     0.000    0.436E-06    0.176E-07
    10.270     0.000    0.448E-06    0.175E-07
    10.400     0.000    0.394E-06    0.173E-07
    10.540     0.000    0.409E-06    0.172E-07
    10.680     0.000    0.428E-06    0.171E-07
    10.810     0.000    0.490E-06    0.169E-07
    10.950     0.000    0.477E-06    0.168E-07
    11.080     0.000    0.463E-06    0.167E-07
    11.220     0.000    0.495E-06    0.165E-07
    11.360     0.000    0.502E-06    0.164E-07
    11.490     0.000    0.608E-06    0.162E-07
    11.630     0.000    0.615E-06    0.161E-07
    11.770     0.000    0.654E-06    0.160E-07
    11.900     0.000    0.665E-06    0.159E-07
    12.040     0.000    0.676E-06    0.158E-07
    12.170     0.000    0.812E-06    0.157E-07
    12.310     0.000    0.719E-06    0.156E-07
    12.450     0.000    0.815E-06    0.155E-07
    12.580     0.000    0.903E-06    0.154E-07
    12.720     0.000    0.880E-06    0.153E-07
    12.850     0.000    0.931E-06    0.152E-07
    12.990     0.000    0.106E-05    0.150E-07
    13.130     0.000    0.112E-05    0.149E-07
    13.260     0.000    0.120E-05    0.148E-07
    13.400     0.000    0.129E-05    0.148E-07
    13.540     0.000    0.134E-05    0.147E-07
    13.670     0.000    0.137E-05    0.146E-07
    13.810     0.000    0.151E-05    0.145E-07
    13.940     0.000    0.157E-05    0.144E-07
    14.080     0.000    0.158E-05    0.144E-07
    14.220     0.000    0.167E-05    0.143E-07
    14.350     0.000    0.180E-05    0.142E-07
    14.490     0.000    0.183E-05    0.141E-07
    14.630     0.000    0.173E-05    0.140E-07
    14.760     0.000    0.179E-05    0.139E-07
    14.900     0.000    0.182E-05    0.139E-07
    15.030     0.000    0.184E-05    0.138E-07
    15.170     0.000    0.179E-05    0.137E-07
    15.310     0.000    0.182E-05    0.137E-07
    15.440     0.000    0.177E-05    0.136E-07
    15.580     0.000    0.168E-05    0.135E-07
    15.710     0.000    0.168E-05    0.135E-07
    15.850     0.000    0.164E-05    0.134E-07
    15.990     0.000    0.161E-05    0.133E-07
    16.120     0.000    0.150E-05    0.132E-07
    16.260     0.000    0.141E-05    0.132E-07
    16.400     0.000    0.140E-05    0.131E-07
    16.530     0.000    0.136E-05    0.131E-07
    16.670     0.000    0.130E-05    0.130E-07
    16.800     0.000    0.124E-05    0.130E-07
    16.940     0.000    0.121E-05    0.129E-07
    17.080     0.000    0.123E-05    0.128E-07
    17.210     0.000    0.113E-05    0.128E-07
    17.350     0.000    0.112E-05    0.127E-07
    17.490     0.000    0.102E-05    0.126E-07
    17.620     0.000    0.940E-06    0.126E-07
    17.760     0.000    0.879E-06    0.126E-07
    17.890     0.000    0.902E-06    0.125E-07
    18.030     0.000    0.823E-06    0.125E-07
    18.170     0.000    0.802E-06    0.124E-07
    18.300     0.000    0.787E-06    0.124E-07
    18.440     0.000    0.743E-06    0.123E-07
    18.580     0.000    0.686E-06    0.123E-07
    18.710     0.000    0.700E-06    0.122E-07
    18.850     0.000    0.658E-06    0.122E-07
    18.980     0.000    0.580E-06    0.121E-07
    19.120     0.000    0.563E-06    0.121E-07
    19.260     0.000    0.522E-06    0.120E-07
    19.390     0.000    0.532E-06    0.120E-07
    19.530     0.000    0.493E-06    0.119E-07
    19.660     0.000    0.507E-06    0.119E-07
    19.800     0.000    0.464E-06    0.119E-07
    19.940     0.000    0.483E-06    0.118E-07
    20.070     0.000    0.467E-06    0.118E-07
    20.210     0.000    0.438E-06    0.118E-07
    20.350     0.000    0.426E-06    0.117E-07
    20.480     0.000    0.412E-06    0.116E-07
    20.620     0.000    0.351E-06    0.116E-07
    20.750     0.000    0.349E-06    0.116E-07
    20.890     0.000    0.378E-06    0.115E-07
    21.030     0.000    0.372E-06    0.115E-07
    21.160     0.000    0.334E-06    0.115E-07
    21.300     0.000    0.343E-06    0.114E-07
    21.440     0.000    0.337E-06    0.114E-07
    21.570     0.000    0.296E-06    0.114E-07
    21.710     0.000    0.220E-06    0.113E-07
    21.840     0.000    0.306E-06    0.113E-07
    21.980     0.000    0.295E-06    0.112E-07
    22.120     0.000    0.321E-06    0.112E-07
    22.250     0.000    0.285E-06    0.112E-07
    22.390     0.000    0.289E-06    0.112E-07
    22.520     0.000    0.285E-06    0.111E-07
    22.660     0.000    0.322E-06    0.111E-07
    22.800     0.000    0.289E-06    0.111E-07
    22.930     0.000    0.274E-06    0.110E-07
    23.070     0.000    0.242E-06    0.110E-07
    23.210     0.000    0.278E-06    0.110E-07
    23.340     0.000    0.254E-06    0.110E-07
    23.480     0.000    0.276E-06    0.109E-07
    23.610     0.000    0.259E-06    0.109E-07
    23.750     0.000    0.272E-06    0.108E-07
    23.890     0.000    0.193E-06    0.108E-07
    24.020     0.000    0.235E-06    0.108E-07
    24.160     0.000    0.213E-06    0.108E-07
