# fe1_exp_056_138_photoneut_1970Be8.dat                  
#
# Z = 56, A =138
# No. of entries:   52
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1970Be8  B.L.Berman, S.C.Fultz, J.T.Caldwell, M.A.Kelly, S.S.Dietrich; Phys. Rev., C2, 2318(1970).                                                   
#    E         dE       f1           df1
     8.788     0.000    0.184E-06    0.251E-07
     9.097     0.000    0.208E-06    0.206E-07
     9.407     0.000    0.328E-06    0.308E-07
     9.717     0.000    0.273E-06    0.214E-07
    10.026     0.000    0.321E-06    0.219E-07
    10.336     0.000    0.349E-06    0.224E-07
    10.646     0.000    0.430E-06    0.243E-07
    10.955     0.000    0.430E-06    0.143E-07
    11.265     0.000    0.490E-06    0.249E-07
    11.575     0.000    0.586E-06    0.298E-07
    11.885     0.000    0.612E-06    0.241E-07
    12.194     0.000    0.718E-06    0.233E-07
    12.504     0.000    0.846E-06    0.250E-07
    12.814     0.000    0.100E-05    0.276E-07
    13.123     0.000    0.113E-05    0.287E-07
    13.433     0.000    0.125E-05    0.311E-07
    13.743     0.000    0.135E-05    0.322E-07
    14.052     0.000    0.152E-05    0.279E-07
    14.362     0.000    0.162E-05    0.281E-07
    14.672     0.000    0.181E-05    0.310E-07
    14.982     0.000    0.185E-05    0.314E-07
    15.291     0.000    0.191E-05    0.315E-07
    15.601     0.000    0.180E-05    0.291E-07
    15.911     0.000    0.173E-05    0.240E-07
    16.220     0.000    0.147E-05    0.299E-07
    16.530     0.000    0.136E-05    0.277E-07
    16.840     0.000    0.118E-05    0.253E-07
    17.149     0.000    0.976E-06    0.235E-07
    17.459     0.000    0.889E-06    0.268E-07
    17.769     0.000    0.752E-06    0.216E-07
    18.079     0.000    0.715E-06    0.217E-07
    18.388     0.000    0.618E-06    0.198E-07
    18.698     0.000    0.533E-06    0.196E-07
    19.008     0.000    0.479E-06    0.199E-07
    19.317     0.000    0.422E-06    0.235E-07
    19.627     0.000    0.356E-06    0.236E-07
    19.937     0.000    0.358E-06    0.237E-07
    20.246     0.000    0.340E-06    0.227E-07
    20.556     0.000    0.384E-06    0.249E-07
    20.866     0.000    0.264E-06    0.247E-07
    21.176     0.000    0.290E-06    0.251E-07
    21.485     0.000    0.317E-06    0.256E-07
    21.795     0.000    0.337E-06    0.261E-07
    22.105     0.000    0.189E-06    0.260E-07
    22.414     0.000    0.182E-06    0.175E-07
    22.724     0.000    0.166E-06    0.232E-07
    23.034     0.000    0.189E-06    0.235E-07
    23.343     0.000    0.192E-06    0.237E-07
    23.653     0.000    0.166E-06    0.231E-07
    23.963     0.000    0.110E-06    0.234E-07
    24.273     0.000    0.804E-07    0.249E-07
    24.582     0.000    0.723E-07    0.233E-07
