# fe1_exp_056_138_photoneut_2016Va2.dat                  
#
# Z = 56, A =138
# No. of entries:   52
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2016Va2  V.V.Varlamov, al.,; Yad.Fiz. 79(4), 315(2016); (Journ. Phys. Atom. Nuclei 79(4), 501(2016)).                                                
#    E         dE       f1           df1
     8.790     0.000    0.141E-06    0.389E-07
     9.100     0.000    0.205E-06    0.437E-07
     9.410     0.000    0.328E-06    0.679E-07
     9.720     0.000    0.273E-06    0.523E-07
    10.030     0.000    0.321E-06    0.582E-07
    10.340     0.000    0.349E-06    0.619E-07
    10.650     0.000    0.430E-06    0.730E-07
    10.960     0.000    0.430E-06    0.628E-07
    11.270     0.000    0.490E-06    0.800E-07
    11.570     0.000    0.586E-06    0.960E-07
    11.890     0.000    0.612E-06    0.934E-07
    12.190     0.000    0.719E-06    0.105E-06
    12.500     0.000    0.847E-06    0.121E-06
    12.810     0.000    0.100E-05    0.141E-06
    13.120     0.000    0.113E-05    0.156E-06
    13.430     0.000    0.125E-05    0.173E-06
    13.740     0.000    0.135E-05    0.185E-06
    14.050     0.000    0.152E-05    0.199E-06
    14.360     0.000    0.162E-05    0.211E-06
    14.670     0.000    0.182E-05    0.237E-06
    14.980     0.000    0.185E-05    0.241E-06
    15.290     0.000    0.191E-05    0.248E-06
    15.600     0.000    0.175E-05    0.230E-06
    15.910     0.000    0.165E-05    0.218E-06
    16.220     0.000    0.140E-05    0.198E-06
    16.530     0.000    0.123E-05    0.182E-06
    16.840     0.000    0.107E-05    0.162E-06
    17.150     0.000    0.890E-06    0.141E-06
    17.460     0.000    0.800E-06    0.134E-06
    17.770     0.000    0.688E-06    0.115E-06
    18.080     0.000    0.648E-06    0.111E-06
    18.390     0.000    0.575E-06    0.100E-06
    18.700     0.000    0.519E-06    0.918E-07
    19.010     0.000    0.441E-06    0.803E-07
    19.320     0.000    0.411E-06    0.786E-07
    19.630     0.000    0.361E-06    0.711E-07
    19.940     0.000    0.331E-06    0.666E-07
    20.250     0.000    0.321E-06    0.642E-07
    20.560     0.000    0.336E-06    0.679E-07
    20.870     0.000    0.263E-06    0.565E-07
    21.180     0.000    0.276E-06    0.590E-07
    21.480     0.000    0.299E-06    0.630E-07
    21.800     0.000    0.273E-06    0.589E-07
    22.110     0.000    0.178E-06    0.443E-07
    22.410     0.000    0.182E-06    0.395E-07
    22.720     0.000    0.174E-06    0.420E-07
    23.030     0.000    0.188E-06    0.444E-07
    23.340     0.000    0.183E-06    0.439E-07
    23.650     0.000    0.143E-06    0.374E-07
    23.960     0.000    0.123E-06    0.343E-07
    24.270     0.000    0.107E-06    0.329E-07
    24.580     0.000    0.794E-07    0.275E-07
