# fe1_exp_056_nat_photoneut_1971Be4.dat                  
#
# Z = 56, A =  0
# No. of entries:   87
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Be4  H.Beil, R.Bergere, P.Carlos, A.Lepretre, A.Veyssiere, A. Parlag; Nucl. Phys. A172, 426(1971).                                               
#    E         dE       f1           df1
     8.905     0.000    0.175E-06    0.292E-07
     9.042     0.000    0.278E-06    0.289E-07
     9.178     0.000    0.293E-06    0.285E-07
     9.314     0.000    0.326E-06    0.282E-07
     9.450     0.000    0.340E-06    0.279E-07
     9.586     0.000    0.362E-06    0.275E-07
     9.723     0.000    0.339E-06    0.272E-07
     9.859     0.000    0.396E-06    0.269E-07
     9.995     0.000    0.338E-06    0.266E-07
    10.131     0.000    0.360E-06    0.264E-07
    10.267     0.000    0.397E-06    0.261E-07
    10.404     0.000    0.375E-06    0.258E-07
    10.540     0.000    0.469E-06    0.256E-07
    10.676     0.000    0.414E-06    0.253E-07
    10.812     0.000    0.497E-06    0.250E-07
    10.948     0.000    0.523E-06    0.248E-07
    11.085     0.000    0.548E-06    0.246E-07
    11.221     0.000    0.557E-06    0.243E-07
    11.357     0.000    0.550E-06    0.241E-07
    11.493     0.000    0.672E-06    0.239E-07
    11.629     0.000    0.709E-06    0.237E-07
    11.766     0.000    0.745E-06    0.235E-07
    11.902     0.000    0.823E-06    0.233E-07
    12.038     0.000    0.836E-06    0.231E-07
    12.174     0.000    0.883E-06    0.229E-07
    12.310     0.000    0.853E-06    0.227E-07
    12.447     0.000    0.955E-06    0.225E-07
    12.583     0.000    0.958E-06    0.223E-07
    12.719     0.000    0.108E-05    0.222E-07
    12.855     0.000    0.114E-05    0.220E-07
    12.991     0.000    0.117E-05    0.218E-07
    13.128     0.000    0.124E-05    0.216E-07
    13.264     0.000    0.128E-05    0.214E-07
    13.400     0.000    0.139E-05    0.213E-07
    13.536     0.000    0.146E-05    0.211E-07
    13.672     0.000    0.154E-05    0.210E-07
    13.809     0.000    0.156E-05    0.209E-07
    13.945     0.000    0.162E-05    0.207E-07
    14.081     0.000    0.172E-05    0.206E-07
    14.217     0.000    0.170E-05    0.204E-07
    14.353     0.000    0.183E-05    0.202E-07
    14.490     0.000    0.186E-05    0.201E-07
    14.626     0.000    0.194E-05    0.200E-07
    14.762     0.000    0.193E-05    0.199E-07
    14.898     0.000    0.204E-05    0.197E-07
    15.034     0.000    0.205E-05    0.196E-07
    15.171     0.000    0.205E-05    0.195E-07
    15.307     0.000    0.206E-05    0.194E-07
    15.443     0.000    0.203E-05    0.193E-07
    15.579     0.000    0.193E-05    0.191E-07
    15.715     0.000    0.193E-05    0.190E-07
    15.852     0.000    0.189E-05    0.189E-07
    15.988     0.000    0.184E-05    0.188E-07
    16.124     0.000    0.173E-05    0.187E-07
    16.260     0.000    0.163E-05    0.186E-07
    16.396     0.000    0.154E-05    0.185E-07
    16.533     0.000    0.154E-05    0.184E-07
    16.669     0.000    0.143E-05    0.182E-07
    16.805     0.000    0.133E-05    0.181E-07
    16.941     0.000    0.132E-05    0.180E-07
    17.214     0.000    0.116E-05    0.178E-07
    17.486     0.000    0.102E-05    0.177E-07
    17.758     0.000    0.899E-06    0.175E-07
    18.031     0.000    0.818E-06    0.173E-07
    18.303     0.000    0.716E-06    0.171E-07
    18.576     0.000    0.654E-06    0.169E-07
    18.848     0.000    0.580E-06    0.168E-07
    19.120     0.000    0.558E-06    0.166E-07
    19.393     0.000    0.505E-06    0.165E-07
    19.665     0.000    0.441E-06    0.163E-07
    19.938     0.000    0.405E-06    0.162E-07
    20.210     0.000    0.322E-06    0.160E-07
    20.482     0.000    0.330E-06    0.159E-07
    20.755     0.000    0.263E-06    0.158E-07
    21.027     0.000    0.309E-06    0.156E-07
    21.300     0.000    0.273E-06    0.155E-07
    21.572     0.000    0.298E-06    0.154E-07
    21.844     0.000    0.262E-06    0.152E-07
    22.117     0.000    0.263E-06    0.151E-07
    22.389     0.000    0.256E-06    0.150E-07
    22.662     0.000    0.249E-06    0.149E-07
    22.934     0.000    0.234E-06    0.148E-07
    23.206     0.000    0.202E-06    0.147E-07
    23.479     0.000    0.196E-06    0.146E-07
    23.751     0.000    0.183E-06    0.145E-07
    24.024     0.000    0.166E-06    0.144E-07
    24.296     0.000    0.171E-06    0.143E-07
