# fe1_exp_057_139_photoneut_1972De1.dat                  
#
# Z = 57, A =139
# No. of entries:  161
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972De1  T.K.Deague, R.J.J.Stewart; Nucl.Phys. A191, 305(1972).                                                                                      
#    E         dE       f1           df1
     9.058     0.000    0.260E-06    0.131E-07
     9.145     0.000    0.334E-06    0.130E-07
     9.229     0.000    0.331E-06    0.180E-07
     9.313     0.000    0.343E-06    0.204E-07
     9.355     0.000    0.326E-06    0.152E-07
     9.525     0.000    0.379E-06    0.250E-07
     9.565     0.000    0.318E-06    0.124E-07
     9.651     0.000    0.373E-06    0.271E-07
     9.735     0.000    0.384E-06    0.366E-07
     9.861     0.000    0.379E-06    0.230E-07
     9.946     0.000    0.403E-06    0.239E-07
    10.030     0.000    0.442E-06    0.355E-07
    10.120     0.000    0.465E-06    0.281E-07
    10.200     0.000    0.448E-06    0.349E-07
    10.280     0.000    0.458E-06    0.254E-07
    10.410     0.000    0.451E-06    0.297E-07
    10.540     0.000    0.526E-06    0.360E-07
    10.620     0.000    0.508E-06    0.338E-07
    10.700     0.000    0.438E-06    0.345E-07
    10.750     0.000    0.475E-06    0.398E-07
    10.920     0.000    0.493E-06    0.217E-07
    11.000     0.000    0.515E-06    0.326E-07
    11.050     0.000    0.551E-06    0.395E-07
    11.170     0.000    0.532E-06    0.340E-07
    11.340     0.000    0.635E-06    0.252E-07
    11.430     0.000    0.654E-06    0.374E-07
    11.510     0.000    0.564E-06    0.413E-07
    11.600     0.000    0.741E-06    0.430E-07
    11.770     0.000    0.694E-06    0.363E-07
    11.810     0.000    0.776E-06    0.384E-07
    11.940     0.000    0.790E-06    0.398E-07
    12.020     0.000    0.796E-06    0.395E-07
    12.070     0.000    0.875E-06    0.591E-07
    12.200     0.000    0.969E-06    0.487E-07
    12.320     0.000    0.891E-06    0.617E-07
    12.450     0.000    0.926E-06    0.481E-07
    12.540     0.000    0.101E-05    0.758E-07
    12.580     0.000    0.101E-05    0.756E-07
    12.620     0.000    0.957E-06    0.565E-07
    12.710     0.000    0.106E-05    0.654E-07
    12.840     0.000    0.118E-05    0.647E-07
    13.010     0.000    0.119E-05    0.811E-07
    13.060     0.000    0.128E-05    0.819E-07
    13.190     0.000    0.138E-05    0.757E-07
    13.270     0.000    0.143E-05    0.724E-07
    13.360     0.000    0.137E-05    0.747E-07
    13.440     0.000    0.139E-05    0.973E-07
    13.620     0.000    0.162E-05    0.785E-07
    13.780     0.000    0.145E-05    0.862E-07
    13.880     0.000    0.162E-05    0.103E-06
    14.010     0.000    0.169E-05    0.110E-06
    14.090     0.000    0.178E-05    0.118E-06
    14.210     0.000    0.156E-05    0.928E-07
    14.330     0.000    0.220E-05    0.108E-06
    14.490     0.000    0.201E-05    0.148E-06
    14.530     0.000    0.201E-05    0.115E-06
    14.580     0.000    0.215E-05    0.114E-06
    14.660     0.000    0.213E-05    0.114E-06
    14.800     0.000    0.236E-05    0.128E-06
    14.860     0.000    0.191E-05    0.120E-06
    14.920     0.000    0.224E-05    0.104E-06
    15.050     0.000    0.228E-05    0.142E-06
    15.160     0.000    0.203E-05    0.127E-06
    15.220     0.000    0.228E-05    0.133E-06
    15.370     0.000    0.238E-05    0.108E-06
    15.480     0.000    0.187E-05    0.146E-06
    15.550     0.000    0.210E-05    0.139E-06
    15.660     0.000    0.185E-05    0.137E-06
    15.670     0.000    0.203E-05    0.121E-06
    15.830     0.000    0.185E-05    0.150E-06
    15.870     0.000    0.173E-05    0.135E-06
    16.010     0.000    0.200E-05    0.119E-06
    16.130     0.000    0.190E-05    0.118E-06
    16.210     0.000    0.181E-05    0.126E-06
    16.290     0.000    0.167E-05    0.131E-06
    16.360     0.000    0.145E-05    0.116E-06
    16.440     0.000    0.147E-05    0.948E-07
    16.530     0.000    0.157E-05    0.935E-07
    16.630     0.000    0.173E-05    0.100E-06
    16.800     0.000    0.116E-05    0.707E-07
    16.880     0.000    0.107E-05    0.732E-07
    16.890     0.000    0.116E-05    0.106E-06
    17.020     0.000    0.129E-05    0.838E-07
    17.180     0.000    0.117E-05    0.816E-07
    17.260     0.000    0.110E-05    0.826E-07
    17.350     0.000    0.112E-05    0.959E-07
    17.460     0.000    0.931E-06    0.817E-07
    17.520     0.000    0.106E-05    0.822E-07
    17.680     0.000    0.104E-05    0.814E-07
    17.730     0.000    0.112E-05    0.744E-07
    17.800     0.000    0.953E-06    0.767E-07
    17.920     0.000    0.859E-06    0.863E-07
    18.050     0.000    0.868E-06    0.856E-07
    18.090     0.000    0.874E-06    0.801E-07
    18.170     0.000    0.770E-06    0.713E-07
    18.250     0.000    0.673E-06    0.593E-07
    18.420     0.000    0.736E-06    0.587E-07
    18.550     0.000    0.768E-06    0.512E-07
    18.630     0.000    0.749E-06    0.548E-07
    18.710     0.000    0.656E-06    0.635E-07
    18.930     0.000    0.752E-06    0.628E-07
    19.050     0.000    0.754E-06    0.536E-07
    19.130     0.000    0.699E-06    0.621E-07
    19.210     0.000    0.586E-06    0.562E-07
    19.250     0.000    0.585E-06    0.741E-07
    19.340     0.000    0.582E-06    0.614E-07
    19.420     0.000    0.623E-06    0.551E-07
    19.590     0.000    0.596E-06    0.606E-07
    19.680     0.000    0.650E-06    0.604E-07
    19.750     0.000    0.540E-06    0.542E-07
    19.840     0.000    0.665E-06    0.531E-07
    19.930     0.000    0.564E-06    0.662E-07
    20.050     0.000    0.517E-06    0.592E-07
    20.090     0.000    0.495E-06    0.532E-07
    20.170     0.000    0.507E-06    0.448E-07
    20.260     0.000    0.484E-06    0.651E-07
    20.380     0.000    0.495E-06    0.518E-07
    20.430     0.000    0.528E-06    0.505E-07
    20.600     0.000    0.544E-06    0.461E-07
    20.650     0.000    0.651E-06    0.581E-07
    20.840     0.000    0.435E-06    0.570E-07
    20.970     0.000    0.419E-06    0.510E-07
    20.970     0.000    0.473E-06    0.589E-07
    21.050     0.000    0.478E-06    0.508E-07
    21.180     0.000    0.468E-06    0.498E-07
    21.260     0.000    0.419E-06    0.504E-07
    21.390     0.000    0.410E-06    0.500E-07
    21.470     0.000    0.448E-06    0.387E-07
    21.640     0.000    0.451E-06    0.384E-07
    21.760     0.000    0.383E-06    0.381E-07
    21.850     0.000    0.420E-06    0.489E-07
    21.890     0.000    0.361E-06    0.467E-07
    21.930     0.000    0.405E-06    0.390E-07
    22.090     0.000    0.236E-06    0.376E-07
    22.170     0.000    0.267E-06    0.343E-07
    22.170     0.000    0.273E-06    0.354E-07
    22.300     0.000    0.240E-06    0.320E-07
    22.340     0.000    0.271E-06    0.311E-07
    22.430     0.000    0.377E-06    0.302E-07
    22.560     0.000    0.380E-06    0.211E-07
    22.770     0.000    0.383E-06    0.313E-07
    22.900     0.000    0.356E-06    0.356E-07
    22.940     0.000    0.392E-06    0.345E-07
    23.020     0.000    0.317E-06    0.413E-07
    23.060     0.000    0.365E-06    0.381E-07
    23.230     0.000    0.362E-06    0.409E-07
    23.320     0.000    0.385E-06    0.326E-07
    23.440     0.000    0.365E-06    0.406E-07
    23.520     0.000    0.297E-06    0.357E-07
    23.530     0.000    0.357E-06    0.505E-07
    23.740     0.000    0.360E-06    0.333E-07
    23.770     0.000    0.276E-06    0.730E-07
    23.800     0.000    0.260E-06    0.349E-07
    23.848     0.000    0.289E-06    0.249E-07
    23.919     0.000    0.288E-06    0.258E-07
    24.050     0.000    0.385E-06    0.306E-07
    24.195     0.000    0.344E-06    0.298E-07
    24.319     0.000    0.244E-06    0.362E-07
    24.391     0.000    0.270E-06    0.324E-07
    24.426     0.000    0.271E-06    0.301E-07
    24.462     0.000    0.253E-06    0.291E-07
