# fe1_exp_058_140_photoneut_1976Le2_L0042016.dat         
#
# Z = 58, A =140
# No. of entries:   54
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Le2  A.Lepretre, H.Beil, R.Bergere, et al.,; Nucl. Phys. A258, 350(1976).                                                                        
#    E         dE       f1           df1
     9.380     0.000    0.431E-06    0.399E-07
     9.650     0.000    0.480E-06    0.390E-07
     9.920     0.000    0.451E-06    0.382E-07
    10.200     0.000    0.472E-06    0.375E-07
    10.470     0.000    0.568E-06    0.368E-07
    10.740     0.000    0.486E-06    0.361E-07
    11.010     0.000    0.581E-06    0.355E-07
    11.280     0.000    0.659E-06    0.349E-07
    11.550     0.000    0.819E-06    0.343E-07
    11.820     0.000    0.837E-06    0.338E-07
    12.090     0.000    0.961E-06    0.332E-07
    12.360     0.000    0.982E-06    0.328E-07
    12.630     0.000    0.107E-05    0.323E-07
    12.910     0.000    0.127E-05    0.318E-07
    13.180     0.000    0.138E-05    0.314E-07
    13.450     0.000    0.157E-05    0.310E-07
    13.720     0.000    0.171E-05    0.305E-07
    13.990     0.000    0.187E-05    0.302E-07
    14.260     0.000    0.206E-05    0.297E-07
    14.530     0.000    0.208E-05    0.294E-07
    14.800     0.000    0.226E-05    0.291E-07
    15.070     0.000    0.225E-05    0.287E-07
    15.340     0.000    0.217E-05    0.284E-07
    15.620     0.000    0.199E-05    0.281E-07
    15.890     0.000    0.185E-05    0.278E-07
    16.160     0.000    0.163E-05    0.301E-07
    16.430     0.000    0.151E-05    0.298E-07
    16.700     0.000    0.133E-05    0.295E-07
    16.970     0.000    0.112E-05    0.292E-07
    17.240     0.000    0.981E-06    0.290E-07
    17.510     0.000    0.887E-06    0.288E-07
    17.780     0.000    0.781E-06    0.285E-07
    18.050     0.000    0.692E-06    0.284E-07
    18.330     0.000    0.606E-06    0.282E-07
    18.600     0.000    0.602E-06    0.279E-07
    18.870     0.000    0.584E-06    0.277E-07
    19.140     0.000    0.489E-06    0.275E-07
    19.410     0.000    0.469E-06    0.273E-07
    19.680     0.000    0.432E-06    0.271E-07
    19.950     0.000    0.367E-06    0.270E-07
    20.220     0.000    0.408E-06    0.268E-07
    20.490     0.000    0.369E-06    0.266E-07
    20.760     0.000    0.352E-06    0.264E-07
    21.040     0.000    0.305E-06    0.263E-07
    21.850     0.000    0.265E-06    0.258E-07
    22.120     0.000    0.256E-06    0.257E-07
    22.390     0.000    0.241E-06    0.256E-07
    22.660     0.000    0.246E-06    0.254E-07
    23.200     0.000    0.192E-06    0.252E-07
    24.020     0.000    0.181E-06    0.248E-07
    24.290     0.000    0.197E-06    0.247E-07
    24.560     0.000    0.142E-06    0.246E-07
    24.830     0.000    0.216E-06    0.245E-07
    25.370     0.000    0.150E-06    0.242E-07
