# fe1_exp_059_141_photoneut_1964Ric.dat                  
#
# Z = 59, A =141
# No. of entries:   29
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Ric  L.B.Rice, L.N.Bolen, W.D.Whitehead; Phys. Rev. 134, B557(1964).                                                                             
#    E         dE       f1           df1
    10.500     0.000    0.324E-06    0.000E+00
    11.000     0.000    0.387E-06    0.000E+00
    11.500     0.000    0.488E-06    0.000E+00
    12.000     0.000    0.701E-06    0.000E+00
    12.500     0.000    0.916E-06    0.000E+00
    13.000     0.000    0.109E-05    0.000E+00
    13.500     0.000    0.125E-05    0.000E+00
    14.000     0.000    0.146E-05    0.000E+00
    14.500     0.000    0.173E-05    0.000E+00
    15.000     0.000    0.175E-05    0.000E+00
    15.500     0.000    0.141E-05    0.000E+00
    16.000     0.000    0.108E-05    0.000E+00
    16.500     0.000    0.867E-06    0.000E+00
    17.000     0.000    0.658E-06    0.000E+00
    17.500     0.000    0.530E-06    0.000E+00
    18.000     0.000    0.399E-06    0.000E+00
    18.500     0.000    0.321E-06    0.000E+00
    19.000     0.000    0.260E-06    0.000E+00
    19.500     0.000    0.201E-06    0.000E+00
    20.000     0.000    0.168E-06    0.000E+00
    20.500     0.000    0.134E-06    0.000E+00
    21.000     0.000    0.112E-06    0.000E+00
    21.500     0.000    0.940E-07    0.000E+00
    22.000     0.000    0.816E-07    0.000E+00
    22.500     0.000    0.748E-07    0.000E+00
    23.000     0.000    0.694E-07    0.000E+00
    23.500     0.000    0.668E-07    0.000E+00
    24.000     0.000    0.658E-07    0.000E+00
    24.500     0.000    0.666E-07    0.000E+00
