# fe1_exp_059_141_photoneut_1971Be4.dat                  
#
# Z = 59, A =141
# No. of entries:   51
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Be4  H.Beil, R.Bergere, P.Carlos, A.Lepretre, A.Veyssiere, A. Parlag; Nucl. Phys. A172, 426(1971).                                               
#    E         dE       f1           df1
    10.131     0.000    0.428E-06    0.182E-07
    10.267     0.000    0.422E-06    0.181E-07
    10.404     0.000    0.455E-06    0.180E-07
    10.540     0.000    0.459E-06    0.179E-07
    10.676     0.000    0.500E-06    0.178E-07
    10.812     0.000    0.522E-06    0.177E-07
    10.948     0.000    0.534E-06    0.177E-07
    11.085     0.000    0.564E-06    0.176E-07
    11.221     0.000    0.638E-06    0.175E-07
    11.357     0.000    0.639E-06    0.174E-07
    11.493     0.000    0.667E-06    0.174E-07
    11.629     0.000    0.720E-06    0.173E-07
    11.766     0.000    0.720E-06    0.172E-07
    11.902     0.000    0.729E-06    0.171E-07
    12.038     0.000    0.857E-06    0.171E-07
    12.174     0.000    0.883E-06    0.170E-07
    12.310     0.000    0.888E-06    0.169E-07
    12.447     0.000    0.102E-05    0.169E-07
    12.583     0.000    0.107E-05    0.168E-07
    12.719     0.000    0.107E-05    0.168E-07
    12.855     0.000    0.112E-05    0.167E-07
    12.991     0.000    0.115E-05    0.166E-07
    13.128     0.000    0.126E-05    0.166E-07
    13.264     0.000    0.135E-05    0.165E-07
    13.400     0.000    0.134E-05    0.164E-07
    13.536     0.000    0.144E-05    0.164E-07
    13.672     0.000    0.150E-05    0.164E-07
    13.809     0.000    0.161E-05    0.163E-07
    13.945     0.000    0.170E-05    0.162E-07
    14.081     0.000    0.170E-05    0.162E-07
    14.217     0.000    0.184E-05    0.162E-07
    14.353     0.000    0.183E-05    0.161E-07
    14.490     0.000    0.189E-05    0.160E-07
    14.626     0.000    0.202E-05    0.160E-07
    14.762     0.000    0.200E-05    0.160E-07
    14.898     0.000    0.203E-05    0.160E-07
    15.034     0.000    0.207E-05    0.159E-07
    15.171     0.000    0.204E-05    0.158E-07
    15.307     0.000    0.198E-05    0.158E-07
    15.443     0.000    0.188E-05    0.158E-07
    15.579     0.000    0.184E-05    0.157E-07
    15.715     0.000    0.174E-05    0.157E-07
    15.852     0.000    0.177E-05    0.156E-07
    15.988     0.000    0.168E-05    0.156E-07
    16.124     0.000    0.154E-05    0.156E-07
    16.260     0.000    0.149E-05    0.155E-07
    16.396     0.000    0.127E-05    0.155E-07
    16.533     0.000    0.127E-05    0.155E-07
    16.669     0.000    0.123E-05    0.155E-07
    16.805     0.000    0.106E-05    0.154E-07
    16.941     0.000    0.963E-06    0.154E-07
