# fe1_exp_059_141_photoneut_1972You.dat                  
#
# Z = 59, A =141
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972You  L.M.Young, Ph.D. Thesis, University of Illinois(1972), unpublished.                                                                         
#    E         dE       f1           df1
    10.993     0.000    0.279E-06    0.230E-07
    11.078     0.000    0.294E-06    0.239E-07
    11.158     0.000    0.301E-06    0.287E-07
    11.260     0.000    0.316E-06    0.272E-07
    11.388     0.000    0.312E-06    0.254E-07
    11.504     0.000    0.314E-06    0.255E-07
    11.621     0.000    0.385E-06    0.284E-07
    11.735     0.000    0.381E-06    0.268E-07
    11.873     0.000    0.368E-06    0.288E-07
    11.978     0.000    0.458E-06    0.295E-07
    12.070     0.000    0.328E-06    0.252E-07
    12.176     0.000    0.499E-06    0.221E-07
    12.257     0.000    0.541E-06    0.302E-07
    12.346     0.000    0.628E-06    0.257E-07
    12.464     0.000    0.658E-06    0.249E-07
    12.588     0.000    0.670E-06    0.256E-07
    12.719     0.000    0.771E-06    0.265E-07
    12.859     0.000    0.635E-06    0.250E-07
    12.996     0.000    0.848E-06    0.294E-07
    13.110     0.000    0.887E-06    0.275E-07
    13.238     0.000    0.102E-05    0.335E-07
    13.367     0.000    0.105E-05    0.344E-07
    13.451     0.000    0.106E-05    0.239E-07
    13.464     0.000    0.111E-05    0.328E-07
    13.549     0.000    0.119E-05    0.331E-07
    13.640     0.000    0.129E-05    0.345E-07
    13.800     0.000    0.131E-05    0.343E-07
    13.910     0.000    0.140E-05    0.322E-07
    14.051     0.000    0.149E-05    0.336E-07
    14.187     0.000    0.158E-05    0.324E-07
    14.343     0.000    0.166E-05    0.362E-07
    14.504     0.000    0.179E-05    0.380E-07
    14.608     0.000    0.172E-05    0.400E-07
    14.749     0.000    0.178E-05    0.400E-07
    14.843     0.000    0.182E-05    0.458E-07
    14.861     0.000    0.173E-05    0.315E-07
    14.970     0.000    0.166E-05    0.515E-07
    15.070     0.000    0.185E-05    0.530E-07
    15.207     0.000    0.189E-05    0.498E-07
    15.358     0.000    0.199E-05    0.500E-07
    15.500     0.000    0.173E-05    0.482E-07
    15.656     0.000    0.154E-05    0.465E-07
    15.845     0.000    0.175E-05    0.500E-07
    15.997     0.000    0.158E-05    0.498E-07
    16.134     0.000    0.161E-05    0.376E-08
    16.257     0.000    0.142E-05    0.854E-09
    16.370     0.000    0.155E-05    0.517E-07
    16.397     0.000    0.134E-05    0.419E-07
    16.505     0.000    0.131E-05    0.483E-07
    16.644     0.000    0.138E-05    0.504E-07
    16.785     0.000    0.117E-05    0.466E-07
    16.953     0.000    0.123E-05    0.475E-07
    17.123     0.000    0.105E-05    0.456E-07
    17.285     0.000    0.923E-06    0.412E-07
