# fe1_exp_060_142_photoabs_2003Var.dat                   
#
# Z = 60, A =142
# No. of entries:   82
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Var  V.V.Varlamov, M.E.Stepanov, V.V.Chesnokov; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 656(2003); (Bull.Rus.Acad.Sci.Phys. 67, 724 (2003)).          
#    E         dE       f1           df1
    12.000     0.000    0.875E-06    0.000E+00
    12.100     0.000    0.910E-06    0.000E+00
    12.200     0.000    0.938E-06    0.000E+00
    12.300     0.000    0.973E-06    0.000E+00
    12.400     0.000    0.101E-05    0.000E+00
    12.500     0.000    0.105E-05    0.000E+00
    12.600     0.000    0.109E-05    0.000E+00
    12.700     0.000    0.114E-05    0.000E+00
    12.800     0.000    0.119E-05    0.000E+00
    12.900     0.000    0.124E-05    0.000E+00
    13.000     0.000    0.130E-05    0.000E+00
    13.100     0.000    0.136E-05    0.000E+00
    13.200     0.000    0.142E-05    0.000E+00
    13.300     0.000    0.147E-05    0.000E+00
    13.400     0.000    0.153E-05    0.000E+00
    13.500     0.000    0.158E-05    0.000E+00
    13.600     0.000    0.163E-05    0.000E+00
    13.700     0.000    0.169E-05    0.000E+00
    13.800     0.000    0.175E-05    0.000E+00
    13.900     0.000    0.181E-05    0.000E+00
    14.000     0.000    0.187E-05    0.000E+00
    14.100     0.000    0.193E-05    0.000E+00
    14.200     0.000    0.198E-05    0.000E+00
    14.300     0.000    0.202E-05    0.000E+00
    14.400     0.000    0.206E-05    0.000E+00
    14.500     0.000    0.208E-05    0.000E+00
    14.600     0.000    0.210E-05    0.000E+00
    14.700     0.000    0.211E-05    0.000E+00
    14.800     0.000    0.211E-05    0.000E+00
    14.900     0.000    0.210E-05    0.000E+00
    15.000     0.000    0.209E-05    0.000E+00
    15.100     0.000    0.206E-05    0.000E+00
    15.200     0.000    0.203E-05    0.000E+00
    15.300     0.000    0.199E-05    0.000E+00
    15.400     0.000    0.195E-05    0.000E+00
    15.500     0.000    0.190E-05    0.000E+00
    15.600     0.000    0.185E-05    0.000E+00
    15.700     0.000    0.179E-05    0.000E+00
    15.800     0.000    0.173E-05    0.000E+00
    15.900     0.000    0.167E-05    0.000E+00
    16.000     0.000    0.162E-05    0.000E+00
    16.100     0.000    0.156E-05    0.000E+00
    16.200     0.000    0.150E-05    0.000E+00
    16.300     0.000    0.145E-05    0.000E+00
    16.400     0.000    0.140E-05    0.000E+00
    16.500     0.000    0.136E-05    0.000E+00
    16.600     0.000    0.131E-05    0.000E+00
    16.700     0.000    0.126E-05    0.000E+00
    16.800     0.000    0.120E-05    0.000E+00
    16.900     0.000    0.113E-05    0.000E+00
    17.000     0.000    0.107E-05    0.000E+00
    17.100     0.000    0.100E-05    0.000E+00
    17.200     0.000    0.953E-06    0.000E+00
    17.300     0.000    0.912E-06    0.000E+00
    17.400     0.000    0.872E-06    0.000E+00
    17.500     0.000    0.843E-06    0.000E+00
    17.600     0.000    0.808E-06    0.000E+00
    17.700     0.000    0.774E-06    0.000E+00
    17.800     0.000    0.746E-06    0.000E+00
    17.900     0.000    0.712E-06    0.000E+00
    18.000     0.000    0.684E-06    0.000E+00
    18.100     0.000    0.661E-06    0.000E+00
    18.200     0.000    0.634E-06    0.000E+00
    18.300     0.000    0.611E-06    0.000E+00
    18.400     0.000    0.585E-06    0.000E+00
    18.500     0.000    0.563E-06    0.000E+00
    18.600     0.000    0.541E-06    0.000E+00
    18.700     0.000    0.524E-06    0.000E+00
    18.800     0.000    0.512E-06    0.000E+00
    18.900     0.000    0.505E-06    0.000E+00
    19.000     0.000    0.498E-06    0.000E+00
    19.100     0.000    0.490E-06    0.000E+00
    19.200     0.000    0.488E-06    0.000E+00
    19.300     0.000    0.490E-06    0.000E+00
    19.400     0.000    0.487E-06    0.000E+00
    19.500     0.000    0.480E-06    0.000E+00
    19.600     0.000    0.478E-06    0.000E+00
    19.700     0.000    0.471E-06    0.000E+00
    19.800     0.000    0.464E-06    0.000E+00
    19.900     0.000    0.453E-06    0.000E+00
    20.000     0.000    0.442E-06    0.000E+00
    20.100     0.000    0.432E-06    0.000E+00
