# fe1_exp_060_146_photoneut_1971Vas.dat                  
#
# Z = 60, A =146
# No. of entries:   58
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Vas  O.V.Vasilev, V.A.Semenov, S.F.Semenko; Yad.Fiz. 13, 463(1971); (Sov.J.Nucl.Phys. 13, 259(1971))                                             
#    E         dE       f1           df1
     7.750     0.000    0.191E-06    0.000E+00
     8.000     0.000    0.220E-06    0.000E+00
     8.250     0.000    0.288E-06    0.000E+00
     8.500     0.000    0.320E-06    0.000E+00
     8.750     0.000    0.323E-06    0.000E+00
     9.000     0.000    0.297E-06    0.000E+00
     9.250     0.000    0.429E-06    0.000E+00
     9.500     0.000    0.394E-06    0.000E+00
     9.750     0.000    0.432E-06    0.000E+00
    10.000     0.000    0.449E-06    0.000E+00
    10.250     0.000    0.463E-06    0.000E+00
    10.500     0.000    0.529E-06    0.000E+00
    10.750     0.000    0.616E-06    0.000E+00
    11.000     0.000    0.422E-06    0.000E+00
    11.250     0.000    0.658E-06    0.000E+00
    11.500     0.000    0.875E-06    0.000E+00
    11.750     0.000    0.819E-06    0.000E+00
    12.000     0.000    0.119E-05    0.000E+00
    12.250     0.000    0.134E-05    0.000E+00
    12.500     0.000    0.148E-05    0.000E+00
    12.750     0.000    0.162E-05    0.000E+00
    13.000     0.000    0.185E-05    0.000E+00
    13.250     0.000    0.211E-05    0.000E+00
    13.500     0.000    0.218E-05    0.000E+00
    13.750     0.000    0.223E-05    0.000E+00
    14.000     0.000    0.204E-05    0.000E+00
    14.250     0.000    0.189E-05    0.000E+00
    14.500     0.000    0.184E-05    0.000E+00
    14.750     0.000    0.165E-05    0.000E+00
    15.000     0.000    0.145E-05    0.000E+00
    15.250     0.000    0.137E-05    0.000E+00
    15.500     0.000    0.116E-05    0.000E+00
    15.750     0.000    0.102E-05    0.000E+00
    16.000     0.000    0.110E-05    0.000E+00
    16.250     0.000    0.881E-06    0.000E+00
    16.500     0.000    0.867E-06    0.000E+00
    16.750     0.000    0.870E-06    0.000E+00
    17.000     0.000    0.587E-06    0.000E+00
    17.250     0.000    0.618E-06    0.000E+00
    17.500     0.000    0.496E-06    0.000E+00
    17.750     0.000    0.391E-06    0.000E+00
    18.000     0.000    0.439E-06    0.000E+00
    18.250     0.000    0.345E-06    0.000E+00
    18.500     0.000    0.429E-06    0.000E+00
    18.750     0.000    0.381E-06    0.000E+00
    19.000     0.000    0.195E-06    0.000E+00
    19.250     0.000    0.206E-06    0.000E+00
    19.500     0.000    0.676E-07    0.000E+00
    19.750     0.000    0.174E-07    0.000E+00
    20.000     0.000    0.145E-06    0.000E+00
    20.250     0.000    0.105E-06    0.000E+00
    20.500     0.000    0.113E-06    0.000E+00
    20.750     0.000    0.102E-06    0.000E+00
    21.000     0.000    0.756E-07    0.000E+00
    21.250     0.000    0.122E-06    0.000E+00
    21.500     0.000    0.152E-06    0.000E+00
    21.750     0.000    0.134E-06    0.000E+00
    22.000     0.000    0.702E-07    0.000E+00
