# fe1_exp_060_148_photoneut_1971Ca1.dat                  
#
# Z = 60, A =148
# No. of entries:   69
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Ca1  P.Carlos, H.Beil, R.Bergere, A.Lepretre, A.Veyssiere; Nucl. Phys. A172, 437(1971).                                                          
#    E         dE       f1           df1
     7.952     0.000    0.278E-06    0.654E-07
     8.224     0.000    0.285E-06    0.643E-07
     8.497     0.000    0.143E-06    0.633E-07
     8.769     0.000    0.228E-06    0.623E-07
     9.042     0.000    0.211E-06    0.614E-07
     9.314     0.000    0.410E-06    0.605E-07
     9.450     0.000    0.367E-06    0.601E-07
     9.586     0.000    0.425E-06    0.597E-07
     9.723     0.000    0.437E-06    0.593E-07
     9.859     0.000    0.488E-06    0.589E-07
     9.995     0.000    0.508E-06    0.586E-07
    10.131     0.000    0.497E-06    0.582E-07
    10.267     0.000    0.617E-06    0.579E-07
    10.404     0.000    0.625E-06    0.575E-07
    10.540     0.000    0.683E-06    0.572E-07
    10.676     0.000    0.723E-06    0.569E-07
    10.812     0.000    0.730E-06    0.566E-07
    10.948     0.000    0.776E-06    0.563E-07
    11.085     0.000    0.767E-06    0.559E-07
    11.221     0.000    0.788E-06    0.557E-07
    11.357     0.000    0.878E-06    0.554E-07
    11.493     0.000    0.951E-06    0.551E-07
    11.629     0.000    0.110E-05    0.548E-07
    11.766     0.000    0.111E-05    0.546E-07
    11.902     0.000    0.108E-05    0.543E-07
    12.038     0.000    0.117E-05    0.540E-07
    12.174     0.000    0.125E-05    0.538E-07
    12.310     0.000    0.129E-05    0.536E-07
    12.447     0.000    0.133E-05    0.533E-07
    12.583     0.000    0.134E-05    0.531E-07
    12.719     0.000    0.134E-05    0.529E-07
    12.855     0.000    0.134E-05    0.526E-07
    12.991     0.000    0.141E-05    0.524E-07
    13.128     0.000    0.143E-05    0.522E-07
    13.264     0.000    0.143E-05    0.520E-07
    13.400     0.000    0.148E-05    0.518E-07
    13.536     0.000    0.151E-05    0.516E-07
    13.672     0.000    0.149E-05    0.514E-07
    13.809     0.000    0.148E-05    0.512E-07
    13.945     0.000    0.151E-05    0.510E-07
    14.081     0.000    0.155E-05    0.508E-07
    14.217     0.000    0.152E-05    0.506E-07
    14.353     0.000    0.153E-05    0.505E-07
    14.490     0.000    0.148E-05    0.503E-07
    14.626     0.000    0.151E-05    0.501E-07
    14.762     0.000    0.159E-05    0.499E-07
    14.898     0.000    0.155E-05    0.498E-07
    15.034     0.000    0.151E-05    0.496E-07
    15.171     0.000    0.149E-05    0.495E-07
    15.307     0.000    0.151E-05    0.493E-07
    15.443     0.000    0.148E-05    0.491E-07
    15.579     0.000    0.139E-05    0.490E-07
    15.715     0.000    0.140E-05    0.488E-07
    15.852     0.000    0.138E-05    0.487E-07
    15.988     0.000    0.134E-05    0.486E-07
    16.124     0.000    0.127E-05    0.484E-07
    16.260     0.000    0.130E-05    0.483E-07
    16.396     0.000    0.122E-05    0.481E-07
    16.533     0.000    0.120E-05    0.480E-07
    16.669     0.000    0.107E-05    0.479E-07
    16.805     0.000    0.106E-05    0.477E-07
    16.941     0.000    0.101E-05    0.476E-07
    17.214     0.000    0.912E-06    0.474E-07
    17.486     0.000    0.838E-06    0.471E-07
    17.758     0.000    0.742E-06    0.469E-07
    18.031     0.000    0.693E-06    0.467E-07
    18.303     0.000    0.554E-06    0.464E-07
    18.576     0.000    0.537E-06    0.462E-07
    18.848     0.000    0.474E-06    0.460E-07
