# fe1_exp_062_152_photoneut_2007Har.dat                  
#
# Z = 62, A =152
# No. of entries:   26
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (K.Y.Hara, H.Harada, F.Kitatani, S.Goko, S.Hohara,     (J,NST,44,(7),938,2007)                                                                      
#    E         dE       f1           df1
     8.390     0.060    0.174E-06    0.641E-07
     8.470     0.135    0.203E-06    0.487E-07
     8.490     0.115    0.198E-06    0.569E-07
     8.610     0.225    0.295E-06    0.587E-07
     8.650     0.185    0.314E-06    0.747E-07
     8.710     0.110    0.358E-06    0.140E-06
     8.760     0.155    0.271E-06    0.990E-07
     9.060     0.230    0.357E-06    0.918E-07
     9.320     0.370    0.386E-06    0.680E-07
     9.470     0.180    0.380E-06    0.131E-06
     9.470     0.185    0.388E-06    0.130E-06
     9.540     0.245    0.435E-06    0.960E-07
     9.900     0.240    0.501E-06    0.128E-06
     9.950     0.285    0.570E-06    0.109E-06
     9.960     0.180    0.502E-06    0.159E-06
    10.010     0.225    0.570E-06    0.142E-06
    10.350     0.210    0.649E-06    0.195E-06
    10.390     0.165    0.670E-06    0.211E-06
    10.480     0.325    0.715E-06    0.176E-06
    10.520     0.280    0.731E-06    0.183E-06
    10.820     0.250    0.796E-06    0.209E-06
    10.930     0.135    0.810E-06    0.309E-06
    11.110     0.300    0.105E-05    0.291E-06
    11.390     0.305    0.134E-05    0.306E-06
    11.760     0.355    0.136E-05    0.240E-06
    11.890     0.215    0.137E-05    0.369E-06
