# fe1_exp_062_154_photoneut_1969Vas.dat                  
#
# Z = 62, A =154
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Vas  O.V.Vasilev, G.N.Zalesnyi, S.F.Semenko, V.A.Semenov Yad.Fiz. 10, 460(1969); (Soviet J.Nucl.Phys. 10, 263(1970)).                            
#    E         dE       f1           df1
     8.250     0.000    0.656E-06    0.680E-07
     8.500     0.000    0.896E-06    0.637E-07
     8.750     0.000    0.122E-05    0.665E-07
     9.000     0.000    0.936E-06    0.598E-07
     9.250     0.000    0.994E-06    0.628E-07
     9.500     0.000    0.110E-05    0.634E-07
     9.750     0.000    0.115E-05    0.621E-07
    10.000     0.000    0.128E-05    0.501E-07
    10.250     0.000    0.170E-05    0.575E-07
    10.500     0.000    0.178E-05    0.565E-07
    10.750     0.000    0.194E-05    0.560E-07
    11.000     0.000    0.196E-05    0.536E-07
    11.250     0.000    0.198E-05    0.532E-07
    11.500     0.000    0.192E-05    0.505E-07
    11.750     0.000    0.186E-05    0.515E-07
    12.000     0.000    0.179E-05    0.535E-07
    12.250     0.000    0.159E-05    0.530E-07
    12.500     0.000    0.148E-05    0.694E-07
    12.750     0.000    0.127E-05    0.629E-07
    13.000     0.000    0.130E-05    0.592E-07
    13.250     0.000    0.145E-05    0.615E-07
    13.500     0.000    0.162E-05    0.624E-07
    13.750     0.000    0.184E-05    0.589E-07
    14.000     0.000    0.199E-05    0.632E-07
    14.250     0.000    0.222E-05    0.633E-07
    14.500     0.000    0.240E-05    0.538E-07
    14.750     0.000    0.219E-05    0.503E-07
    15.000     0.000    0.202E-05    0.535E-07
    15.250     0.000    0.187E-05    0.500E-07
    15.500     0.000    0.172E-05    0.505E-07
    15.750     0.000    0.160E-05    0.502E-07
    16.000     0.000    0.148E-05    0.490E-07
    16.250     0.000    0.140E-05    0.420E-07
    16.500     0.000    0.128E-05    0.523E-07
    16.750     0.000    0.120E-05    0.443E-07
    17.000     0.000    0.111E-05    0.425E-07
    17.250     0.000    0.960E-06    0.458E-07
    17.500     0.000    0.857E-06    0.458E-07
    17.750     0.000    0.640E-06    0.431E-07
    18.000     0.000    0.646E-06    0.441E-07
    18.250     0.000    0.532E-06    0.485E-07
    18.500     0.000    0.425E-06    0.434E-07
    18.750     0.000    0.289E-06    0.385E-07
    19.000     0.000    0.190E-06    0.415E-07
    19.250     0.000    0.208E-06    0.417E-07
    19.500     0.000    0.297E-06    0.471E-07
    19.750     0.000    0.363E-06    0.448E-07
    20.000     0.000    0.351E-06    0.400E-07
    20.250     0.000    0.277E-06    0.416E-07
    20.500     0.000    0.257E-06    0.362E-07
    20.750     0.000    0.211E-06    0.443E-07
    21.000     0.000    0.905E-07    0.382E-07
    21.250     0.000    0.113E-06    0.377E-07
    21.500     0.000    0.102E-06    0.377E-07
    21.750     0.000    0.909E-07    0.370E-07
    22.000     0.000    0.101E-06    0.383E-07
    22.250     0.000    0.799E-07    0.357E-07
    22.500     0.000    0.628E-07    0.330E-07
    22.750     0.000    0.782E-07    0.317E-07
