# fe1_exp_062_154_photoneut_1974Ca5.dat                  
#
# Z = 62, A =154
# No. of entries:   49
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1974Ca5  P.Carlos, H.Beil, R.Bergere, et al.,; Nucl. Phys. A225, 171(1974).                                                                          
#    E         dE       f1           df1
     8.060     0.000    0.241E-06    0.430E-07
     8.330     0.000    0.269E-06    0.419E-07
     8.600     0.000    0.359E-06    0.407E-07
     8.870     0.000    0.333E-06    0.397E-07
     9.140     0.000    0.337E-06    0.387E-07
     9.410     0.000    0.466E-06    0.378E-07
     9.680     0.000    0.523E-06    0.370E-07
     9.950     0.000    0.571E-06    0.362E-07
    10.220     0.000    0.691E-06    0.354E-07
    10.500     0.000    0.786E-06    0.346E-07
    10.770     0.000    0.991E-06    0.339E-07
    11.040     0.000    0.111E-05    0.332E-07
    11.310     0.000    0.130E-05    0.326E-07
    11.580     0.000    0.145E-05    0.320E-07
    11.850     0.000    0.165E-05    0.314E-07
    12.120     0.000    0.173E-05    0.308E-07
    12.390     0.000    0.176E-05    0.303E-07
    12.660     0.000    0.169E-05    0.298E-07
    12.930     0.000    0.159E-05    0.294E-07
    13.210     0.000    0.150E-05    0.289E-07
    13.480     0.000    0.149E-05    0.284E-07
    13.750     0.000    0.141E-05    0.280E-07
    14.020     0.000    0.137E-05    0.276E-07
    14.290     0.000    0.138E-05    0.272E-07
    14.560     0.000    0.133E-05    0.268E-07
    14.830     0.000    0.137E-05    0.264E-07
    15.100     0.000    0.138E-05    0.261E-07
    15.370     0.000    0.137E-05    0.257E-07
    15.640     0.000    0.138E-05    0.254E-07
    15.920     0.000    0.136E-05    0.251E-07
    16.190     0.000    0.132E-05    0.248E-07
    16.460     0.000    0.126E-05    0.245E-07
    16.730     0.000    0.114E-05    0.242E-07
    17.000     0.000    0.105E-05    0.239E-07
    17.270     0.000    0.969E-06    0.237E-07
    17.540     0.000    0.895E-06    0.234E-07
    17.810     0.000    0.867E-06    0.231E-07
    18.080     0.000    0.748E-06    0.229E-07
    18.350     0.000    0.681E-06    0.226E-07
    18.630     0.000    0.661E-06    0.224E-07
    18.900     0.000    0.574E-06    0.222E-07
    19.170     0.000    0.547E-06    0.219E-07
    19.440     0.000    0.468E-06    0.218E-07
    19.710     0.000    0.428E-06    0.216E-07
    19.980     0.000    0.360E-06    0.214E-07
    20.250     0.000    0.369E-06    0.212E-07
    20.520     0.000    0.314E-06    0.210E-07
    20.790     0.000    0.306E-06    0.208E-07
    21.060     0.000    0.271E-06    0.206E-07
