# fe1_exp_064_158_photoneut_1971Vas.dat                  
#
# Z = 64, A =158
# No. of entries:   55
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1971Vas  O.V.Vasilev, V.A.Semenov, S.F.Semenko; Yad.Fiz. 13, 463(1971); (Sov.J.Nucl.Phys. 13, 259(1971)).                                            
#    E         dE       f1           df1
     8.000     0.000    0.197E-06    0.000E+00
     8.250     0.000    0.253E-06    0.000E+00
     8.500     0.000    0.306E-06    0.000E+00
     8.750     0.000    0.386E-06    0.000E+00
     9.000     0.000    0.464E-06    0.000E+00
     9.250     0.000    0.461E-06    0.000E+00
     9.500     0.000    0.548E-06    0.000E+00
     9.750     0.000    0.589E-06    0.000E+00
    10.000     0.000    0.626E-06    0.000E+00
    10.250     0.000    0.843E-06    0.000E+00
    10.500     0.000    0.950E-06    0.000E+00
    10.750     0.000    0.111E-05    0.000E+00
    11.000     0.000    0.126E-05    0.000E+00
    11.250     0.000    0.132E-05    0.000E+00
    11.500     0.000    0.140E-05    0.000E+00
    11.750     0.000    0.158E-05    0.000E+00
    12.000     0.000    0.170E-05    0.000E+00
    12.250     0.000    0.166E-05    0.000E+00
    12.500     0.000    0.167E-05    0.000E+00
    12.750     0.000    0.135E-05    0.000E+00
    13.000     0.000    0.118E-05    0.000E+00
    13.250     0.000    0.122E-05    0.000E+00
    13.500     0.000    0.109E-05    0.000E+00
    13.750     0.000    0.124E-05    0.000E+00
    14.000     0.000    0.149E-05    0.000E+00
    14.250     0.000    0.153E-05    0.000E+00
    14.500     0.000    0.176E-05    0.000E+00
    14.750     0.000    0.178E-05    0.000E+00
    15.000     0.000    0.157E-05    0.000E+00
    15.250     0.000    0.144E-05    0.000E+00
    15.500     0.000    0.135E-05    0.000E+00
    15.750     0.000    0.121E-05    0.000E+00
    16.000     0.000    0.116E-05    0.000E+00
    16.250     0.000    0.113E-05    0.000E+00
    16.500     0.000    0.930E-06    0.000E+00
    16.750     0.000    0.844E-06    0.000E+00
    17.000     0.000    0.673E-06    0.000E+00
    17.250     0.000    0.563E-06    0.000E+00
    17.500     0.000    0.595E-06    0.000E+00
    17.750     0.000    0.498E-06    0.000E+00
    18.000     0.000    0.535E-06    0.000E+00
    18.250     0.000    0.513E-06    0.000E+00
    18.500     0.000    0.282E-06    0.000E+00
    18.750     0.000    0.292E-06    0.000E+00
    19.000     0.000    0.913E-07    0.000E+00
    19.250     0.000    0.120E-06    0.000E+00
    19.500     0.000    0.278E-06    0.000E+00
    19.750     0.000    0.314E-06    0.000E+00
    20.000     0.000    0.376E-06    0.000E+00
    20.250     0.000    0.296E-06    0.000E+00
    20.500     0.000    0.153E-06    0.000E+00
    20.750     0.000    0.112E-06    0.000E+00
    21.000     0.000    0.124E-06    0.000E+00
    21.250     0.000    0.245E-06    0.000E+00
    21.500     0.000    0.135E-06    0.000E+00
