# fe1_exp_064_160_photoabs_2003Var.dat                   
#
# Z = 64, A =160
# No. of entries:  176
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2003Var  V.V.Varlamov, M.E.Stepanov, V.V.Chesnokov; Izv. Ros. Akad. Nauk, Ser.Fiz. 67, 656(2003); (Bull.Rus.Acad.Sci.Phys. 67, 724 (2003)).          
#    E         dE       f1           df1
     8.000     0.000    0.267E-06    0.000E+00
     8.100     0.000    0.282E-06    0.000E+00
     8.200     0.000    0.298E-06    0.000E+00
     8.300     0.000    0.317E-06    0.000E+00
     8.400     0.000    0.336E-06    0.000E+00
     8.500     0.000    0.355E-06    0.000E+00
     8.600     0.000    0.375E-06    0.000E+00
     8.700     0.000    0.396E-06    0.000E+00
     8.800     0.000    0.417E-06    0.000E+00
     8.900     0.000    0.439E-06    0.000E+00
     9.000     0.000    0.461E-06    0.000E+00
     9.100     0.000    0.484E-06    0.000E+00
     9.200     0.000    0.508E-06    0.000E+00
     9.300     0.000    0.533E-06    0.000E+00
     9.400     0.000    0.560E-06    0.000E+00
     9.500     0.000    0.589E-06    0.000E+00
     9.600     0.000    0.618E-06    0.000E+00
     9.700     0.000    0.650E-06    0.000E+00
     9.800     0.000    0.685E-06    0.000E+00
     9.900     0.000    0.722E-06    0.000E+00
    10.000     0.000    0.762E-06    0.000E+00
    10.100     0.000    0.807E-06    0.000E+00
    10.200     0.000    0.859E-06    0.000E+00
    10.300     0.000    0.909E-06    0.000E+00
    10.400     0.000    0.967E-06    0.000E+00
    10.500     0.000    0.102E-05    0.000E+00
    10.600     0.000    0.109E-05    0.000E+00
    10.700     0.000    0.116E-05    0.000E+00
    10.800     0.000    0.123E-05    0.000E+00
    10.900     0.000    0.131E-05    0.000E+00
    11.000     0.000    0.139E-05    0.000E+00
    11.100     0.000    0.146E-05    0.000E+00
    11.200     0.000    0.154E-05    0.000E+00
    11.300     0.000    0.163E-05    0.000E+00
    11.400     0.000    0.170E-05    0.000E+00
    11.500     0.000    0.178E-05    0.000E+00
    11.600     0.000    0.185E-05    0.000E+00
    11.700     0.000    0.191E-05    0.000E+00
    11.800     0.000    0.197E-05    0.000E+00
    11.900     0.000    0.202E-05    0.000E+00
    12.000     0.000    0.206E-05    0.000E+00
    12.100     0.000    0.209E-05    0.000E+00
    12.200     0.000    0.210E-05    0.000E+00
    12.300     0.000    0.210E-05    0.000E+00
    12.400     0.000    0.210E-05    0.000E+00
    12.500     0.000    0.208E-05    0.000E+00
    12.600     0.000    0.207E-05    0.000E+00
    12.700     0.000    0.204E-05    0.000E+00
    12.800     0.000    0.201E-05    0.000E+00
    12.900     0.000    0.197E-05    0.000E+00
    13.000     0.000    0.193E-05    0.000E+00
    13.100     0.000    0.189E-05    0.000E+00
    13.200     0.000    0.185E-05    0.000E+00
    13.300     0.000    0.181E-05    0.000E+00
    13.400     0.000    0.177E-05    0.000E+00
    13.500     0.000    0.173E-05    0.000E+00
    13.600     0.000    0.170E-05    0.000E+00
    13.700     0.000    0.168E-05    0.000E+00
    13.800     0.000    0.166E-05    0.000E+00
    13.900     0.000    0.165E-05    0.000E+00
    14.000     0.000    0.164E-05    0.000E+00
    14.100     0.000    0.163E-05    0.000E+00
    14.200     0.000    0.163E-05    0.000E+00
    14.300     0.000    0.163E-05    0.000E+00
    14.400     0.000    0.163E-05    0.000E+00
