# fe1_exp_065_159_photoneut_1958Ful.dat                  
#
# Z = 65, A =159
# No. of entries:   25
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1958Ful  E.G.Fuller, M.S.Weiss; Phys.Rev. 112, 560 (1958).                                                                                           
#    E         dE       f1           df1
     8.990     0.000    0.289E-06    0.000E+00
     9.490     0.000    0.436E-06    0.000E+00
    10.000     0.000    0.525E-06    0.000E+00
    10.500     0.000    0.805E-06    0.000E+00
    11.000     0.000    0.119E-05    0.000E+00
    11.500     0.000    0.154E-05    0.000E+00
    12.000     0.000    0.194E-05    0.000E+00
    12.500     0.000    0.214E-05    0.000E+00
    13.000     0.000    0.193E-05    0.000E+00
    13.500     0.000    0.157E-05    0.000E+00
    14.000     0.000    0.136E-05    0.000E+00
    14.500     0.000    0.156E-05    0.000E+00
    15.000     0.000    0.191E-05    0.000E+00
    15.500     0.000    0.175E-05    0.000E+00
    16.000     0.000    0.155E-05    0.000E+00
    16.500     0.000    0.169E-05    0.000E+00
    17.000     0.000    0.159E-05    0.000E+00
    17.400     0.000    0.128E-05    0.000E+00
    18.000     0.000    0.911E-06    0.000E+00
    19.000     0.000    0.858E-06    0.000E+00
    20.000     0.000    0.833E-06    0.000E+00
    21.000     0.000    0.665E-06    0.000E+00
    21.900     0.000    0.152E-06    0.000E+00
    22.900     0.000    0.977E-06    0.000E+00
    24.000     0.000    0.997E-06    0.000E+00
