# fe1_exp_065_159_photoneut_1964Br1.dat                  
#
# Z = 65, A =159
# No. of entries:   91
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Br1  R.L.Bramblett, J.T.Caldwell, R.R.Harvey, S.C.Fultz; Phys. Rev., 133, B869(1964).                                                            
#    E         dE       f1           df1
     8.633     0.000    0.121E-06    0.402E-07
     8.788     0.000    0.306E-06    0.790E-07
     9.097     0.000    0.277E-06    0.763E-07
     9.407     0.000    0.387E-06    0.645E-07
     9.562     0.000    0.390E-06    0.726E-07
     9.717     0.000    0.420E-06    0.536E-07
     9.872     0.000    0.439E-06    0.791E-07
    10.026     0.000    0.484E-06    0.433E-07
    10.104     0.000    0.627E-06    0.515E-07
    10.181     0.000    0.673E-06    0.426E-07
    10.336     0.000    0.713E-06    0.504E-07
    10.491     0.000    0.728E-06    0.579E-07
    10.646     0.000    0.815E-06    0.489E-07
    10.801     0.000    0.819E-06    0.562E-07
    10.955     0.000    0.982E-06    0.396E-07
    11.110     0.000    0.106E-05    0.625E-07
    11.265     0.000    0.124E-05    0.616E-07
    11.420     0.000    0.135E-05    0.760E-07
    11.575     0.000    0.149E-05    0.674E-07
    11.730     0.000    0.156E-05    0.813E-07
    11.885     0.000    0.157E-05    0.584E-07
    12.039     0.000    0.167E-05    0.648E-07
    12.194     0.000    0.177E-05    0.925E-07
    12.349     0.000    0.182E-05    0.983E-07
    12.504     0.000    0.164E-05    0.832E-07
    12.659     0.000    0.158E-05    0.685E-07
    12.814     0.000    0.158E-05    0.609E-07
    12.969     0.000    0.152E-05    0.736E-07
    13.123     0.000    0.152E-05    0.529E-07
    13.278     0.000    0.151E-05    0.523E-07
    13.433     0.000    0.139E-05    0.581E-07
    13.588     0.000    0.131E-05    0.447E-07
    13.743     0.000    0.135E-05    0.505E-07
    13.898     0.000    0.134E-05    0.562E-07
    14.052     0.000    0.137E-05    0.679E-07
    14.207     0.000    0.135E-05    0.488E-07
    14.362     0.000    0.135E-05    0.544E-07
    14.517     0.000    0.131E-05    0.717E-07
    14.672     0.000    0.137E-05    0.650E-07
    14.827     0.000    0.136E-05    0.819E-07
    14.982     0.000    0.140E-05    0.753E-07
    15.136     0.000    0.145E-05    0.688E-07
    15.291     0.000    0.147E-05    0.681E-07
    15.446     0.000    0.148E-05    0.842E-07
    15.601     0.000    0.136E-05    0.778E-07
    15.756     0.000    0.143E-05    0.771E-07
    15.911     0.000    0.131E-05    0.545E-07
    16.066     0.000    0.140E-05    0.864E-07
    16.220     0.000    0.117E-05    0.588E-07
    16.375     0.000    0.114E-05    0.848E-07
    16.530     0.000    0.114E-05    0.682E-07
    16.685     0.000    0.104E-05    0.104E-06
    16.840     0.000    0.106E-05    0.876E-07
    16.995     0.000    0.934E-06    0.663E-07
    17.149     0.000    0.971E-06    0.658E-07
    17.304     0.000    0.862E-06    0.802E-07
    17.459     0.000    0.795E-06    0.696E-07
    17.614     0.000    0.724E-06    0.739E-07
    17.769     0.000    0.703E-06    0.635E-07
    17.924     0.000    0.644E-06    0.726E-07
    18.079     0.000    0.739E-06    0.720E-07
    18.233     0.000    0.633E-06    0.761E-07
    18.388     0.000    0.623E-06    0.708E-07
    18.543     0.000    0.491E-06    0.748E-07
    18.698     0.000    0.543E-06    0.696E-07
    19.008     0.000    0.447E-06    0.730E-07
    19.317     0.000    0.413E-06    0.763E-07
    19.627     0.000    0.340E-06    0.707E-07
    19.937     0.000    0.339E-06    0.696E-07
    20.246     0.000    0.351E-06    0.685E-07
    20.556     0.000    0.359E-06    0.675E-07
    20.866     0.000    0.357E-06    0.665E-07
    21.176     0.000    0.258E-06    0.696E-07
    21.485     0.000    0.258E-06    0.646E-07
    21.795     0.000    0.287E-06    0.637E-07
    22.105     0.000    0.255E-06    0.628E-07
    22.414     0.000    0.290E-06    0.697E-07
    22.724     0.000    0.256E-06    0.534E-07
    23.034     0.000    0.346E-06    0.602E-07
    23.343     0.000    0.260E-06    0.595E-07
    23.653     0.000    0.330E-06    0.587E-07
    23.963     0.000    0.257E-06    0.543E-07
    24.273     0.000    0.154E-06    0.607E-07
    24.582     0.000    0.229E-06    0.565E-07
    24.892     0.000    0.247E-06    0.558E-07
    25.202     0.000    0.189E-06    0.620E-07
    25.511     0.000    0.160E-06    0.612E-07
    25.821     0.000    0.161E-06    0.672E-07
    26.131     0.000    0.996E-07    0.597E-07
    26.440     0.000    0.102E-06    0.787E-07
    26.750     0.000    0.681E-07    0.811E-07
